measurement_basis,hypothesis,model_id,included_time_fe,time_fe_count,dependent_variable,key_variable,coefficient,classical_ols_se,t_stat,p_value,stars,n_obs,n_firms,n_firm_dummy_variables,n_time_dummy_variables,reference_company_id,reference_company_identifier,r_squared,adj_r_squared,df_model,df_resid,rank,status,interpretation_level,reference_category,firm_dummy_included,time_fe_included,controls_included,company_id_used_as_numeric,c_company_formula_used,n_joint_fe_cells,n_singleton_cells,n_within_obs,coef_self_enhancing,se_self_enhancing,p_self_enhancing,stars_self_enhancing,coef_self_defeating,se_self_defeating,p_self_defeating,stars_self_defeating,limitation,coef_predicted_self_enhancing,se_predicted_self_enhancing,p_predicted_self_enhancing,stars_predicted_self_enhancing,coef_predicted_self_defeating,se_predicted_self_defeating,p_predicted_self_defeating,stars_predicted_self_defeating
full_sample_predicted,H2_2,firm_dummy_day_hour,"day,hour",2,log1p_total_engagement,predicted_aggressive,-0.14986,0.038558,-3.8866,0.000103,***,28177,97,96,24458,45,Home Depot,0.973801,0.795969,24559,3618,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,24555,22324,5853,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.033529,0.065857,0.610702,ns,-0.112033,0.197083,0.56976,ns
batch1_human_coded,H2_2,firm_dummy_year_month_week,"year,month,week",3,log1p_total_engagement,aggressive,0.02838,0.730764,0.0388,0.969126,ns,648,88,87,482,97,Walt Disney,0.972492,0.759493,574,74,3,success,preliminary_diagnostic,affiliative,true,true,false,false,false,570,518,130,-0.094591,0.313433,0.763659,ns,-0.066221,1.128909,0.953382,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_year_month_week,"year,month,week",3,log1p_total_engagement,predicted_aggressive,-0.104049,0.019082,-5.4528,0.0,***,28177,97,96,9500,45,Home Depot,0.837193,0.753055,9601,18576,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,9597,3731,24446,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.060781,0.03144,0.053221,*,-0.191148,0.087709,0.029319,**
batch1_human_coded,H2_2,firm_dummy_year_month_day,"year,month,day",3,log1p_total_engagement,aggressive,0.495313,1.06543,0.4649,0.644886,ns,648,88,87,521,97,Walt Disney,0.983623,0.697266,613,35,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,609,582,66,-0.051283,0.479434,0.915427,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_year_month_day,"year,month,day",3,log1p_total_engagement,predicted_aggressive,-0.122427,0.027727,-4.4154,1e-05,***,28177,97,96,18999,45,Home Depot,0.917079,0.742605,19100,9077,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,19096,14263,13914,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.036803,0.046243,0.426135,ns,-0.161436,0.124086,0.193292,ns
batch1_human_coded,H2_2,firm_dummy_year_month_hour,"year,month,hour",3,log1p_total_engagement,aggressive,4.418841,2.046874,2.1588,0.097017,*,648,88,87,552,97,Walt Disney,0.998235,0.714432,644,4,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,640,632,16,0.808757,1.447359,0.606113,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_year_month_hour,"year,month,hour",3,log1p_total_engagement,predicted_aggressive,-0.14986,0.038558,-3.8866,0.000103,***,28177,97,96,24458,45,Home Depot,0.973801,0.795969,24559,3618,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,24555,22324,5853,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.033529,0.065857,0.610702,ns,-0.112033,0.197083,0.56976,ns
batch1_human_coded,H2_2,firm_dummy_year_week_day,"year,week,day",3,log1p_total_engagement,aggressive,0.495313,1.06543,0.4649,0.644886,ns,648,88,87,521,97,Walt Disney,0.983623,0.697266,613,35,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,609,582,66,-0.051283,0.479434,0.915427,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_year_week_day,"year,week,day",3,log1p_total_engagement,predicted_aggressive,-0.122427,0.027727,-4.4154,1e-05,***,28177,97,96,18999,45,Home Depot,0.917079,0.742605,19100,9077,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,19096,14263,13914,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.036803,0.046243,0.426135,ns,-0.161436,0.124086,0.193292,ns
batch1_human_coded,H2_2,firm_dummy_year_week_hour,"year,week,hour",3,log1p_total_engagement,aggressive,4.418841,2.046874,2.1588,0.097017,*,648,88,87,552,97,Walt Disney,0.998235,0.714432,644,4,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,640,632,16,0.808757,1.447359,0.606113,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_year_week_hour,"year,week,hour",3,log1p_total_engagement,predicted_aggressive,-0.14986,0.038558,-3.8866,0.000103,***,28177,97,96,24458,45,Home Depot,0.973801,0.795969,24559,3618,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,24555,22324,5853,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.033529,0.065857,0.610702,ns,-0.112033,0.197083,0.56976,ns
batch1_human_coded,H2_2,firm_dummy_year_day_hour,"year,day,hour",3,log1p_total_engagement,aggressive,4.418841,2.046874,2.1588,0.097017,*,648,88,87,552,97,Walt Disney,0.998235,0.714432,644,4,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,640,632,16,0.808757,1.447359,0.606113,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_year_day_hour,"year,day,hour",3,log1p_total_engagement,predicted_aggressive,-0.14986,0.038558,-3.8866,0.000103,***,28177,97,96,24458,45,Home Depot,0.973801,0.795969,24559,3618,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,24555,22324,5853,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.033529,0.065857,0.610702,ns,-0.112033,0.197083,0.56976,ns
batch1_human_coded,H2_2,firm_dummy_month_week_day,"month,week,day",3,log1p_total_engagement,aggressive,0.495313,1.06543,0.4649,0.644886,ns,648,88,87,521,97,Walt Disney,0.983623,0.697266,613,35,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,609,582,66,-0.051283,0.479434,0.915427,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_month_week_day,"month,week,day",3,log1p_total_engagement,predicted_aggressive,-0.122427,0.027727,-4.4154,1e-05,***,28177,97,96,18999,45,Home Depot,0.917079,0.742605,19100,9077,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,19096,14263,13914,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.036803,0.046243,0.426135,ns,-0.161436,0.124086,0.193292,ns
batch1_human_coded,H2_2,firm_dummy_month_week_hour,"month,week,hour",3,log1p_total_engagement,aggressive,4.418841,2.046874,2.1588,0.097017,*,648,88,87,552,97,Walt Disney,0.998235,0.714432,644,4,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,640,632,16,0.808757,1.447359,0.606113,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_month_week_hour,"month,week,hour",3,log1p_total_engagement,predicted_aggressive,-0.14986,0.038558,-3.8866,0.000103,***,28177,97,96,24458,45,Home Depot,0.973801,0.795969,24559,3618,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,24555,22324,5853,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.033529,0.065857,0.610702,ns,-0.112033,0.197083,0.56976,ns
batch1_human_coded,H2_2,firm_dummy_month_day_hour,"month,day,hour",3,log1p_total_engagement,aggressive,4.418841,2.046874,2.1588,0.097017,*,648,88,87,552,97,Walt Disney,0.998235,0.714432,644,4,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,640,632,16,0.808757,1.447359,0.606113,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_month_day_hour,"month,day,hour",3,log1p_total_engagement,predicted_aggressive,-0.14986,0.038558,-3.8866,0.000103,***,28177,97,96,24458,45,Home Depot,0.973801,0.795969,24559,3618,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,24555,22324,5853,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.033529,0.065857,0.610702,ns,-0.112033,0.197083,0.56976,ns
batch1_human_coded,H2_2,firm_dummy_week_day_hour,"week,day,hour",3,log1p_total_engagement,aggressive,4.418841,2.046874,2.1588,0.097017,*,648,88,87,552,97,Walt Disney,0.998235,0.714432,644,4,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,640,632,16,0.808757,1.447359,0.606113,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_week_day_hour,"week,day,hour",3,log1p_total_engagement,predicted_aggressive,-0.14986,0.038558,-3.8866,0.000103,***,28177,97,96,24458,45,Home Depot,0.973801,0.795969,24559,3618,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,24555,22324,5853,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.033529,0.065857,0.610702,ns,-0.112033,0.197083,0.56976,ns
batch1_human_coded,H2_2,firm_dummy_year_month_week_day,"year,month,week,day",4,log1p_total_engagement,aggressive,0.495313,1.06543,0.4649,0.644886,ns,648,88,87,521,97,Walt Disney,0.983623,0.697266,613,35,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,609,582,66,-0.051283,0.479434,0.915427,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_year_month_week_day,"year,month,week,day",4,log1p_total_engagement,predicted_aggressive,-0.122427,0.027727,-4.4154,1e-05,***,28177,97,96,18999,45,Home Depot,0.917079,0.742605,19100,9077,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,19096,14263,13914,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.036803,0.046243,0.426135,ns,-0.161436,0.124086,0.193292,ns
batch1_human_coded,H2_2,firm_dummy_year_month_week_hour,"year,month,week,hour",4,log1p_total_engagement,aggressive,4.418841,2.046874,2.1588,0.097017,*,648,88,87,552,97,Walt Disney,0.998235,0.714432,644,4,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,640,632,16,0.808757,1.447359,0.606113,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_year_month_week_hour,"year,month,week,hour",4,log1p_total_engagement,predicted_aggressive,-0.14986,0.038558,-3.8866,0.000103,***,28177,97,96,24458,45,Home Depot,0.973801,0.795969,24559,3618,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,24555,22324,5853,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.033529,0.065857,0.610702,ns,-0.112033,0.197083,0.56976,ns
batch1_human_coded,H2_2,firm_dummy_year_month_day_hour,"year,month,day,hour",4,log1p_total_engagement,aggressive,4.418841,2.046874,2.1588,0.097017,*,648,88,87,552,97,Walt Disney,0.998235,0.714432,644,4,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,640,632,16,0.808757,1.447359,0.606113,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_year_month_day_hour,"year,month,day,hour",4,log1p_total_engagement,predicted_aggressive,-0.14986,0.038558,-3.8866,0.000103,***,28177,97,96,24458,45,Home Depot,0.973801,0.795969,24559,3618,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,24555,22324,5853,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.033529,0.065857,0.610702,ns,-0.112033,0.197083,0.56976,ns
batch1_human_coded,H2_2,firm_dummy_year_week_day_hour,"year,week,day,hour",4,log1p_total_engagement,aggressive,4.418841,2.046874,2.1588,0.097017,*,648,88,87,552,97,Walt Disney,0.998235,0.714432,644,4,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,640,632,16,0.808757,1.447359,0.606113,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_year_week_day_hour,"year,week,day,hour",4,log1p_total_engagement,predicted_aggressive,-0.14986,0.038558,-3.8866,0.000103,***,28177,97,96,24458,45,Home Depot,0.973801,0.795969,24559,3618,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,24555,22324,5853,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.033529,0.065857,0.610702,ns,-0.112033,0.197083,0.56976,ns
batch1_human_coded,H2_2,firm_dummy_month_week_day_hour,"month,week,day,hour",4,log1p_total_engagement,aggressive,4.418841,2.046874,2.1588,0.097017,*,648,88,87,552,97,Walt Disney,0.998235,0.714432,644,4,2,success,preliminary_diagnostic,affiliative,true,true,false,false,false,640,632,16,0.808757,1.447359,0.606113,ns,0.0,0.0,,ns,,,,,,,,,
full_sample_predicted,H2_2,firm_dummy_month_week_day_hour,"month,week,day,hour",4,log1p_total_engagement,predicted_aggressive,-0.14986,0.038558,-3.8866,0.000103,***,28177,97,96,24458,45,Home Depot,0.973801,0.795969,24559,3618,3,success,preliminary_diagnostic,predicted_affiliative,true,true,false,false,false,24555,22324,5853,,,,,,,,,classifier_NOT_A_CANDIDATE,-0.033529,0.065857,0.610702,ns,-0.112033,0.197083,0.56976,ns
