global_post_id,sample_group,source_dataset,fortune_rank,company_name,official_x_handle,source_x_handle,source_x_url,tweet_id,tweet_url,created_at,text,reply_count,repost_count,like_count,quote_count,view_count_available,media_present,media_type,account_role,account_index,collection_method,max_posts_cap,source_folder,is_duplicate_removed,is_empty_text,is_retweet,is_reply,is_quote,language_hint,classification_status
benchmark_self_defeating_moonpie::938526590455205893,benchmark_self_defeating_moonpie,moonpie_existing_collection,benchmark,MoonPie,@MoonPie,@MoonPie,https://x.com/MoonPie/status/938526590455205893,938526590455205893,https://x.com/MoonPie/status/938526590455205893,Wed Dec 06 21:52:30 +0000 2017,"🌟   .  *       .         🌛
                       *
*   .      🛰️     .        ✨   *

Who’s ready to see 6 
second MoonPie videos
ha ha please deliver
us from twitter

      .                .
. *       🌏                  *
                    🚀   •",22,194,2363,0,false,unknown,,primary,1,legacy_json_import,0,data/moonpie,true,false,false,false,false,en,pending
benchmark_self_defeating_moonpie::876091868852965376,benchmark_self_defeating_moonpie,moonpie_existing_collection,benchmark,MoonPie,@MoonPie,@MoonPie,https://x.com/MoonPie/status/876091868852965376,876091868852965376,https://x.com/MoonPie/status/876091868852965376,Sat Jun 17 14:59:13 +0000 2017,"That is ridiculous.

But yeah, probably. https://t.co/YxOsntDYky",1,6,23,0,false,unknown,,primary,1,legacy_json_import,0,data/moonpie,true,false,false,false,false,en,pending
benchmark_aggressive_wendys::1658178790713876486,benchmark_aggressive_wendys,wendys_existing_collection,benchmark,Wendy's,@Wendys,@Wendys,https://x.com/Wendys/status/1658178790713876486,1658178790713876486,https://x.com/Wendys/status/1658178790713876486,Mon May 15 18:33:25 +0000 2023,A Frosty is a sweet treat. It is a drink. It is a sauce. It is fearless. It’s Frosty and it’s the new look for summer 🍓,178,37,656,13,true,unknown,,primary,1,legacy_json_import,0,data/wendys,true,false,false,false,false,en,pending
fortune_top100_ranked::2008223788308062262,fortune_top100_ranked,fortune_x_2025_ranked,84,HP,@hp,@hp,https://x.com/hp,2008223788308062262,https://x.com/hp/status/2008223788308062262,Mon Jan 05 17:07:16 +0000 2026,"""I have liked my time with the HP OmniBook Ultra 14 and can safely say it is one of the best Qualcomm-based laptop experiences I have had to date.""

https://t.co/bBMqeAC00V

#CES2026 #HP #OmniBookUltra14 https://t.co/Z6EwyTckny",2,7,12,0,true,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/084_hp/accounts/01_primary_hp,true,false,false,false,false,en,pending
benchmark_aggressive_wendys::1204146912074641408,benchmark_aggressive_wendys,wendys_existing_collection,benchmark,Wendy's,@Wendys,@Wendys,https://x.com/Wendys/status/1204146912074641408,1204146912074641408,https://x.com/Wendys/status/1204146912074641408,Mon Dec 09 21:12:50 +0000 2019,@Wendys Santa wanted a four for four 🤷🏼‍♀️ https://t.co/OaOIJKTEFC,7,12,262,6,false,unknown,,primary,1,legacy_json_import,0,data/wendys,true,false,false,true,false,en,pending
benchmark_self_defeating_moonpie::1702060524886770107,benchmark_self_defeating_moonpie,moonpie_existing_collection,benchmark,MoonPie,@MoonPie,@MoonPie,https://x.com/MoonPie/status/1702060524886770107,1702060524886770107,https://x.com/MoonPie/status/1702060524886770107,Wed Sep 13 20:43:46 +0000 2023,RIP he would've loved MoonPies,26,259,3626,5,true,unknown,,primary,1,legacy_json_import,0,data/moonpie,true,false,false,false,false,en,pending
benchmark_self_defeating_moonpie::1258851631891955715,benchmark_self_defeating_moonpie,moonpie_existing_collection,benchmark,MoonPie,@MoonPie,@MoonPie,https://x.com/MoonPie/status/1258851631891955715,1258851631891955715,https://x.com/MoonPie/status/1258851631891955715,Fri May 08 20:09:52 +0000 2020,Please talk to me I am so bored https://t.co/oroKkxsy3v,38,61,646,11,false,unknown,,primary,1,legacy_json_import,0,data/moonpie,true,false,false,false,false,en,pending
benchmark_self_defeating_moonpie::928019934348763136,benchmark_self_defeating_moonpie,moonpie_existing_collection,benchmark,MoonPie,@MoonPie,@MoonPie,https://x.com/MoonPie/status/928019934348763136,928019934348763136,https://x.com/MoonPie/status/928019934348763136,Tue Nov 07 22:02:48 +0000 2017,Are these any good? @MoonPie https://t.co/zkzGmRS8ri,6,0,14,0,false,unknown,,primary,1,legacy_json_import,0,data/moonpie,true,false,false,false,false,en,pending
benchmark_aggressive_wendys::1368637437984055298,benchmark_aggressive_wendys,wendys_existing_collection,benchmark,Wendy's,@Wendys,@Wendys,https://x.com/Wendys/status/1368637437984055298,1368637437984055298,https://x.com/Wendys/status/1368637437984055298,Sun Mar 07 18:59:27 +0000 2021,-- .- .--- --- .-. / -... .- --. / .- .-.. . .-. - https://t.co/g7tAghxwko,103,15,555,6,false,unknown,,primary,1,legacy_json_import,0,data/wendys,true,false,false,false,false,zxx,pending
fortune_top100_ranked::1300845113493598208,fortune_top100_ranked,fortune_x_2025_ranked,87,Tyson Foods,@tysonfoods,@tysonfoods,https://x.com/tysonfoods,1300845113493598208,https://x.com/tysonfoods/status/1300845113493598208,Tue Sep 01 17:16:58 +0000 2020,"We're providing more than one million meals, ice and other supplies in response to severe weather impacting the Gulf region. Read more: https://t.co/G8XFM5FVIX #TysonTogether",0,0,6,0,false,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/087_tyson_foods/accounts/01_primary_tysonfoods,true,false,false,false,false,en,pending
fortune_top100_ranked::1386704156392521730,fortune_top100_ranked,fortune_x_2025_ranked,67,Eli Lilly,@EliLillyandCo,@EliLillyandCo,https://x.com/EliLillyandCo,1386704156392521730,https://x.com/EliLillyandCo/status/1386704156392521730,Mon Apr 26 15:30:09 +0000 2021,"This #WorldIPDay, we’re proud to announce our participation in the #IPPACT, a new company-led initiative affirming the biopharmaceutical industry’s commitment to innovation and keeping patients at the heart of practices. Learn more: https://t.co/wuPKLUoQek #WeAreLilly https://t.co/pBsWDZODmC",0,4,4,0,false,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/067_eli_lilly/accounts/01_primary_elilillyandco,true,false,false,false,false,mixed,pending
benchmark_aggressive_wendys::1431621266583261187,benchmark_aggressive_wendys,wendys_existing_collection,benchmark,Wendy's,@Wendys,@Wendys,https://x.com/Wendys/status/1431621266583261187,1431621266583261187,https://x.com/Wendys/status/1431621266583261187,Sat Aug 28 14:14:42 +0000 2021,Just cause we’re the Official Breakfast of College Football doesn’t mean we are playing around with breakfast.  ¯\_(ツ)_/¯,105,35,1545,7,false,unknown,,primary,1,legacy_json_import,0,data/wendys,true,false,false,false,false,en,pending
fortune_top100_ranked::1998028607956893988,fortune_top100_ranked,fortune_x_2025_ranked,90,Ingram Micro Holding,@IngramMicroInc,@IngramMicroInc,https://x.com/IngramMicroInc,1998028607956893988,https://x.com/IngramMicroInc/status/1998028607956893988,Mon Dec 08 13:55:16 +0000 2025,Happy to announce that Ingram Micro UK won Platform Distributor of the Year at the 2025 Stockies awards for the 2nd year running!  🌟🌟#ingrammicro #ingrammicroUK https://t.co/WbuTG40Gld,0,0,0,0,true,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/090_ingram_micro_holding/accounts/01_primary_ingrammicroinc,true,false,false,false,false,mixed,pending
benchmark_aggressive_wendys::1379241336033976323,benchmark_aggressive_wendys,wendys_existing_collection,benchmark,Wendy's,@Wendys,@Wendys,https://x.com/Wendys/status/1379241336033976323,1379241336033976323,https://x.com/Wendys/status/1379241336033976323,Tue Apr 06 01:15:34 +0000 2021,"#FinalFour Twitter Live presented by @Wendys is LIVE!
 
Watch @BaylorMBB &amp; @ZagMBB battle it out for the #NationalChampionship!  #MarchMadness
 
@RexChapman | @AdamLefkoe | @bwood_33 https://t.co/vukCOa0jtF",47,47,252,9,false,unknown,,primary,1,legacy_json_import,0,data/wendys,true,false,false,false,false,en,pending
benchmark_self_defeating_moonpie::916392322018844673,benchmark_self_defeating_moonpie,moonpie_existing_collection,benchmark,MoonPie,@MoonPie,@MoonPie,https://x.com/MoonPie/status/916392322018844673,916392322018844673,https://x.com/MoonPie/status/916392322018844673,Fri Oct 06 19:58:49 +0000 2017,(10/10) Last one and just for fun - what is your favorite color?,3,5,68,0,false,unknown,,primary,1,legacy_json_import,0,data/moonpie,true,false,false,false,false,en,pending
fortune_top100_ranked::2027009890007326926,fortune_top100_ranked,fortune_x_2025_ranked,82,Oracle,@oracle,@oracle,https://x.com/oracle,2027009890007326926,https://x.com/oracle/status/2027009890007326926,Thu Feb 26 13:16:32 +0000 2026,"We’re proud to extend our title partnership with @redbullracing. Our cloud will help the team sharpen its race strategy, drive improvements to its next-gen hybrid engine, pioneer an AI-powered strategy agent, and fuel operational excellence. Learn more: https://t.co/zuYAkdo6cf https://t.co/Cse32ITwrG",165,71,181,7,true,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/082_oracle/accounts/01_primary_oracle,true,false,false,false,false,mixed,pending
benchmark_self_defeating_moonpie::1218277704761577472,benchmark_self_defeating_moonpie,moonpie_existing_collection,benchmark,MoonPie,@MoonPie,@MoonPie,https://x.com/MoonPie/status/1218277704761577472,1218277704761577472,https://x.com/MoonPie/status/1218277704761577472,Fri Jan 17 21:03:33 +0000 2020,Is this a trap https://t.co/w4mPrVppcr,42,105,2685,5,false,unknown,,primary,1,legacy_json_import,0,data/moonpie,true,false,false,false,false,en,pending
fortune_top100_ranked::1885363160418259000,fortune_top100_ranked,fortune_x_2025_ranked,28,Verizon Communications,@Verizon,@Verizon,https://x.com/Verizon,1885363160418259000,https://x.com/Verizon/status/1885363160418259000,Fri Jan 31 16:23:00 +0000 2025,"""Can you hear me now?""

Verizon's ""Test Man"" (actor Paul Marcarelli) returns after a long absence and going to work for rival Sprint. The character is featured in a new 60-second Verizon commercial. https://t.co/3fUqrZoKRP",10,15,164,7,true,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/028_verizon_communications/accounts/01_primary_verizon,true,false,false,false,false,en,pending
fortune_top100_ranked::1689660794202357761,fortune_top100_ranked,fortune_x_2025_ranked,9,Exxon Mobil,@exxonmobil,@exxonmobil,https://x.com/exxonmobil,1689660794202357761,https://x.com/exxonmobil/status/1689660794202357761,Thu Aug 10 15:31:40 +0000 2023,"The molecules we produce are used to make a range of products essential to modern life, including medical equipment and electronics.

Here's how we're helping reduce the CO₂ footprint of all the consumer products made from them.

https://t.co/TdVRqlvKdd https://t.co/zv81yTTqDx",10,12,26,1,true,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/009_exxon_mobil/accounts/01_primary_exxonmobil,true,false,false,false,false,mixed,pending
fortune_top100_ranked::1293200509151653888,fortune_top100_ranked,fortune_x_2025_ranked,29,Phillips 66,@phillips66,@Phillips66co,https://x.com/Phillips66co,1293200509151653888,https://x.com/Phillips66co/status/1293200509151653888,Tue Aug 11 15:00:02 +0000 2020,"National #811Day serves as a reminder to residents and professionals alike to always @Call811 before you start your next digging project. At Phillips 66, we’re committed to ensuring everyone who lives or works near our lines and facilities adopts safe digging practices. https://t.co/eTU6ZCp32J",0,4,10,0,false,false,,secondary,2,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/029_phillips_66/accounts/02_secondary_phillips66co,true,false,false,false,false,mixed,pending
benchmark_aggressive_wendys::1212818364000854018,benchmark_aggressive_wendys,wendys_existing_collection,benchmark,Wendy's,@Wendys,@Wendys,https://x.com/Wendys/status/1212818364000854018,1212818364000854018,https://x.com/Wendys/status/1212818364000854018,Thu Jan 02 19:30:05 +0000 2020,@Wendys McDonalds rocks!,77,11,237,15,false,unknown,,primary,1,legacy_json_import,0,data/wendys,true,false,false,true,false,en,pending
benchmark_self_defeating_moonpie::1012513065173245952,benchmark_self_defeating_moonpie,moonpie_existing_collection,benchmark,MoonPie,@MoonPie,@MoonPie,https://x.com/MoonPie/status/1012513065173245952,1012513065173245952,https://x.com/MoonPie/status/1012513065173245952,Fri Jun 29 01:48:20 +0000 2018,Listen I know it’s kinda late or whatever but there’s still time to tear open a MoonPie and just tell it all about your day everything’s gonna be ok,151,813,6334,57,false,unknown,,primary,1,legacy_json_import,0,data/moonpie,true,false,false,false,false,en,pending
fortune_top100_ranked::1757847607550869927,fortune_top100_ranked,fortune_x_2025_ranked,1,Amazon,@amazon,@amazon,https://x.com/amazon,1757847607550869927,https://x.com/amazon/status/1757847607550869927,Wed Feb 14 19:21:43 +0000 2024,RT @CBSMornings: .@amazonbooks editorial director Sarah Gelman has a Valentine’s Day book recommendation for everyone — regardless of relat…,0,26,0,0,true,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/001_amazon/accounts/01_primary_amazon,true,false,true,false,false,mixed,pending
fortune_top100_ranked::1410285735031316481,fortune_top100_ranked,fortune_x_2025_ranked,42,Target,@target,@target,https://x.com/target,1410285735031316481,https://x.com/target/status/1410285735031316481,Wed Jun 30 17:14:55 +0000 2021,"You’ve been working so hard, bestie. Take that break, go for a walk, schedule a Target date. Grab a candle, your favorite book and take it slow. 💖",91,186,1199,56,false,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/042_target/accounts/01_primary_target,true,false,false,false,false,mixed,pending
benchmark_self_defeating_moonpie::955585111889776640,benchmark_self_defeating_moonpie,moonpie_existing_collection,benchmark,MoonPie,@MoonPie,@MoonPie,https://x.com/MoonPie/status/955585111889776640,955585111889776640,https://x.com/MoonPie/status/955585111889776640,Mon Jan 22 23:36:59 +0000 2018,"Today I learned two things:
1. The kids who hang out by the train tracks really like MoonPies and
2. They are deceptively strong",64,473,4864,0,false,unknown,,primary,1,legacy_json_import,0,data/moonpie,true,false,false,false,false,en,pending
fortune_top100_ranked::1655966636938067968,fortune_top100_ranked,fortune_x_2025_ranked,94,TIAA,@tiaa,@tiaa,https://x.com/tiaa,1655966636938067968,https://x.com/tiaa/status/1655966636938067968,Tue May 09 16:03:07 +0000 2023,"TIAA Institute’s Surya Kolluri led an engaging discussion about how the Asian American community can enhance its understanding of longevity literacy – a key to retirement preparedness – across physical, financial, and social dimensions, as we celebrate #AAPIHeritageMonth. https://t.co/D1tTIi59yx",2,1,3,0,true,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/094_tiaa/accounts/01_primary_tiaa,true,false,false,false,false,mixed,pending
benchmark_self_defeating_moonpie::1539715389688610816,benchmark_self_defeating_moonpie,moonpie_existing_collection,benchmark,MoonPie,@MoonPie,@MoonPie,https://x.com/MoonPie/status/1539715389688610816,1539715389688610816,https://x.com/MoonPie/status/1539715389688610816,Wed Jun 22 21:02:10 +0000 2022,See what I mean why are we not freaking the h*ck out about this,14,12,229,2,false,unknown,,primary,1,legacy_json_import,0,data/moonpie,true,false,false,false,false,en,pending
fortune_top100_ranked::1483483162844053510,fortune_top100_ranked,fortune_x_2025_ranked,42,Target,@target,@target,https://x.com/target,1483483162844053510,https://x.com/target/status/1483483162844053510,Tue Jan 18 16:55:22 +0000 2022,Me (an empath): sensing you will come to Target today,163,238,2786,85,false,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/042_target/accounts/01_primary_target,true,false,false,false,false,en,pending
fortune_top100_ranked::787286569925378048,fortune_top100_ranked,fortune_x_2025_ranked,25,Home Depot,@homedepot,@HDCares,https://x.com/HDCares,787286569925378048,https://x.com/HDCares/status/787286569925378048,Sat Oct 15 13:38:40 +0000 2016,@HD_BUMP Did you say apple butter? YUM! -TeamCare,0,0,0,0,false,false,,secondary,2,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/025_home_depot/accounts/02_secondary_hdcares,true,false,false,true,false,en,pending
benchmark_self_defeating_moonpie::1334671908508405760,benchmark_self_defeating_moonpie,moonpie_existing_collection,benchmark,MoonPie,@MoonPie,@MoonPie,https://x.com/MoonPie/status/1334671908508405760,1334671908508405760,https://x.com/MoonPie/status/1334671908508405760,Fri Dec 04 01:32:34 +0000 2020,How can I help you Sam,29,111,3645,17,false,unknown,,primary,1,legacy_json_import,0,data/moonpie,true,false,false,false,false,en,pending
benchmark_self_defeating_moonpie::1120039680387493888,benchmark_self_defeating_moonpie,moonpie_existing_collection,benchmark,MoonPie,@MoonPie,@MoonPie,https://x.com/MoonPie/status/1120039680387493888,1120039680387493888,https://x.com/MoonPie/status/1120039680387493888,Sun Apr 21 19:00:43 +0000 2019,Hey when you picture the easter bunny what does it look like:,76,76,541,7,false,unknown,,primary,1,legacy_json_import,0,data/moonpie,true,false,false,false,false,en,pending
fortune_top100_ranked::1488640833180033031,fortune_top100_ranked,fortune_x_2025_ranked,55,Sysco,@sysco,@sysco,https://x.com/sysco,1488640833180033031,https://x.com/sysco/status/1488640833180033031,Tue Feb 01 22:30:06 +0000 2022,Wordle 227 5/6— Sysco edition! What other #Wordle-inspired five-letter food words can you think of? https://t.co/CUvMAU0S8o,0,0,3,1,false,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/055_sysco/accounts/01_primary_sysco,true,false,false,false,false,mixed,pending
benchmark_aggressive_wendys::2007833761703223723,benchmark_aggressive_wendys,wendys_existing_collection,benchmark,Wendy's,@Wendys,@Wendys,https://x.com/Wendys/status/2007833761703223723,2007833761703223723,https://x.com/Wendys/status/2007833761703223723,Sun Jan 04 15:17:27 +0000 2026,We should play wide receiver cuz we're wide open on Sunday. Score a FREE 3pc Tendy's on @UberEats w/ $10 purchase today (Sunday) https://t.co/f252WJhD40,58,20,136,2,true,unknown,,primary,1,legacy_json_import,0,data/wendys,true,false,false,false,false,en,pending
fortune_top100_ranked::1449676758467424266,fortune_top100_ranked,fortune_x_2025_ranked,65,Caterpillar,@CaterpillarInc,@CaterpillarInc,https://x.com/CaterpillarInc,1449676758467424266,https://x.com/CaterpillarInc/status/1449676758467424266,Sun Oct 17 10:00:47 +0000 2021,"From yachts to hospitals, Cat engines and technicians keep the world up and running. Check out more of the Trial 10 action: https://t.co/QS4DgWVby5. https://t.co/SskNLH2xo9",0,4,20,0,false,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/065_caterpillar/accounts/01_primary_caterpillarinc,true,false,false,false,false,en,pending
benchmark_self_defeating_moonpie::1015275771504578560,benchmark_self_defeating_moonpie,moonpie_existing_collection,benchmark,MoonPie,@MoonPie,@MoonPie,https://x.com/MoonPie/status/1015275771504578560,1015275771504578560,https://x.com/MoonPie/status/1015275771504578560,Fri Jul 06 16:46:21 +0000 2018,I made a bot read 100 pages of bot-written scripts and then asked it to write a script where we talk about bot-written scripts https://t.co/HJ9C0jBkYM,72,995,5500,66,false,unknown,,primary,1,legacy_json_import,0,data/moonpie,true,false,false,false,false,en,pending
fortune_top100_ranked::1565033689750589440,fortune_top100_ranked,fortune_x_2025_ranked,55,Sysco,@sysco,@sysco,https://x.com/sysco,1565033689750589440,https://x.com/sysco/status/1565033689750589440,Wed Aug 31 17:48:03 +0000 2022,"Meet Eastern Wisconsin’s Inbound receiver Guy, who's been with Sysco for 12 years where he started as an Outbound Selector &amp; found his home as an Inbound receiver. 

In Guy’s free time he plays in a Metal Rock Band, so if you love to rock, call on Guy! https://t.co/sUXEHcShpn",0,0,6,1,false,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/055_sysco/accounts/01_primary_sysco,true,false,false,false,false,mixed,pending
benchmark_aggressive_wendys::1708846678881513926,benchmark_aggressive_wendys,wendys_existing_collection,benchmark,Wendy's,@Wendys,@Wendys,https://x.com/Wendys/status/1708846678881513926,1708846678881513926,https://x.com/Wendys/status/1708846678881513926,Mon Oct 02 14:09:31 +0000 2023,"“I’m emo” 

- Jimmy Butler 

(Via @ByTimReynolds ) https://t.co/IrL9Nqqvyv",980,3897,40280,3969,true,unknown,,primary,1,legacy_json_import,0,data/wendys,true,false,false,false,false,en,pending
fortune_top100_ranked::1704070306724245884,fortune_top100_ranked,fortune_x_2025_ranked,55,Sysco,@sysco,@sysco,https://x.com/sysco,1704070306724245884,https://x.com/sysco/status/1704070306724245884,Tue Sep 19 09:49:55 +0000 2023,"Quote of the day from Sysco at #climateweeknyc HGV freight session. ""Our goal is 2030, not 2040 or 2050 – which means it will be us, it will be this management team...who decides how we are going to do this...it is not a future generation problem to solve”.https://t.co/TmQjk2e0TE",0,2,6,0,true,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/055_sysco/accounts/01_primary_sysco,true,false,false,false,true,mixed,pending
fortune_top100_ranked::2019839032222503346,fortune_top100_ranked,fortune_x_2025_ranked,8,McKesson,@mckesson,@mckesson,https://x.com/mckesson,2019839032222503346,https://x.com/mckesson/status/2019839032222503346,Fri Feb 06 18:22:06 +0000 2026,"Early‑onset cases are rising and younger patients are facing new challenges. Leslie Busby, M.D., chief medical officer at @TheUSONetwork, shares why biopharma and community oncology must work together on new strategies, resources and support. Read more: https://t.co/N6JeWxXFfR. https://t.co/VPNIwahv7G",0,1,1,0,true,false,,primary,1,capped browser-based collection of observable public posts,0,data/raw/fortune_x_2025_ranked/008_mckesson/accounts/01_primary_mckesson,true,false,false,false,false,mixed,pending
