model_id,class_label,diagnostic_token,feature,weight,rank_abs_weight,leakage_flag
type_model_b_batch1_plus_wendys_human,self-enhancing,baconator,word__baconator,-0.023026,1,FAIL
type_model_b_batch1_plus_wendys_human,self-enhancing,baconator,word__baconator with,0.008873,2,FAIL
type_model_b_batch1_plus_wendys_human,self-enhancing,baconator,word__breakfast baconator,-0.006727,3,FAIL
type_model_b_batch1_plus_wendys_human,self-enhancing,nuggs,word__wendysspicynuggs,0.056451,1,FAIL
type_model_b_batch1_plus_wendys_human,self-enhancing,nuggs,word__nuggs,0.044295,2,FAIL
type_model_b_batch1_plus_wendys_human,self-enhancing,nuggs,word__spicy nuggs,0.043209,3,FAIL
type_model_b_batch1_plus_wendys_human,self-enhancing,nuggs,word__verified wendysspicynuggs,0.038775,4,FAIL
type_model_b_batch1_plus_wendys_human,self-enhancing,nuggs,char__nuggs,0.036426,5,FAIL
type_model_b_batch1_plus_wendys_human,self-enhancing,roast,word__nationalroastday,-0.113537,1,FAIL
type_model_b_batch1_plus_wendys_human,self-enhancing,roast,word__roasted,0.048271,2,FAIL
type_model_b_batch1_plus_wendys_human,self-enhancing,roast,char__roast,-0.045451,3,FAIL
type_model_b_batch1_plus_wendys_human,self-enhancing,roast,word__roasting,-0.036106,4,FAIL
type_model_b_batch1_plus_wendys_human,self-enhancing,roast,word__to roast,-0.021538,5,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,wendy,word__wendy,0.309622,1,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,wendy,char__wendy,0.149837,2,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,wendy,word__up wendy,0.097553,3,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,wendy,word__is wendy,0.093459,4,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,wendy,word__wendy app,0.091683,5,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,wendys,word__wendysspicynuggs,-0.019488,1,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,wendys,word__wendys,-0.018105,2,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,wendys,word__verified wendysspicynuggs,-0.01296,3,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,frosty,word__vanilla frosty,0.161949,1,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,frosty,word__frosty,0.066593,2,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,frosty,word__mints frosty,-0.012121,3,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,baconator,word__baconator,-0.036167,1,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,baconator,word__breakfast baconator,-0.01715,2,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,baconator,word__baconator with,-0.008649,3,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,nuggs,word__nuggs,-0.034824,1,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,nuggs,char__nuggs,-0.022142,2,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,nuggs,word__spicy nuggs,-0.021928,3,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,nuggs,word__wendysspicynuggs,-0.019488,4,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,nuggs,word__verified wendysspicynuggs,-0.01296,5,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,roast,word__nationalroastday,-0.06958,1,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,roast,char__roast,-0.058961,2,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,roast,word__roast,-0.043397,3,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,roast,word__roasted,-0.024722,4,FAIL
type_model_b_batch1_plus_wendys_human,self-defeating,roast,word__roasting,-0.021426,5,FAIL
