measurement_basis,hypothesis,model_id,fe_count,included_fe,dependent_variable,key_variable,beta1_intensity,beta2_intensity_squared,beta1_p_value,beta2_p_value,coefficient,classical_ols_se,t_stat,p_value,stars,n_obs,r_squared,adj_r_squared,df_model,df_resid,rank,turning_point,turning_point_in_observed_range,intensity_min,intensity_max,status,interpretation_level,note,n_fe_cells,inverted_u_check,beta2_stars
full_sample_predicted,H3,month_day_hour,3,"month,day,hour",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,week_day_hour,3,"week,day,hour",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,week_day_hour,3,"week,day,hour",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,year_month_week_day,4,"year,month,week,day",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,year_month_week_day,4,"year,month,week,day",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,year_month_week_hour,4,"year,month,week,hour",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,year_month_week_hour,4,"year,month,week,hour",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,year_month_day_hour,4,"year,month,day,hour",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,year_month_day_hour,4,"year,month,day,hour",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,year_week_day_hour,4,"year,week,day,hour",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,year_week_day_hour,4,"year,week,day,hour",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
batch1_human_coded,H3,month_week_day_hour,4,"month,week,day,hour",firm_mean_log1p_engagement,aggressive_intensity,,,,,,,,,,,,,,,,,,,,not_applicable,not_applicable,firm-level cross-section; no time dimension,,,
full_sample_predicted,H3,month_week_day_hour,4,"month,week,day,hour",firm_period_mean_log1p_engagement,predicted_aggressive_intensity,,,,,,,,,,,,,,,,,,,,unavailable,unavailable,week/day/hour not available in firm-month panel,,,
