no,id,text,label
131,1914824035609027011,Can't get Daniel to stop doing swirls in his Talladega @Wendys car https://t.co/o7I4ijkleN,affiliative
138,1907472436305813963,Keep your game fresh this March Madness with a $1 JBC or Double Stack in the Wendy’s app (w/ additional purchase). #NothingBeatsFresh,aggressive
140,1906741707875483676,"Get a $1 JBC or Double Stack all March Madness®. And now for the legal, but we added an emoji to make it cute.
#INTHEWENDYSAPPWITHOFFERANDADDITIONALPURCHASE",affiliative
146,1904565120010723568,"For all of March Madness®, get a $1 JBC or Double Stack in the Wendy’s app. Don’t worry about forgetting, we have a simple hashtag to help you remember: #DollarJBCorDoubleStackinWendysAppWithOfferLegalSaidToIncludeWithAdditionalPurchase",affiliative
149,1901851793795219858,March Madness bracket if  you picked each matchup by which School's home stadium is closest to an @Wendys location https://t.co/HBiHGjsNdg,self-enhancing
151,1893347732040880523,"Your outie dips their fries in their Thin Mints Frosty 
Your outie keeps their thin mints in the freezer 
Your outie uses X in light mode",aggressive
152,1892979312707473537,Im gonna show up at your door selling Thin Mints Frosty,aggressive
156,1886095648572760240,If i see my shadow u get 6 more weeks of vanilla frosty,self-defeating
158,1879984832446623928,Can’t believe we’re getting TikTok ban before gta 6,aggressive
161,1874116245085446380,"2025 = 45^2

It's a perfect square.  It will probably be the only perfect square year you ever get to live in.

The last time that occurred was in 1936.  The next will be in 2116.

So, make 2025 a perfect year for you.",affiliative
173,1847306069816594818,When mom doesn’t stop for a Wendy’s Krabby Patty Kollab burger https://t.co/jZgDsddw1l,self-enhancing
180,1841265943395082611,"If you want something done right, you gotta do it yourself. https://t.co/jEKOYLjxGc",affiliative
186,1834619968442323418,POV: me going straight from bed to the couch every Saturday,affiliative
189,1827852148366843989,Unhappy Hour means you can get a $1 Honey Buddy w purchase in the app. See? Life still has meaning - even on Monday mornings. https://t.co/9ANLjAkbTt,affiliative
204,1825310472368791724,Unhappy Hour means you can get a $1 Honey Buddy w purchase in the app. Also means monday morning but forget that part.,affiliative
212,1818340302802850216,My saucy nuggs get such a good block from the table they do a yurchenko double pike into my mouth,self-enhancing
217,1811077661101301959,"Workin’ on the ol’ photoshop skills again…
Hit us up if your profile pic needs some sauce",self-enhancing
220,1810007794310840603,Whenever i need new tires i just pull up to a pit crew during a nascar race @NASCARChicago,aggressive
221,1808626600872665366,.@shanevg97 you asked for some sauce for your race in Chicago. This work? https://t.co/e67YBsIvdK,aggressive
230,1793796655512183145,Stop taking the concept of a Biggie Bag and making it worse,aggressive
237,1785674044190175475,McDonald’s announced plans to create their largest burger ever https://t.co/IMnQErb8sy,aggressive
238,1785401765271101734,Look between CAPS LOCK and RETURN on your keyboard. That’s the alphabet. Use it to write an original joke.,aggressive
239,1783201437113082357,"Congrats 👑@reggiebush
Can we get our burger back now https://t.co/nSSLMRUv7m",aggressive
240,1783192374044184957,"You can get chili for $1 with purchase in the app today.
Which means you should get a @Cinnabon Pull-Apart to go with it and then like walk around and make people mad or sumthn. https://t.co/FGv8IS89zC",aggressive
248,1775209957358522399,New @Cinnabon Pull-Apart? It’s okay to have just a lil’ treat. 🥹,aggressive
255,1757905771189190791,Struggling to keep the romance fresh? Let Wendy’s &amp; Josh help with perfect pairing package. https://t.co/BSFaYwVdlv,aggressive
257,1757109191762747848,". @joshcellars burgers are fun
red wine is posh
wanna pair up?
nvm blame it on the Josh https://t.co/i8bRaSup6s",aggressive
266,1744381160086524197,sometimes a vanilla frosty after 8 months is enough to stop the voices,self-enhancing
267,1724894653793833227,"On the 1st Wednesday of Nuggetmas my true love gave to me: FREE NUGGETS.
.
.
.
.

Get a free 6 pc Nuggs today with any purchase from our in-app offer.
Limited time only at participating U.S. Wendy’s. Account registration required.",affiliative
271,1716894851499966760,WHERE IS WENDY,self-enhancing
293,1667183491551821832,@TheDrum You know why Wendys hasnt posted a ChatGPT ad? They dont cut corners.,aggressive
295,1663376242433720321,guess this means they went with our script 💅🔥⛏️ @nuggets @miamiHEAT @NBA #HeatNuggets https://t.co/mcdvyAyQQL,affiliative
301,1658178790713876486,A Frosty is a sweet treat. It is a drink. It is a sauce. It is fearless. It’s Frosty and it’s the new look for summer 🍓,self-enhancing
310,1650820225728741378,Hey @Wendys..... what's happening on your fb,aggressive
311,1648417729508958215,Where’s the beef?,aggressive
313,1648334094319882240,"McDonald's announced they're changing their burgers.  
Big Macs &amp; other burgers are getting softer buns, meltier cheese, tastier onions, and Big Macs are getting more Big Mac sauce. 

The changes are rolling out slowly. What do you think of this? https://t.co/7NvFsRco8w",aggressive
317,1644140500218179585,"I’m a burger girl, in a burger world https://t.co/E5UsSIHwBE",affiliative
322,1626647347584286720,That’s the perfect place for people that don’t like beef tbh,self-enhancing
323,1625171742267256839,"Just kidding, found it. #Daytona500 #NASCAR",aggressive
325,1625165317189009409,Where's the beef?,aggressive
328,1623545691305046016,A successful Trios Title defense means one thing.. an ELITE @Wendys feast. https://t.co/aA03WhTYrA,self-enhancing
330,1620468613915504645,"Put out garlic fries and didn’t even think about how it would make the vampires feel. My bad, y’all. That one’s on me.",self-defeating
339,1605335737368342528,"Want to know the secret behind my voice? Warming up with @wendys Holiday Peppermint Frosty. It is literally INSANE, so good guys. Go out and get one and let me know how much you love it #ad https://t.co/BFFtbYe5ln",self-enhancing
342,1604919683584401410,"Dave’s Double, No Cheese.",aggressive
344,1604865566057144320,"Since the job seems open, should I step up as the head of Twitter? I will abide by this poll.",aggressive
345,1602425619618332673,Love it when a USC Trojan gets what’s rightfully theirs. cc:@ReggieBush https://t.co/rrT0EuFiyt,affiliative
349,1598469601288982528,Jim Cramer says he likes these 3 best-of-breed restaurant stocks https://t.co/wTyUzClLrx,affiliative
350,1596245866121416704,No one lost. THEREFORE EVERYONE WINS. Free fries with purchase in the Wendy’s app. https://t.co/Wf19A9jLy2,affiliative
351,1596229186192302080,"Right proper match, innit? @wendysuk",affiliative
352,1596217383001108480,USA! USA! USA! Let’s get these fries,affiliative
359,1585376361237340160,Secure the city. Secure the bag. Come hang while we stream Gotham Knights. 🦇 https://t.co/ppA1jjEaki,affiliative
360,1582484431620567040,You afraid of ghosts? Come hang while we stream Ghostbusters! Thanks. 👻https://t.co/P0GZ7DZXWO,affiliative
364,1581410264339009536,"I had about 6 French Toast Sticks and I’d do it again. BGs, start your day with @wendys new #FrenchToastSticks #BravoCon #ad https://t.co/jXUuOFStao",affiliative
366,1580580422408622081,"Who’s a TRUE Reggaeton OG? No need to guess, he is here at #PandoraLIVE El Pulso! Join us by RSVP at https://t.co/bcSKvW6MqW for the show at 8:50pm ET tonight at https://t.co/0qvXb4uABp @pandora",affiliative
367,1578434005996695553,"Purple and covered in nerds, just like @Twitch #TwitchCon2022 https://t.co/xZYQpzthC6",aggressive
368,1577345554614566913,Got tired of chasing trends. Please have a cheeseburger for lunch,affiliative
369,1577337977071706113,Low vibration angel numbers astrology overwatch 2 house of the dragon sir this is a wendy’s Mario movie spooky season breath of the wild 2 soup-core Minecraft streaming Fortnite anime vibes aesthetic gen z Elden ring corn,self-enhancing
371,1574473925165449216,Sci-fi is when you have this Wendy; fantasy is when you have that Wendy https://t.co/NwLaLK2Cs3,affiliative
372,1573323893967822851,He was just excited. https://t.co/BpyGBb6pIS,self-enhancing
373,1572656302614085632,Walking outside after they say the ice cream machine’s broke https://t.co/fEK83Gk9rr,aggressive
374,1570426440428187650,You shouldn’t have said anything … https://t.co/iRUrFOCaNs,self-defeating
377,1567614811046920193,"Aw geez, the Rick and Morty merch is limited edition?? Better order a Rick and Morty combo through the @ubereats app to win some before it’s gone.",self-enhancing
379,1562870837283135495,She's still his favorite mom. https://t.co/8Ip4FPIdwI,affiliative
383,1559912735525183488,Are you telling me the French Toasted this stick?,aggressive
384,1559639856925626369,"Whoa, chill. No one said anything about compliments. Just trying to tell you we have new French Toast Sticks. Are you guys new here? https://t.co/EEXGiyMieO",aggressive
385,1559627059491704832,"You know what rhymes with Roast? 
Toast. Let’s do a whole Toast Day thing. Might be fun.",affiliative
387,1555198547494051842,"@facelessfreebie Whoops! My b, bestie. Messed up your handle. Hope that proposal still stands.",aggressive
388,1555192002639175681,@MichaelaBarger7 we only have fries for you (and millions of others) #ChooseHotAndCrispy https://t.co/g2AUqoXZYG,affiliative
389,1555191997006286852,@FaceleeFreebie I do… not plan on wearing chains #ChooseHotAndCrispy https://t.co/X0Byoml3pt,aggressive
390,1555191981285974016,@HustleBunnee can we get an amen up in here? #ChooseHotAndCrispy https://t.co/mtlz7F1bty,aggressive
392,1555191970682867712,"@ChaosYT_ call us mrs. steal ur anime boi, @BurgerKing  #ChooseHotAndCrispy https://t.co/uEfjlwXbV2",self-enhancing
395,1554830029871230979,"If you love us so much, put a 💍 on it baybeee 

Tweet us your fry proposal with #ChooseHotAndCrispy for a chance at FREE FRIES for one year. https://t.co/roTbEnTrOY",affiliative
396,1552389305695453184,It’s always BeReal this and BeReal that when it would BeReal nice if you called your mother,aggressive
397,1551575748741324801,"Free medium fry with any Frosty. Name a better duo, we’ll wait.",self-enhancing
398,1550536004293074949,RT @sad_dad_time: babe wake up wendy’s is talking to emo bands again,self-defeating
399,1550527908137025536,babe wake up wendy’s is talking to emo bands again,affiliative
406,1546922193661181953,When i text you “🗣” know that sir this is a Wendy’s,self-defeating
407,1546869599492243457,"If your egg wants to go jellyfishing, you picked the wrong breakfast. https://t.co/FZHhrnjNIh",aggressive
408,1545154011778748419,sneak a Frosty in your purse https://t.co/piZUzsFJBo,self-enhancing
409,1541483384542842883,They’re a 10 but they say they’re lovin’ it 🧐,affiliative
414,1536788752739205121,This is the first Strawberry Frosty Moon in 4.53 billion years! This won’t happen again until the heat death of the universe 🤯🤯🤯 @NASA @neiltyson,affiliative
418,1522284287239897092,"Shout out to all the zero like ratio tweets out there just existing, living the life they want instead of the one they were told to.",aggressive
421,1514667895497887748,"Dropped a Spicy Nugget under the front seat one time, but it’s gone now. Not because someone (not me) got out of the car and got down there and found it and ate it…because that definitely didn’t totally happen.",affiliative
422,1513983410930335753,"Well, no one else was using the drive thru. 🤷‍♀️",self-defeating
423,1511766482291765248,When they say “let’s split some nuggs” but they actually mean “do you wanna speed eat in silence as we each try to get the most”.,affiliative
424,1511410018083647489,That tomatonator is sounding good for lunch,self-enhancing
429,1510996113079296010,"Oh it’s on! @Wendys and @Skittles faced fierce competition, but now it’s time to decide once and for all who the best brand on Twitter is. And it’s all up to you.

Who should win #BestOfTweets Brand Bracket ‘22?

🍟 @Wendys
VS
🌈 @Skittles

Vote now!",aggressive
434,1509591862335655943,"The  #BestOfTweets Brand Bracket Semifinals are here.

In this round, Conversation Starters and Iconic Mascots collide. But you pick who will advance to the finals. 

✈️ @Delta’s travel tips
VS
🍟 @Wendys infamous spice

Vote now!",self-defeating
445,1504835309258817538,"Rounding out the first week of #BestOfTweets Brand Bracket.

On deck: top hats and hot takes. 
🥜 @MrPeanut’s nonstop nuttiness
VS
🍟 @Wendys infamous spice

Vote now!",aggressive
446,1503793289081851912,Let's get moderately schwifty then hit up Morty's Mayhem at Resorts World for the good brekky.,affiliative
447,1503780715489423360,Hoops and @wendys Breakfast go hand in hand and there’s only one place to get them together - VEGAS baby! #ad https://t.co/Cj5g1diqBR,affiliative
448,1503438625672937479,"RT @Wendys: Wendy’s Pick ‘Em is BACK, baby! 

Hit the ❤️, and we’ll hit you up when it’s time to make your picks for EVERY round of March M…",affiliative
449,1500883144530092034,"What if I told ya the classic ✨Dave’s Single ✨ was just $1 in the app? Welp, this is me telling you.",self-enhancing
450,1498659324910047233,"Crispy, chicken &amp; habanero hot honey on a fluffy biscuit - Wendy’s NEW Hot Honey Chicken. How’s that for a “good morning”?",affiliative
452,1494385125680893961,Lil ✨sweet✨. Lil 🔥spicy🔥. Wendy’s NEW Hot Honey Chicken Sandwich really can do it all.,self-enhancing
453,1493720865254428676,"Come hang with the cool kids while we watch @eNASCARCocaCola Series opener of the @iRacing Series at Daytona tonight! Starts at 9pm EST on Twitch. I’m cheering for @Dr_Bob41 in that Wendy’s car. 🏎 

https://t.co/uEukJGdbM6",affiliative
454,1491535958713458690,"hi, i'm johnny knoxville and...

Sir, this is a Wendy's.",aggressive
455,1491487068584824843,Soggy fries where? I don’t have any.,self-enhancing
458,1486700523201839104,"Whatever wakes ya up, drink it ✨free✨ from a Wendy’s cup. Free drink with any breakfast sandwich.",self-enhancing
459,1485407829506904069,Tune in for the cool and crispy moves on the Knuckle Huck while crushing some of those hot and crispy Official Fries of X Games Aspen. (That’s our fries),self-enhancing
461,1483861582073548809,From our lawyers: Not based on actual data. “Coca-Cola” is a registered trademark of The Coca-Cola Company.,aggressive
462,1483829962012569606,Top free drink in your state according to our psychic. https://t.co/zWigqhWQDc,self-enhancing
464,1481395692220395527,I heard when they breed the dogs to have faces like that it's really bad for the animal. #NationalRoastDay,aggressive
466,1481342770623225856,"New stuff sounds like my little brother trying to cuss for the first time.
#NationalRoastDay",aggressive
468,1481341396430766085,"Everyone good? Feeling great? 
Still many hours left in the day, but take a quick lunch break because we’re trying to push this free medium fries with purchase thing in the app and I want to keep my job.",self-enhancing
469,1481306650132848645,"For something that pretends to be a sport, your ""athletes"" sure suck at rounding bases.
#NationalRoastDay",aggressive
470,1481299289582231566,"Dang, your hair didn't even show up to your birthday party. #NationalRoastDay",aggressive
472,1481295012646334468,"It’s #NationalRoastDay™ 
Drop the “roast me” below 👇

Oh, and don’t forget to get free medium fries with purchase, in the app.
Gotta do something with all this salt.",aggressive
474,1480539931294511104,What’s up? You’re up. So go pick up any Wendy’s Breakfast Sammie and get a free drink.,self-enhancing
475,1471541646902935552,Potatoes wish they could be our fries when they grow up.,affiliative
476,1468943521403052038,Me sleeping knowing I’m getting $1 biscuits tomorrow a.m.: 👁👄👁,self-enhancing
477,1466438148829941770,"Even if I didn’t pass math, I still got this breakfast biscuit for just $1. So that’s pretty nice.",affiliative
478,1466406802673717250,How much is a breakfast biscuit at Wendy's? 8÷2(2+2)÷16 Dollars,self-enhancing
482,1460682535650971649,the internet just couldn't handle how rad these picks are,self-enhancing
484,1459189091984150532,Heard My Space was back https://t.co/6CpTXW2TPX,affiliative
485,1456269198896680968,How many fingers am I holding up? Just one… for the $1 hot &amp; buttery Breakfast Biscuit.,self-enhancing
486,1455253881135538184,"Ghosts, ghouls, monsters. None of these are nearly as terrifying as cold and soggy fries. Try Wendy’s new hot and crispy fries and save yourself the scares.

https://t.co/l2VERKj3PO",self-enhancing
488,1454154005559627781,"Add a spooky thrill with a quick story of fright and freezing to your next drive thru visit. Don't worry, you're safe…you’re at Wendy's...right? https://t.co/7R4UXJ3WiK",affiliative
489,1453805031463993346,Changing name to Meat,aggressive
490,1453783325517262852,Fries or sauce forks: what do you call them where you're from???,affiliative
491,1453067485343801349,Dave’s single so why can’t you be? Grow up.,aggressive
492,1451578964280025096,repost if you dip your phone i̶̹̦̔͌̊̍͒̉͊̀ņ̷̖̯̩̯̈́͑̀̀̌͊̃ͅ ̷̡̬̤̺̖̫͐̔͌͜t̸̹̠̥́̄͆̕̚͜͝h̴̡̠͕̩͕͉̅̀́͜ė̴̺̄ ̷̢̭̖̱̦̇͆̅̎ẅ̴̻͈̝̩̰͈́͑͛̑̅̍̈́̽ͅḛ̴̈͗̃͂n̷͍̜͇̮̩̳̈̚͝d̴̥̘̤̞̟̙͉͊̿́y̴̢̫͖͍͖͐͂̀͜s̴̨̱̠̳͝͠ ̵̧̯̰͚̩̒͗f̵̡̙̗̻̬̑͌͊̈́̓r̶̞̬͔̞͖̈́̐̉o̷͎̐́s̶̬̮̝̬̝̘͉̊͗̃̈́̒͝ͅt̵̢͍̳͚͉̙͓͔̏̾́y̴̯̐̍̿̓̚͝͝,aggressive
493,1451256272007872517,When you eat all the fries otw home: “T’was just the appetizer.”,affiliative
494,1450114742375362565,"Alright friendys, Fanta has 3 new Mystery Mixes, and you could win $10,000 if you guess any of the flavors. Best case scenario? You win $10k. Worst case scenario? You enjoy a delicious new beverage. That’s what we call a win/win.#WhatTheFanta #Sweepstakes

https://t.co/nnx7w1wTsX https://t.co/L5iczmWZjM",affiliative
497,1445105618357002243,"where the things that should be fresh are frozen, and the things that should be frozen are out of order.",aggressive
498,1445088131145940995,Can you lend us a hand? We might lend one back,affiliative
499,1445048052235051010,"if u were the person who ran the McDonald's account for a day, what would u tweet",aggressive
500,1442946786688057344,"Did you know that every time there’s a pick-six, a Breakfast Baconator gets its six-strips-of-bacon wings?",aggressive
501,1442530592109645832,"Best breakfast sandwich, no bull shirt.",self-enhancing
502,1442528227717693445,Them Breakfast Baconators From @Wendys Be The Shirt.,self-enhancing
510,1440059703296348161,Mid donalds,aggressive
511,1439257913428615168,"Every Saturday and Sunday in September, get a free 6pc Spicy Nuggs w/ purchase AND free delivery in the Wendy’s App!

Your coffee table should be so lucky.",affiliative
512,1438927615797104640,Soda in the water cup is about as sneaky as three kids in a trench coat,aggressive
513,1438222894014865408,Who else has a “normal person voice” they use when they pull up to order at the drive-thru?,aggressive
514,1435333827812106244,Use your big brain to win the right to sit on your big brain. Our Tetris 99 tournament for the Wendy’s Big Brain Bean Bag Chair starts NOW at https://t.co/P0GZ7DIn5g https://t.co/ZKC1qBpjXc,affiliative
516,1434154280542474244,"Best way to get game ready? A good breakfast, duh. Don’t worry tho. We’ve got ya covered.",affiliative
519,1431621266583261187,Just cause we’re the Official Breakfast of College Football doesn’t mean we are playing around with breakfast.  ¯\_(ツ)_/¯,affiliative
520,1430213213367513093,There are Wendy’s Spicy Nuggs and then there are the knockoffs. #WendysSpicyNuggs,self-enhancing
521,1428703371024900102,"Croissant or ✨𝒬𝒲𝒜𝒮𝒜𝒰𝒩𝒯✨, no matter how you say it grab one this a.m. for just $1.99.",affiliative
522,1427345012677910533,Best Spicy Nuggs on the block. Verified. #WendysSpicyNuggs,self-enhancing
527,1425503905832701956,Do you love Wendy’s? Do you love Wendy’s Spicy Nuggs? Do you also love Discord? Then you’re going to triple love our Genshin Impact stream on Twitch. Watch us live or hang out in our new Spice Club channel on Discord https://t.co/P0GZ7DIn5g,self-enhancing
528,1425189040211566593,"Verified tweets for verified eats. There’s only one top dog in the spicy nugget game, and that’s verified. #WendysSpicyNuggs",self-enhancing
531,1419719465453953024,Expand your  ✨🧠𝑀𝐼𝐼𝐼𝐼𝐼𝒩𝒟🧠✨and keep your pockets lined with BOGO $1.,affiliative
532,1419376178671009792,"Hey @Grubhub, what kind of food are you going to have at this livestream tonight? Asking for a hungry friend.",affiliative
534,1417914905617965066,Our BOGO $1 is for the big brains (not smol).,self-enhancing
535,1417199040542949378,Replying to your own tweet about BOGO $1 headshots knowing you’re going to big brain yourself https://t.co/ukbFR9wKJF,self-enhancing
536,1417137962215743489,We’re taking BOGO $1 headshots. Who wants one?,aggressive
539,1415476190920548354,It’s showtime! Get a FREE 4 piece spicy nuggets with FREE delivery on orders of $15 or more through @grubhub. Things are guaranteed to get spicy. @pandoramusic https://t.co/wmQvIcdfAH,self-enhancing
540,1415355158700171268,"Get your favorite Wendy’s meal, get your favorite chair, and get ready for @edsheeran to go live tonight at 9pm ET! Tune in here: https://t.co/wmQvIcdfAH",affiliative
544,1407742489528836099,I am tired of lunch. These clowns. I am tired of people caught in the freezers of their beef. https://t.co/8qMWdd2CGf,aggressive
549,1406685219315404801,“And that’s the way the news goes!” https://t.co/147w3Q4SHX,aggressive
551,1406047214963728385,"If someone sees a Mr. Meeseeks walking around 14645 Roscoe Blvd, Panorama City, CA, please let him know that his break is over. The sooner he finishes his shift, the sooner he can disappear.",aggressive
553,1406015436915945475,"Sir, this is a Morty’s. https://t.co/u7B1GLMGLL",aggressive
562,1400982621757247491,Thank you Julien https://t.co/42jvTo4e68,affiliative
564,1397992184213917701,"Every time I eat the Bourbon Bacon Cheeseburger I say “Time to get my Bourb-ON!” 

And then everybody laughs because I’m the only one at the table.",self-defeating
566,1397493144254623748,"Britain just got a new favourite redhead. 

#SorryNotSorryRonald 😉",aggressive
572,1388192293216309250,"Oh, snap! $1 Any Size Fries and Pokemon Snap? Watch us play it on Twitch and grab yourself some $1 fries in our app! https://t.co/P0GZ7DIn5g",affiliative
574,1385655564835901449,"Wendy, Honey, Butter and Chicken Biscuit are on the hunt again. Watch us stream Monster Hunter Rise on Twitch and grab a Honey Butter Chicken Biscuit for a $1.99 the next time you get breakfast. https://t.co/P0GZ7DIn5g",self-enhancing
575,1383119249741348866,We’re hunting monsters in Monster Hunter Rise on Twitch. And if you’re hunting a great deal get the $1.99 Honey Butter Chicken Biscuit this month. Watch the stream now! https://t.co/P0GZ7DIn5g,self-defeating
577,1382148071656591360,Yellow Wendy’s use to hit different 📈 https://t.co/NIRiwHv43w,self-defeating
587,1378437146709782530,"Friends finish each other's sentences, like how @Wendys has a $0 delivery fee on",self-enhancing
588,1377655396085727235,Free Junior Bacon Cheeseburger for all ya wah wah babies,aggressive
589,1377644234833063936,Buy-bu-bu-bu-buy,self-enhancing
593,1376979649578872837,What’s better than Wendy’s Honey Butter Chicken Biscuit? Wendy’s  $1.99 Honey Butter Chicken Biscuit. Get yours today! https://t.co/0xe5ukedCm,self-enhancing
600,1372971843255164934,"Watch us drain some threes in 2k, and score a free Honey Butter Chicken Biscuit this Saturday. 😎🍯
https://t.co/P0GZ7DIn5g",self-enhancing
601,1372888082979061767,"FREE Honey Butter Chicken Biscuit today and Saturday, NO CATCH. See? No losers in Biscuitball.🤘🏽🍯 https://t.co/VjyFP6uFAj",self-enhancing
604,1372241709497774085,"Direct deposit $1,400

Me at @Wendys: 🚨Bag alert major bag alert!!!🚨

💰💰💰",self-enhancing
608,1371829641674158086,I’m having @Wendys breakfast W or L,self-enhancing
609,1371526729534222338,"Ok, true story time: they are square because they have four equal sides that meat at 90 degree angles",aggressive
613,1370809149626417152,"I’d say your favorite combo is your new jersey number, but then everybody would be 44.",affiliative
615,1370466586314866690,"We’re back to making an Impact. Grab your FREE Spicy 10-Piece in our app, and then hop in the stream. https://t.co/P0GZ7DIn5g",self-enhancing
616,1370124888049061895,"It’s MARCH MADNESS TIME, BABY. Choose wisely in our tournament polls and we’ll hook you up with some sweet deals.

❤️ this tweet and we’ll hit you up when it’s time to vote in each tourney round. https://t.co/rvWMGK1xv6",affiliative
624,1367313189030006787,it’s all boneless,aggressive
625,1365415423047577602,Should I ban george again?,aggressive
626,1365376931051548678,"Well, you convinced us to play genshin impact, but now you have to come to the stream and help us figure out what we’re doing. Let’s do it! https://t.co/P0GZ7DIn5g",affiliative
627,1364258730125197314,"What’s poppin? Is that a thing people say still? Anyway, the answer is this Jalapeño Popper Chicken Sandwich. It rules.",self-enhancing
629,1362850965838258179,We’re kicking bass and takin lakes! We’re reelin in some fresh fish and dealin out our new Crispy Panko Fish Sandwich. Check out our stream now! It’s guaranteed to be as exciting as actual fishing: https://t.co/P0GZ7DIn5g,self-enhancing
631,1361826031137652737,Oh no...how embarrassing. Hopefully no one reads this.,self-defeating
633,1360298310762979329,Savor the moment. The best roasts of #NationalRoastDay 2021 are right here. https://t.co/naLA8BFQrw,affiliative
634,1360011130048049153,"Well, that was fun. To all of those we torched, as they say, “you roast the ones you love.” If we didn’t get to you, maybe that’s the biggest burn of all. Either way, Free Frosty-ccino in the Wendy’s app all week long! #NationalRoastDay",affiliative
639,1359973584878391306,Looks like you're about to open up a circle pit at a Build-A-Bear. #NationalRoastDay,aggressive
642,1359943682221363204,"You're what people put up to scare the scarecrows.

Loved your work in trolls world tour

If you give this guy a swirlie he'll clean your toilet.

Washed up Ryan Cabrera is definitely on the way down.

Boom 4for4 #NationalRoastDay",aggressive
648,1359919274958196736,Congrats on being the world’s first stale flavored chip.  #NationalRoastDay,aggressive
650,1359908897054732290,Even Papa John wouldn't eat 40 of you in 30 days. #NationalRoastDay,aggressive
653,1359902805901910026,"Dude, your eyes need to start practicing some social distancing. #NationalRoastDay",aggressive
657,1359577880326524935,"#NationalRoastDay is tomorrow.
If you didn’t know, now you know. Either way, you’re a jabroni.",aggressive
658,1359215493626949637,"rOaSt Me WeNdY’s
Fine. Come back on Thursday cause we’re roasting everyone on Thursday cause Thursday is #NationalRoastDay",aggressive
661,1356328102188748802,"Making a mcstake can happen, just glad you learned from it.",affiliative
668,1346894350182182912,"Hey funny zoom background guy, it’s a new year. That means finding something else to make up for your lack of personality, and also #NationalRoastDay is about to be back! SOON.",affiliative
672,1340008979494301696,"First we wake, then we BACONATE! @MMATAband, you ready?",affiliative
674,1339620945347178500,"Listen, the family photo shoot turned out great, but Baconator makes everything better. Send us your family holiday card, and we will Baconate the heck out of it.",affiliative
676,1338523478648107011,Ain’t no party like a Baconator party cause a Baconator party…,affiliative
677,1337140424444669954,We’re live and we’re taking next-gen to the next level. Watch @itshafu enjoy the sweet taste of victory and other dope menu items thanks to @UberEats. The graphics on these games aren’t the only thing crispy round here. Iykyk lol. https://t.co/IiVQtgeT16,affiliative
