fortune_rank,company_name,normalized_company_name,official_x_account_status,official_x_handle,official_x_url,evidence_source_url,evidence_source_type,evidence_strength,confidence,scrape_eligible,collection_status,collection_priority,collection_scope,collection_start_policy,collection_end_policy,max_posts_policy,notes
22,Ford Motor,ford_motor,official,@ford,https://x.com/ford,https://www.ford.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Ford homepage footer Follow Ford section links directly to Twitter/X account @ford.
25,Home Depot,home_depot,official,@homedepot,https://x.com/homedepot,https://corporate.homedepot.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: The Home Depot corporate homepage footer Corporate Info section links directly to Twitter/X account @homedepot.
26,Fannie Mae,fannie_mae,official,@FannieMae,https://x.com/FannieMae,https://www.fanniemae.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Fannie Mae homepage footer Social media section links directly to X/Twitter account @FannieMae.
27,Kroger,kroger,official,@kroger,https://x.com/kroger,https://www.thekrogerco.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: The Kroger Co. homepage footer Connect with us section links directly to X account @kroger.
28,Verizon Communications,verizon_communications,official,@verizon,https://x.com/verizon,https://www.verizon.com/about,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Verizon About homepage footer Follow Verizon section links directly to X account @verizon.
30,Marathon Petroleum,marathon_petroleum,official,@MarathonPetroCo,https://x.com/MarathonPetroCo,https://www.marathonpetroleum.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Marathon Petroleum corporate homepage footer Follow Marathon Petroleum section links directly to X account @MarathonPetroCo.
33,Freddie Mac,freddie_mac,official,@FreddieMac,https://x.com/FreddieMac,https://www.freddiemac.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Freddie Mac homepage footer Follow us on social media section links directly to Twitter/X account @FreddieMac.
41,Dell Technologies,dell_technologies,official,@delltech,https://x.com/delltech,https://www.dell.com/en-us,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Dell homepage footer Connect with Us section links directly to X account @delltech for Dell Technologies.
42,Target,target,brand_official,@TargetNews,https://x.com/TargetNews,https://corporate.target.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Target corporate footer links to Target news X account @TargetNews. Accepted as official Target corporate/news account rather than retail candidate @target; direct candidate @target was not used without official-source evidence.
45,Johnson & Johnson,johnson_johnson,brand_official,@JNJNews,https://x.com/JNJNews,https://www.jnj.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Johnson & Johnson homepage footer Socials section links to Twitter/X account @JNJNews. Accepted as official J&J news account rather than candidate @johnsonandjohnson; direct candidate was not used without official-source evidence.
47,Boeing,boeing,official,@Boeing,https://x.com/Boeing,https://boeing.mediaroom.com/social-media-center,social_directory,level_4,medium,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Boeing official Social Media Center lists Boeing X as @Boeing among global channels.
50,FedEx,fedex,official,@FedEx,https://x.com/FedEx,https://www.fedex.com/en-us/home.html,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: FedEx homepage footer Follow FedEx section links directly to Twitter/X account @FedEx.
51,Progressive,progressive,official,@progressive,https://x.com/progressive,https://www.progressive.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Progressive homepage footer social links include Twitter/X account @progressive.
52,Lowe's,lowe_s,official,@Lowes,https://x.com/Lowes,https://corporate.lowes.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Lowe's corporate homepage footer Stay in touch section links directly to Twitter/X account @Lowes.
54,Procter & Gamble,procter_gamble,official,@ProcterGamble,https://x.com/proctergamble,https://us.pg.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: P&G US homepage footer social links include Twitter/X account @proctergamble.
59,MetLife,metlife,official,@metlife,https://x.com/metlife,https://www.metlife.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: MetLife homepage footer social links include Twitter/X account @metlife.
62,New York Life Insurance,new_york_life_insurance,official,@NewYorkLife,https://x.com/NewYorkLife,https://www.newyorklife.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: New York Life homepage footer social links include Twitter/X account @NewYorkLife.
65,Caterpillar,caterpillar,official,@CaterpillarInc,https://x.com/CaterpillarInc,https://www.caterpillar.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Caterpillar homepage footer Follow Caterpillar on Social Media section links directly to Twitter/X account @CaterpillarInc.
68,Merck,merck,official,@Merck,https://x.com/Merck,https://www.merck.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Merck homepage footer Connect with us on social section links directly to Twitter/X account @Merck.
69,Nationwide,nationwide,official,@Nationwide,https://x.com/nationwide,https://www.nationwide.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Nationwide homepage footer social links include Twitter/X account @nationwide.
73,Pfizer,pfizer,official,@pfizer,https://x.com/Pfizer,https://www.pfizer.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Pfizer homepage footer social links include Twitter/X account @Pfizer.
75,ConocoPhillips,conocophillips,official,@conocophillips,https://x.com/conocophillips,https://www.conocophillips.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: ConocoPhillips homepage footer Social Navigation links directly to X account @conocophillips.
76,Galaxy Digital,galaxy_digital,official,@GalaxyHQ,https://x.com/GalaxyHQ,https://www.galaxy.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Galaxy official homepage footer social links include Twitter/X account @GalaxyHQ.
77,AbbVie,abbvie,official,@abbvie,https://twitter.com/abbvie,https://www.abbvie.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: AbbVie homepage footer Social Links section links directly to Twitter/X account @abbvie.
82,Oracle,oracle,official,@oracle,https://x.com/oracle,https://www.oracle.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Oracle homepage footer social links include X account @oracle.
83,Cisco Systems,cisco_systems,official,@Cisco,https://x.com/Cisco/,https://www.cisco.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Cisco homepage footer social links include X account @Cisco.
84,HP,hp,official,@HP,https://x.com/HP,https://www.hp.com/us-en/home.html,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: HP US homepage footer Stay connected section links directly to X account @HP.
85,Charter Communications,charter_communications,brand_official,@getspectrum,https://x.com/getspectrum,https://corporate.charter.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Charter corporate homepage footer Follow Spectrum section links to X account @getspectrum; accepted as brand-level Spectrum account because no separate Charter corporate X account was exposed on the official source.
88,Intel,intel,official,@intel,https://twitter.com/intel,https://www.intel.com/content/www/us/en/homepage.html,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Intel US homepage footer social links include Twitter/X account @intel.
90,Ingram Micro Holding,ingram_micro_holding,official,@IngramMicroInc,https://x.com/IngramMicroInc,https://www.ingrammicro.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Ingram Micro homepage footer social links include X account @IngramMicroInc.
92,Uber Technologies,uber_technologies,official,@uber,https://twitter.com/uber,https://www.uber.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Uber homepage footer social links include Twitter/X account @uber.
96,Travelers,travelers,official,@Travelers,https://x.com/Travelers,https://www.travelers.com/,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Travelers homepage footer social links include X account @Travelers.
98,Coca-Cola,coca_cola,official,@CocaCola,https://x.com/CocaCola,https://www.coca-cola.com/us/en,corporate_footer,level_1,high,true,queued_not_collected,top100_verified,timeline_posts_if_accessible,to_be_defined_before_collection,to_be_defined_before_collection,to_be_defined_before_collection,Queue scaffold only; not collected. Source verification note: Coca-Cola US homepage footer social links include X account @CocaCola.
