candidate_id,sampling_stratum,fortune_rank,company_name,assigned_coder,text,presence_code,humor_label
C01410,random_fortune_sample,99,Nike,coder1,"Don’t Mess With Tejas.

The Ranger’s 2026 City Connect uniform reimagines elements of past Rangers looks while celebrating the Mexican influence woven into the state’s identity — and into the name the team proudly represents. 

From the “Tejas” name across the chest to the paper picador patch, these uniforms are a reminder that whether pronounced with an X or a J, the it’s the same place and a shared pride in calling Tejas home. 

Available now at https://t.co/eacxrL7nY7",0,0
C00435,humor_presence_uncertain,67,Eli Lilly,coder1,"Loxo Oncology at Lilly announced results from the Phase 1/2 BRUIN study in #CLL and #SLL.

We’re proud to share these data at #ASH20. Learn more: https://t.co/dCd78MA1Jo https://t.co/vnuDdPEFwh",0,0
C01009,type_uncertain,33,Freddie Mac,coder1,"By preserving rents at workforce housing properties, modest-to-low income tenants can be supported. With our Workforce Housing Preservation, learn how borrowers are leading the way with a private-sector approach to providing attainable housing.  https://t.co/osMgzGBgR9 https://t.co/2euQtOpkNz",0,0
C01169,type_uncertain,93,USAA,coder1,USAA is proud to be the Official Military Appreciation Sponsor of today’s @valeroalamobowl in San Antonio. Visit us at the #FANZONE pre-game! https://t.co/I97IhHrwIU,1,1
C00392,humor_presence_uncertain,12,JPMorgan Chase,coder1,Energy is high tonight in #Dubai for the @DDFTennis @WTA Women’s Final 🎾. We’re proud to be supporters for the eighth year running. https://t.co/Q4IvPJRuwT,0,0
C00298,full_chain_aggressive,99,Nike,coder1,"Hoopers get your hard hats. It’s time to go to work. 

The Sabrina 3 ‘Blueprint’ is available now. https://t.co/hTF7SR0lP3",1,1
C00158,firm_balanced_sample,94,TIAA,coder1,RT @p4parity: 📢 Join us on 2/22 at 1:45pm ET for a Black History Month leadership talk with our CEO Sandra Quince and @TIAA Chief Human Res…,0,0
C00934,random_fortune_sample,37,Comcast,coder1,"RT @LIFT_Labs: Coming soon to Black Experience on @Xfinity, @Peacock, and @Xumoplay—#CultureCapitalSeries, the story of nine game-changing…",0,0
C01123,random_fortune_sample,10,Cencora,coder1,"Tim Cernohous reflects on his first time attending ThoughtSpot, highlighting the invigorating experience of engaging with customers and understanding their evolving needs and challenges. 

Read his thoughts:https://t.co/xSACZ8jiZt https://t.co/0xi8Ijn41G",1,1
C00880,classifier_disagreement,53,Energy Transfer,coder1,"#EarningsCall: In our NGL segment, NGL exports were up 19%, setting a new Partnership record.
NGL transportation volumes were up 12%, with NGL fractionation volumes also up 11%, setting a new Partnership record.",0,0
C00183,random_fortune_sample,10,Cencora,coder1,"We are proud to be listed as one of @Forbes' Best Employers for Diversity in America. 

We are committed to playing a meaningful role in our communities and workplaces by creating pathways for every team member to thrive. https://t.co/hBC1tiVbgd",1,1
C01358,humor_presence_uncertain,31,StoneX Group,coder1,"Coffee prices are under pressure as a record Brazil crop and rising global supply point to a surplus in 2026, reshaping the market outlook despite ongoing risks. 

Download the StoneX 2026 Commodities Outlook: https://t.co/Z4M2zkydIg https://t.co/ekmcNFM8rZ",1,1
C00514,random_fortune_sample,52,Lowe's,coder1,"April almost didn’t apply for the Lowe’s Small Business Grant but decided to give it another shot. Receiving her grant has allowed April to hire five employees, stock up on inventory and continue feeding the community. https://t.co/PTwhLRJg6d",1,1
C01230,high_engagement_posts,84,HP,coder1,"Congratulations to @LewisHamilton  and @ScuderiaFerrari HP on a strong P3 finish in Shanghai — his first Grand Prix podium with the team, and a result that reflects growth, trust, and execution at the highest level. https://t.co/JXw4Cmy3sh",1,1
C00375,wendys_transfer_aggressive,64,Allstate,coder1,RT @WeAreAFCA: Have a student-athlete who stands out amongst all the rest for their dedication to giving back? Submit your nomination for t…,0,0
C01142,type_uncertain,22,Ford Motor,coder1,"In honor of Women’s History Month, we’re celebrating female athletes in our community who are breaking barriers and defying stereotypes on the courts and racetracks 🎾 🏎 #WHM #ItsHerTurn https://t.co/fg9IDZMjr4",1,1
C00308,high_engagement_posts,78,Prudential Financial,coder1,Saving for college and retirement at the same time is tough. Especially for a town that’s booming with babies. https://t.co/bYoNsvMicx,0,0
C00492,classifier_disagreement,96,Travelers,coder1,"RT @TeamRubicon: Three massive storms. Zero headlines. A community needing support. That was the story of Selma, Alabama, which endured a h…",0,0
C00723,low_engagement_posts,25,Home Depot,coder1,@DCGirl53 We hate to keep you waiting! Pls send ur order number/contact info to TeamSocial@homedepot.com for help.  -TeamCare,1,1
C01402,wendys_transfer_aggressive,72,Publix Super Markets,coder1,"If you could be any Publix Bakery item, which would you be? 🍪🎂🥐",1,1
C00099,low_engagement_posts,69,Nationwide,coder1,"Beautiful day for Fan Fest ☀️

@NWSL | #NWSLChampionship https://t.co/MFGnlgzkGq",1,1
C00683,type_uncertain,67,Eli Lilly,coder1,"We just made it easier to get authentic obesity management medicines at DTC prices. 

We’re teaming up with @Walmart so patients can access LillyDirect prices, with pickup at a Walmart pharmacy! 

Learn more: https://t.co/IG1QFZREzt https://t.co/1FLHyp9vKN",0,0
C00603,humor_presence_uncertain,6,CVS Health,coder1,"As part of our strategy to improve primary care and meet our customers where they are, we are launching CVS Health Virtual Primary Care, an innovative virtual care solution designed to offer a more seamless and consumer-focused health care experience. https://t.co/cE6I61OqgA https://t.co/8r3NxV44Q8",0,0
C01163,humor_presence_uncertain,79,TJX,coder1,@PauAher48 Thanks for reaching out. Please let us know the location of the store you were in so we can address this with the Store Manager.,0,0
C00133,random_fortune_sample,37,Comcast,coder1,"RT @nbc: We are AANHPI AMPLIFIED at @NBCUniversal, celebrating our Asian American, Native Hawaiian, and Pacific Islander colleagues across…",0,0
C00609,high_engagement_posts,44,Walt Disney,coder1,"RT @DisneyStudios: #LiloAndStitch, coming to theaters on May 23, 2025! https://t.co/bJ2e5fQzAt",0,0
C01332,humor_presence_uncertain,88,Intel,coder1,"Together, @IBM watsonx, #IntelXeon 6, and #IntelAI accelerators help organizations run AI workloads with greater flexibility and better price-performance—and that partnership is on display at IBM #Think2026.

Learn more about Intel at IBM Think: https://t.co/gB9DgBRwS6 https://t.co/xx76liM2Np",0,0
C00846,random_fortune_sample,21,Chevron,coder1,The correct answer is all of the above.,1,1
C00548,full_chain_aggressive,57,Albertsons,coder1,Autumn is here and comfort food is what's for dinner! This Peppered Beef Cross Rib Roast will hit the spot. Find a store to get everything you need: https://t.co/0H7rm61uyi https://t.co/D23og5uK4h,1,1
C00360,random_fortune_sample,87,Tyson Foods,coder1,"This picture could be the near term future of entering US workplaces, infrared body temperature scanners to detect if employees have a fever, a common symptom of COVID-19. @TysonFoods  is deploying now, Goldman Sachs and UPS are looking into it. @CNBC 
https://t.co/VTdn0VgrVa",1,1
C01069,classifier_disagreement,45,Johnson & Johnson,coder1,"With the holidays coming soon, the U.S. is seeing its highest number of novel coronavirus cases to date. Dr. Alison Schwartz and Johnson &amp; Johnson’s Dr. Paul Stoffels share tips on staying protected and quarantining effectively. https://t.co/VnyKhFPqqP",0,0
C00442,random_fortune_sample,82,Oracle,coder1,Tomorrow! Make sure to tune into Larry Ellison’s keynote live from #AIWorld: https://t.co/kcW3zWfNmU https://t.co/1cmh0GW62y,0,0
C00355,random_fortune_sample,56,American Express,coder1,"Got my @americanexpress exclusive crewneck, Harry absolutely killed it tonight, and I had the best time. #withamex https://t.co/tjBu0Ruo7O",1,1
C00978,wendys_transfer_aggressive,65,Caterpillar,coder1,"As January 1 gets closer, don’t just think about change: do it! Start your training as a Cat dealer technician: https://t.co/VKPz9Yfki3. https://t.co/N1YDd5sKJ3",1,1
C01359,random_fortune_sample,81,United Airlines Holdings,coder1,Why make a wish at 11:11 when you can wish upon a triple 7? https://t.co/H2IAzSN3Ns,1,1
C00951,classifier_disagreement,93,USAA,coder1,"We're one day away from #CODEBOWLlll, presented by @usaa! Will another branch snatch the 🏆 from the Guardians (of the Solar System)? 

Tune in on @CallofDuty's Twitch, Facebook, and YouTube to see U.S. and U.K. teams throw down in Call of Duty #Warzone 2.0. https://t.co/KBlsCVEwIp",1,1
C00369,type_uncertain,69,Nationwide,coder1,"To the man doing everything he can 4️⃣ his community, we salute @dak as the 2022 NFL Walter Payton Man of the Year. 👏👏👏

#DallasCowboys  | @Nationwide | #NFLHonors https://t.co/X8tfqV7GGn",1,1
C01471,wendys_transfer_aggressive,55,Sysco,coder1,"Chef Aaron Holt of Iowa had a blast  presenting Tempura Fried Green Beans with Bacon Jam Aioli during a business review with a Sysco customer.

Talk to your Sales Consultant about booking your own Business Review. https://t.co/um7NYtR6oC",1,1
C01468,classifier_disagreement,61,Lockheed Martin,coder1,"Go Behind the Wings of the F-16 with Greg, a @usairforce veteran and sustainment project engineer. Greg plays a vital role in ensuring our operators have the most reliable, mission-ready aircraft to carry out critical operations and safeguard our nation. https://t.co/yS91TLp133",0,0
C00755,random_fortune_sample,79,TJX,coder1,"RT @HaylieDuff: Last chance! Tweet using #BringBackHolidays &amp; #Contest for a flight home thanks to @marshalls, @tjmaxx &amp; @homegoods! #ad ht…",1,1
C01103,classifier_disagreement,61,Lockheed Martin,coder1,Seamless integration. Enhanced mission capabilities. That’s the STAR.OS™ solution. Our new integration framework enables different AI systems to work together effectively and efficiently for national security. #AI Learn more: 👇,0,0
C01295,high_engagement_posts,44,Walt Disney,coder1,"Disneyland Resort announces plans for a new parking structure and transportation hub on the east side of the resort that will provide approx. 6,000 parking spaces and feature a pedestrian bridge with public access to and from Harbor Boulevard and more. https://t.co/LCTtoWmKp6 https://t.co/d4fZaYc5Rj",0,0
C00401,firm_balanced_sample,79,TJX,coder1,"@haley_mckibben Hi Haley, Thanks for letting us know. We will share your feedback with the Store Manager.",0,0
C00962,full_chain_aggressive,62,New York Life Insurance,coder1,The #BraveofHeartFund continues to honor the hard work and sacrifice of healthcare workers by partnering with @ScholAmerica to offer scholarship funding for their families.,1,1
C00521,humor_presence_uncertain,49,RTX,coder1,RT @ModBattlespace: The #JSE is an incredible example of the power of converged testing and training environments. But any future environme…,1,1
C01255,low_engagement_posts,25,Home Depot,coder1,@amaandalvarez What’s going on? Email us add’l details/contact info/tweet to TeamSocial@homedepot.com so we can address this.,0,0
C01231,wendys_transfer_aggressive,62,New York Life Insurance,coder1,1 in 13 U.S. children will grieve the death of a parent or sibling before they reach adulthood. Join us 11/1 to discuss grief beyond a single moment in time. Attendees will learn from experts in bereavement space including #NYLFoundation thought leaders.,0,0
C00354,firm_balanced_sample,77,AbbVie,coder1,How are we working to address the needs of those living with #ParkinsonsDisease? Learn about our efforts from our sponsored article with @statnews: https://t.co/7y3p57v96n https://t.co/OAeS0p32bh,0,0
C00617,wendys_transfer_aggressive,89,Enterprise Products Partners,coder1,"If you’re ready to start a new career in Carlsbad, NM, the Enterprise Products team awaits you. Click here to learn more about this fantastic opportunity. https://t.co/e5ZlU1lAnF #TechnicianJobs",1,1
C00991,humor_presence_uncertain,45,Johnson & Johnson,coder1,"WHO today listed the #COVID19 vaccine developed by Janssen (Johnson &amp; Johnson), for emergency use in all countries and for COVAX roll-out https://t.co/zwKdoxuntn https://t.co/naclx9Xnzs",0,0
C00994,high_engagement_posts,43,Tesla,coder1,"FSD has eyes in the back of its head

Human drivers – even the best &amp; most responsible ones – do not",1,1
C00244,firm_balanced_sample,15,Cardinal Health,coder1,"Theranostics Week! Join us for a series of educational webinars dedicated to #theranostics and the groundbreaking field of #nuclearmedicine. Earn up to six hours of CE credit. #HCPs 

Register today at https://t.co/sl9LET2NBw https://t.co/7WM8p3FIL1",0,0
C00676,humor_presence_uncertain,96,Travelers,coder1,".@mojganlefebvre, EVP and Chief Technology &amp; Operations Officer at Travelers, spoke with @builtbygirls for the video series “How I Started in STEM” to help inspire the next generation to pursue careers in #STEM. Hear her story today. https://t.co/MUAYNaIEn8",1,1
C00348,firm_balanced_sample,19,Centene,coder1,"“Since she started using Ambetter, she’s able to go to her doctor’s appointments, she’s able to get the help she needs.” https://t.co/AkASQENYIH #Centene https://t.co/WZyZoraJQN",0,0
C00794,firm_balanced_sample,2,Walmart,coder1,The goal in life is to be known as the fam with the best snacks at every game.,1,1
C01228,random_fortune_sample,64,Allstate,coder1,@GoSTL Who knows which song we used in our new commercial about smooth driving? 🎵,1,1
C00193,type_uncertain,86,American Airlines Group,coder1,"We're celebrating our largest international hub in style as the official airline sponsor of this year's Latin GRAMMY Awards®, which will take place in Miami. Music is part of la Hispanidad, or Latinos’ culture identity, and we are proud to showcase how it connects families and wanderlusters to countries and cities across Latin America. https://t.co/HN4kRXE10E",1,1
C00215,firm_balanced_sample,3,UnitedHealth Group,coder1,"See how we're working with @RainbowHealthMN to help every person, regardless of race, place, or circumstance, live their healthiest life: https://t.co/ZJwzBx1A12 https://t.co/zNFv9twoMG",1,1
C01316,random_fortune_sample,27,Kroger,coder1,This is a souper awesome spin on the Japanese classic and a great way to use the leftover broth from other recipes. Recipe: https://t.co/TvqF5evkkc #FamilyMealsMonth #ZeroHungerZeroWaste https://t.co/9DJDdrLpjK,1,1
C01312,high_engagement_posts,35,AT&T,coder1,"Week 1 @ATT Annihilator Cup Call of Duty champions with the sqaud.🕺

@HutchMF 
@yvonnie 
@theburntpeanut 
@Doublelift1",0,0
C00493,random_fortune_sample,82,Oracle,coder1,Behind every high-speed lap is a high-performance partnership. Join @redbullracing in Las Vegas next week for Oracle AI World. #AIWorld https://t.co/jcYPZQU8PR https://t.co/g7icmQQieJ,1,1
C00386,classifier_disagreement,19,Centene,coder1,"Centene is committed to eliminating barriers to health. Last week, Centene Foundation, @littlebitSTL and other community organizations collaborated on solutions to promote school attendance and meet the needs of under-resourced children. #STL https://t.co/ITNQO8vgIQ",1,1
C00085,type_uncertain,44,Walt Disney,coder1,"The stars, filmmakers, and some of the biggest fans of #Moana2 celebrated going beyond the reef at the world premiere in O'ahu! 🌺🪝🌊",1,1
C00806,humor_presence_uncertain,59,MetLife,coder1,"From richer benefits to work-life balance, workers want more. Learn how a focus on the whole employee can help you. https://t.co/992cxHHiT2 #MetLifeBenefitTrends2022 #BenefitTrends https://t.co/ARVs8pfSZ3",1,1
C00734,humor_presence_uncertain,44,Walt Disney,coder1,It's what we live for: collectibles like these 🫧  A new collectible Ursula doll by Mattel arrives September 8 🖤💜 https://t.co/SRywQNZi09 https://t.co/klsHXGgzWN,1,1
C01033,humor_presence_uncertain,45,Johnson & Johnson,coder1,"Joe Wolk, Executive Vice President and Chief Financial Officer, #JNJ, on J&amp;J’s Q4 2022 #earnings and full-year financial performance. https://t.co/D0Y3P0P6z2",0,0
C01443,high_engagement_posts,61,Lockheed Martin,coder1,"Thumbs up for securing America's skies 👍🇺🇸 3,100+ F-16s in 28 countries demand peace though strength around the clock. https://t.co/lFX2topuo7",1,1
C00545,classifier_disagreement,9,Exxon Mobil,coder1,"Enter the quantum decade with #IBMQuantum's @dariogila and experts from @exxonmobil, @Daimler at #CES2020 and via live stream: https://t.co/sljzE7qpEf https://t.co/0aBhiMwDz3",0,0
C00185,wendys_transfer_aggressive,43,Tesla,coder1,❤️,0,0
C01015,low_engagement_posts,25,Home Depot,coder1,@BrockSells Pls confirm the email address you sent the email from so we can confirm receipt of your email. -TeamCare,0,0
C00946,type_uncertain,74,TD Synnex,coder1,"Last Sunday, we sponsored the 10-year anniversary concert for Barcelona's English Choir in Spain.

It was an incredible evening! Thanks to all of those who attended and volunteered to make it possible.

#WeAreTDSYNNEX https://t.co/zgFIw0y4FO",1,1
C00455,type_uncertain,34,Humana,coder1,Humana members with questions about services available to them should call the toll-free phone number on the back of their Humana ID card. More information and additional resources can be found here → https://t.co/1RUBBPEbmA,0,0
C01157,wendys_transfer_aggressive,69,Nationwide,coder1,FINAL. WHISTLE.,1,1
C00836,low_engagement_posts,91,General Dynamics,coder1,"RT @GDBIW: “The best prepared win, the second best prepared lose and by God the Barnum is going to be the best prepared,” said DDG 124 name…",1,1
C01096,humor_presence_uncertain,14,Cigna Group,coder1,"Did you know mental health conditions can intensify physical health symptoms and even double or triple health care costs?Employers can curtail these costs with integrated health benefits to provide a more holistic care experience.

https://t.co/5h7Iy7h5sn

#CignaNews https://t.co/PZJ5kqMhBh",0,0
C00101,random_fortune_sample,42,Target,coder1,"Joe would think the self-checkout machine is flirting with him, tbh",1,1
C00655,high_engagement_posts,44,Walt Disney,coder1,"In ONE MONTH, return to the magical story that started it all 🍎✨

Experience Disney’s #SnowWhite only in theaters March 21. https://t.co/RAyPgDwFm4",1,1
C00182,wendys_transfer_aggressive,45,Johnson & Johnson,coder1,RT @healthevoices: From how they found their purpose to how they attracted a digital audience on #socialmedia – the #HealtheVoicesHCP Advis…,0,0
C00403,high_engagement_posts,46,PepsiCo,coder1,Looking for delicious drinks with low or no added sugars? See some of the options we’ve created around the world! 🌍 https://t.co/CMCrKVbeQc,1,1
C00795,humor_presence_uncertain,89,Enterprise Products Partners,coder1,"If you’re ready to start a new career in Seminole, TX, the Enterprise Products team awaits you. Click here to learn more about this fantastic opportunity. https://t.co/mTDpni5NE8 #TechnicianJobs",1,1
C00112,random_fortune_sample,90,Ingram Micro Holding,coder1,"Proud moment for Ingram Micro India!

Honored with 3 awards at the HPE Top Partners Meet 2025 in Udaipur: Best Region FY’25, Top Volume Promotion Distributor FY’24 and Top Distributor for Driving DX FY’24. 

Thank you to @HPE and our team for making this possible! #IngramMicro https://t.co/jGJ3QaXIvJ",1,1
C00188,high_engagement_posts,99,Nike,coder1,This player became the youngest man in history to complete the Career Grand Slam. Who is he? https://t.co/KM8EjBH7BF,1,1
C01212,low_engagement_posts,79,TJX,coder1,@swiftbaIIerini Thanks for reaching out about this. Please give Customer Service a call at 1-800-926-6299 M-F between 9-6EST.,0,0
C01245,humor_presence_uncertain,91,General Dynamics,coder1,RT @GDBIW: The men &amp; women of General Dynamics Bath Iron Works are honored to be the builder of the future USS J. William Middendorf. Amb.…,1,1
C01194,high_engagement_posts,44,Walt Disney,coder1,"Walt Disney Imagineering shares a new look at the Monsters, Inc. coaster loading area and first-ever vertical lift that will hoist riders in the air like never before as they zoom into the door vault! https://t.co/9Rwf0YtRGX 🚪🎢 #SXSW https://t.co/fnTaDIA6AR",1,1
C01282,humor_presence_uncertain,29,Phillips 66,coder1,"The growth of knotweed over the years has been dangerous to the environment, particularly in the Skagit Watershed area. That’s why we’re teaming up with Skagit Fisheries to help eradicate any knotweed in the area. Head to the link to learn more: https://t.co/6T1by9GyIj",1,1
C00033,classifier_disagreement,72,Publix Super Markets,coder1,Did your wedding have a #Publix cake? We want to see it! 🎂,1,1
C01495,random_fortune_sample,58,Archer Daniels Midland,coder1,"Thank you to @ethisphere, for naming us as one of the #WorldsMostEthicalCompanies again. We're extremely proud to be recognized for our commitment to ethical business practices, transparency and corporate citizenship: https://t.co/RocSfjdPjE https://t.co/lxf0SgRWlY",0,0
