no,id,text,true_label,oof_pred,error_type,p_aggressive,p_affiliative,p_self-enhancing,p_self-defeating
138,1907472436305813963,Keep your game fresh this March Madness with a $1 JBC or Double Stack in the Wendy’s app (w/ additional purchase). #Noth,aggressive,affiliative,false_non_aggressive,0.2649,0.3790,0.2165,0.1397
140,1906741707875483676,"Get a $1 JBC or Double Stack all March Madness®. And now for the legal, but we added an emoji to make it cute.
#INTHEWE",affiliative,affiliative,correct,0.3002,0.3547,0.2312,0.1139
146,1904565120010723568,"For all of March Madness®, get a $1 JBC or Double Stack in the Wendy’s app. Don’t worry about forgetting, we have a simp",affiliative,affiliative,correct,0.2714,0.3924,0.1782,0.1580
149,1901851793795219858,March Madness bracket if  you picked each matchup by which School's home stadium is closest to an @Wendys location https,self-enhancing,aggressive,false_aggressive,0.3399,0.2709,0.2183,0.1708
151,1893347732040880523,"Your outie dips their fries in their Thin Mints Frosty 
Your outie keeps their thin mints in the freezer 
Your outie u",aggressive,aggressive,correct,0.4650,0.2271,0.2110,0.0970
152,1892979312707473537,Im gonna show up at your door selling Thin Mints Frosty,aggressive,aggressive,correct,0.3875,0.2989,0.1758,0.1378
156,1886095648572760240,If i see my shadow u get 6 more weeks of vanilla frosty,self-defeating,self-enhancing,inter_other_confusion,0.2635,0.2350,0.2993,0.2022
158,1879984832446623928,Can’t believe we’re getting TikTok ban before gta 6,aggressive,affiliative,false_non_aggressive,0.2321,0.3355,0.3240,0.1084
161,1874116245085446380,"2025 = 45^2

It's a perfect square.  It will probably be the only perfect square year you ever get to live in.

The ",affiliative,affiliative,correct,0.2908,0.3257,0.2282,0.1554
173,1847306069816594818,When mom doesn’t stop for a Wendy’s Krabby Patty Kollab burger https://t.co/jZgDsddw1l,self-enhancing,affiliative,inter_other_confusion,0.2273,0.3411,0.2426,0.1890
180,1841265943395082611,"If you want something done right, you gotta do it yourself. https://t.co/jEKOYLjxGc",affiliative,affiliative,correct,0.2384,0.3721,0.2486,0.1409
186,1834619968442323418,POV: me going straight from bed to the couch every Saturday,affiliative,self-enhancing,inter_other_confusion,0.2696,0.2704,0.2996,0.1604
189,1827852148366843989,Unhappy Hour means you can get a $1 Honey Buddy w purchase in the app. See? Life still has meaning - even on Monday morn,affiliative,affiliative,correct,0.2569,0.3235,0.2728,0.1468
204,1825310472368791724,Unhappy Hour means you can get a $1 Honey Buddy w purchase in the app. Also means monday morning but forget that part.,affiliative,affiliative,correct,0.2892,0.3533,0.2243,0.1332
212,1818340302802850216,My saucy nuggs get such a good block from the table they do a yurchenko double pike into my mouth,self-enhancing,affiliative,inter_other_confusion,0.3026,0.3506,0.1704,0.1764
217,1811077661101301959,"Workin’ on the ol’ photoshop skills again…
Hit us up if your profile pic needs some sauce",self-enhancing,aggressive,false_aggressive,0.2879,0.2572,0.1845,0.2704
220,1810007794310840603,Whenever i need new tires i just pull up to a pit crew during a nascar race @NASCARChicago,aggressive,aggressive,correct,0.4403,0.2525,0.2154,0.0918
221,1808626600872665366,.@shanevg97 you asked for some sauce for your race in Chicago. This work? https://t.co/e67YBsIvdK,aggressive,affiliative,false_non_aggressive,0.2396,0.3967,0.2463,0.1173
230,1793796655512183145,Stop taking the concept of a Biggie Bag and making it worse,aggressive,self-enhancing,false_non_aggressive,0.2181,0.3002,0.3438,0.1378
237,1785674044190175475,McDonald’s announced plans to create their largest burger ever https://t.co/IMnQErb8sy,aggressive,aggressive,correct,0.3558,0.2975,0.2134,0.1333
238,1785401765271101734,Look between CAPS LOCK and RETURN on your keyboard. That’s the alphabet. Use it to write an original joke.,aggressive,aggressive,correct,0.3273,0.2392,0.1866,0.2470
239,1783201437113082357,"Congrats 👑@reggiebush
Can we get our burger back now https://t.co/nSSLMRUv7m",aggressive,affiliative,false_non_aggressive,0.1552,0.5319,0.1719,0.1409
240,1783192374044184957,"You can get chili for $1 with purchase in the app today.
Which means you should get a @Cinnabon Pull-Apart to go with i",aggressive,affiliative,false_non_aggressive,0.2289,0.4416,0.2478,0.0817
248,1775209957358522399,New @Cinnabon Pull-Apart? It’s okay to have just a lil’ treat. 🥹,aggressive,aggressive,correct,0.3172,0.3071,0.2554,0.1203
255,1757905771189190791,Struggling to keep the romance fresh? Let Wendy’s &amp; Josh help with perfect pairing package. https://t.co/BSFaYwVdlv,aggressive,affiliative,false_non_aggressive,0.2145,0.3506,0.2790,0.1558
257,1757109191762747848,". @joshcellars burgers are fun
red wine is posh
wanna pair up?
nvm blame it on the Josh https://t.co/i8bRaSup6s",aggressive,aggressive,correct,0.4206,0.2179,0.2715,0.0900
266,1744381160086524197,sometimes a vanilla frosty after 8 months is enough to stop the voices,self-enhancing,aggressive,false_aggressive,0.3605,0.1841,0.3167,0.1387
267,1724894653793833227,"On the 1st Wednesday of Nuggetmas my true love gave to me: FREE NUGGETS.
.
.
.
.

Get a free 6 pc Nuggs today with",affiliative,self-enhancing,inter_other_confusion,0.1881,0.2680,0.4118,0.1320
271,1716894851499966760,WHERE IS WENDY,self-enhancing,self-enhancing,correct,0.2764,0.1439,0.4064,0.1734
293,1667183491551821832,@TheDrum You know why Wendys hasnt posted a ChatGPT ad? They dont cut corners.,aggressive,aggressive,correct,0.3172,0.2485,0.2502,0.1841
295,1663376242433720321,guess this means they went with our script 💅🔥⛏️ @nuggets @miamiHEAT @NBA #HeatNuggets https://t.co/mcdvyAyQQL,affiliative,affiliative,correct,0.2394,0.4266,0.2121,0.1219
301,1658178790713876486,A Frosty is a sweet treat. It is a drink. It is a sauce. It is fearless. It’s Frosty and it’s the new look for summer 🍓,self-enhancing,self-enhancing,correct,0.3514,0.1799,0.3804,0.0883
310,1650820225728741378,Hey @Wendys..... what's happening on your fb,aggressive,aggressive,correct,0.3681,0.2803,0.2489,0.1026
311,1648417729508958215,Where’s the beef?,aggressive,aggressive,correct,0.4138,0.1584,0.3211,0.1067
313,1648334094319882240,"McDonald's announced they're changing their burgers.  
Big Macs &amp; other burgers are getting softer buns, meltier ch",aggressive,aggressive,correct,0.3939,0.2631,0.2184,0.1246
317,1644140500218179585,"I’m a burger girl, in a burger world https://t.co/E5UsSIHwBE",affiliative,aggressive,false_aggressive,0.3742,0.2666,0.2297,0.1295
322,1626647347584286720,That’s the perfect place for people that don’t like beef tbh,self-enhancing,aggressive,false_aggressive,0.5418,0.2142,0.1546,0.0894
323,1625171742267256839,"Just kidding, found it. #Daytona500 #NASCAR",aggressive,self-enhancing,false_non_aggressive,0.3443,0.2261,0.3579,0.0717
325,1625165317189009409,Where's the beef?,aggressive,aggressive,correct,0.4171,0.1766,0.2839,0.1223
328,1623545691305046016,A successful Trios Title defense means one thing.. an ELITE @Wendys feast. https://t.co/aA03WhTYrA,self-enhancing,self-enhancing,correct,0.2147,0.2942,0.3092,0.1819
330,1620468613915504645,"Put out garlic fries and didn’t even think about how it would make the vampires feel. My bad, y’all. That one’s on me.",self-defeating,aggressive,false_aggressive,0.3305,0.3037,0.2201,0.1457
339,1605335737368342528,"Want to know the secret behind my voice? Warming up with @wendys Holiday Peppermint Frosty. It is literally INSANE, so g",self-enhancing,affiliative,inter_other_confusion,0.2101,0.3059,0.2722,0.2119
342,1604919683584401410,"Dave’s Double, No Cheese.",aggressive,self-enhancing,false_non_aggressive,0.2586,0.2282,0.2871,0.2262
344,1604865566057144320,"Since the job seems open, should I step up as the head of Twitter? I will abide by this poll.",aggressive,aggressive,correct,0.4035,0.2739,0.1828,0.1398
345,1602425619618332673,Love it when a USC Trojan gets what’s rightfully theirs. cc:@ReggieBush https://t.co/rrT0EuFiyt,affiliative,aggressive,false_aggressive,0.3112,0.2953,0.2355,0.1580
349,1598469601288982528,Jim Cramer says he likes these 3 best-of-breed restaurant stocks https://t.co/wTyUzClLrx,affiliative,self-enhancing,inter_other_confusion,0.2471,0.2877,0.3411,0.1241
350,1596245866121416704,No one lost. THEREFORE EVERYONE WINS. Free fries with purchase in the Wendy’s app. https://t.co/Wf19A9jLy2,affiliative,self-defeating,inter_other_confusion,0.1671,0.1863,0.1828,0.4639
351,1596229186192302080,"Right proper match, innit? @wendysuk",affiliative,affiliative,correct,0.2456,0.4368,0.2000,0.1176
352,1596217383001108480,USA! USA! USA! Let’s get these fries,affiliative,affiliative,correct,0.2239,0.3455,0.2290,0.2017
359,1585376361237340160,Secure the city. Secure the bag. Come hang while we stream Gotham Knights. 🦇 https://t.co/ppA1jjEaki,affiliative,affiliative,correct,0.2335,0.3601,0.2516,0.1548
360,1582484431620567040,You afraid of ghosts? Come hang while we stream Ghostbusters! Thanks. 👻https://t.co/P0GZ7DZXWO,affiliative,affiliative,correct,0.1935,0.5371,0.1704,0.0989
364,1581410264339009536,"I had about 6 French Toast Sticks and I’d do it again. BGs, start your day with @wendys new #FrenchToastSticks #BravoCon",affiliative,affiliative,correct,0.2514,0.3062,0.3038,0.1386
366,1580580422408622081,"Who’s a TRUE Reggaeton OG? No need to guess, he is here at #PandoraLIVE El Pulso! Join us by RSVP at https://t.co/bcSKvW",affiliative,aggressive,false_aggressive,0.3420,0.2494,0.2349,0.1738
367,1578434005996695553,"Purple and covered in nerds, just like @Twitch #TwitchCon2022 https://t.co/xZYQpzthC6",aggressive,self-enhancing,false_non_aggressive,0.2405,0.2953,0.3317,0.1326
368,1577345554614566913,Got tired of chasing trends. Please have a cheeseburger for lunch,affiliative,aggressive,false_aggressive,0.3616,0.3101,0.1643,0.1640
369,1577337977071706113,Low vibration angel numbers astrology overwatch 2 house of the dragon sir this is a wendy’s Mario movie spooky season br,self-enhancing,self-defeating,inter_other_confusion,0.2431,0.1992,0.1728,0.3850
371,1574473925165449216,Sci-fi is when you have this Wendy; fantasy is when you have that Wendy https://t.co/NwLaLK2Cs3,affiliative,affiliative,correct,0.2317,0.2996,0.2804,0.1883
372,1573323893967822851,He was just excited. https://t.co/BpyGBb6pIS,self-enhancing,affiliative,inter_other_confusion,0.3132,0.3740,0.1876,0.1252
373,1572656302614085632,Walking outside after they say the ice cream machine’s broke https://t.co/fEK83Gk9rr,aggressive,affiliative,false_non_aggressive,0.2826,0.3497,0.2546,0.1131
374,1570426440428187650,You shouldn’t have said anything … https://t.co/iRUrFOCaNs,self-defeating,affiliative,inter_other_confusion,0.2365,0.5162,0.1548,0.0925
377,1567614811046920193,"Aw geez, the Rick and Morty merch is limited edition?? Better order a Rick and Morty combo through the @ubereats app to ",self-enhancing,affiliative,inter_other_confusion,0.2778,0.3529,0.2522,0.1171
379,1562870837283135495,She's still his favorite mom. https://t.co/8Ip4FPIdwI,affiliative,aggressive,false_aggressive,0.3392,0.3045,0.2527,0.1036
383,1559912735525183488,Are you telling me the French Toasted this stick?,aggressive,aggressive,correct,0.3385,0.2358,0.2192,0.2065
384,1559639856925626369,"Whoa, chill. No one said anything about compliments. Just trying to tell you we have new French Toast Sticks. Are you gu",aggressive,self-defeating,false_non_aggressive,0.1632,0.1940,0.1272,0.5156
385,1559627059491704832,"You know what rhymes with Roast? 
Toast. Let’s do a whole Toast Day thing. Might be fun.",affiliative,aggressive,false_aggressive,0.3659,0.3055,0.2005,0.1280
387,1555198547494051842,"@facelessfreebie Whoops! My b, bestie. Messed up your handle. Hope that proposal still stands.",aggressive,aggressive,correct,0.3680,0.2616,0.1729,0.1974
388,1555192002639175681,@MichaelaBarger7 we only have fries for you (and millions of others) #ChooseHotAndCrispy https://t.co/g2AUqoXZYG,affiliative,affiliative,correct,0.1910,0.4957,0.1972,0.1161
389,1555191997006286852,@FaceleeFreebie I do… not plan on wearing chains #ChooseHotAndCrispy https://t.co/X0Byoml3pt,aggressive,self-enhancing,false_non_aggressive,0.2629,0.2694,0.2780,0.1898
390,1555191981285974016,@HustleBunnee can we get an amen up in here? #ChooseHotAndCrispy https://t.co/mtlz7F1bty,aggressive,affiliative,false_non_aggressive,0.2783,0.3718,0.2384,0.1115
392,1555191970682867712,"@ChaosYT_ call us mrs. steal ur anime boi, @BurgerKing  #ChooseHotAndCrispy https://t.co/uEfjlwXbV2",self-enhancing,affiliative,inter_other_confusion,0.2602,0.3695,0.2395,0.1308
395,1554830029871230979,"If you love us so much, put a 💍 on it baybeee 

Tweet us your fry proposal with #ChooseHotAndCrispy for a chance at FR",affiliative,affiliative,correct,0.2638,0.2909,0.2765,0.1687
396,1552389305695453184,It’s always BeReal this and BeReal that when it would BeReal nice if you called your mother,aggressive,affiliative,false_non_aggressive,0.3503,0.3562,0.1427,0.1508
397,1551575748741324801,"Free medium fry with any Frosty. Name a better duo, we’ll wait.",self-enhancing,self-enhancing,correct,0.2688,0.2971,0.3473,0.0868
398,1550536004293074949,RT @sad_dad_time: babe wake up wendy’s is talking to emo bands again,self-defeating,self-enhancing,inter_other_confusion,0.2642,0.1720,0.3454,0.2184
399,1550527908137025536,babe wake up wendy’s is talking to emo bands again,affiliative,self-enhancing,inter_other_confusion,0.2642,0.1720,0.3454,0.2184
406,1546922193661181953,When i text you “🗣” know that sir this is a Wendy’s,self-defeating,aggressive,false_aggressive,0.4785,0.1862,0.2224,0.1129
407,1546869599492243457,"If your egg wants to go jellyfishing, you picked the wrong breakfast. https://t.co/FZHhrnjNIh",aggressive,affiliative,false_non_aggressive,0.2536,0.3410,0.2503,0.1550
408,1545154011778748419,sneak a Frosty in your purse https://t.co/piZUzsFJBo,self-enhancing,affiliative,inter_other_confusion,0.3520,0.3670,0.1641,0.1170
409,1541483384542842883,They’re a 10 but they say they’re lovin’ it 🧐,affiliative,aggressive,false_aggressive,0.4038,0.2390,0.2467,0.1105
414,1536788752739205121,This is the first Strawberry Frosty Moon in 4.53 billion years! This won’t happen again until the heat death of the univ,affiliative,aggressive,false_aggressive,0.3203,0.1942,0.2426,0.2429
418,1522284287239897092,"Shout out to all the zero like ratio tweets out there just existing, living the life they want instead of the one they w",aggressive,affiliative,false_non_aggressive,0.3129,0.3260,0.2425,0.1185
421,1514667895497887748,"Dropped a Spicy Nugget under the front seat one time, but it’s gone now. Not because someone (not me) got out of the car",affiliative,affiliative,correct,0.2764,0.2776,0.2218,0.2242
422,1513983410930335753,"Well, no one else was using the drive thru. 🤷‍♀️",self-defeating,affiliative,inter_other_confusion,0.2441,0.2986,0.1677,0.2896
423,1511766482291765248,When they say “let’s split some nuggs” but they actually mean “do you wanna speed eat in silence as we each try to get t,affiliative,affiliative,correct,0.2875,0.3671,0.2386,0.1068
424,1511410018083647489,That tomatonator is sounding good for lunch,self-enhancing,aggressive,false_aggressive,0.4283,0.2413,0.2476,0.0828
429,1510996113079296010,"Oh it’s on! @Wendys and @Skittles faced fierce competition, but now it’s time to decide once and for all who the best br",aggressive,aggressive,correct,0.3105,0.2472,0.1813,0.2610
434,1509591862335655943,"The  #BestOfTweets Brand Bracket Semifinals are here.

In this round, Conversation Starters and Iconic Mascots collide",self-defeating,aggressive,false_aggressive,0.4317,0.2799,0.1901,0.0983
445,1504835309258817538,"Rounding out the first week of #BestOfTweets Brand Bracket.

On deck: top hats and hot takes. 
🥜 @MrPeanut’s nonstop ",aggressive,self-defeating,false_non_aggressive,0.1854,0.1868,0.2381,0.3897
446,1503793289081851912,Let's get moderately schwifty then hit up Morty's Mayhem at Resorts World for the good brekky.,affiliative,affiliative,correct,0.2728,0.3002,0.2464,0.1806
447,1503780715489423360,Hoops and @wendys Breakfast go hand in hand and there’s only one place to get them together - VEGAS baby! #ad https://t.,affiliative,self-enhancing,inter_other_confusion,0.1320,0.2270,0.4286,0.2124
448,1503438625672937479,"RT @Wendys: Wendy’s Pick ‘Em is BACK, baby! 

Hit the ❤️, and we’ll hit you up when it’s time to make your picks for E",affiliative,affiliative,correct,0.2066,0.3306,0.1925,0.2703
449,1500883144530092034,"What if I told ya the classic ✨Dave’s Single ✨ was just $1 in the app? Welp, this is me telling you.",self-enhancing,aggressive,false_aggressive,0.4197,0.2501,0.1587,0.1715
450,1498659324910047233,"Crispy, chicken &amp; habanero hot honey on a fluffy biscuit - Wendy’s NEW Hot Honey Chicken. How’s that for a “good mor",affiliative,self-enhancing,inter_other_confusion,0.1495,0.1558,0.5737,0.1210
452,1494385125680893961,Lil ✨sweet✨. Lil 🔥spicy🔥. Wendy’s NEW Hot Honey Chicken Sandwich really can do it all.,self-enhancing,affiliative,inter_other_confusion,0.2161,0.3578,0.3268,0.0993
453,1493720865254428676,Come hang with the cool kids while we watch @eNASCARCocaCola Series opener of the @iRacing Series at Daytona tonight! St,affiliative,affiliative,correct,0.2058,0.4307,0.1743,0.1892
454,1491535958713458690,"hi, i'm johnny knoxville and...

Sir, this is a Wendy's.",aggressive,self-defeating,false_non_aggressive,0.2049,0.1470,0.2209,0.4272
455,1491487068584824843,Soggy fries where? I don’t have any.,self-enhancing,affiliative,inter_other_confusion,0.2719,0.2811,0.2359,0.2111
458,1486700523201839104,"Whatever wakes ya up, drink it ✨free✨ from a Wendy’s cup. Free drink with any breakfast sandwich.",self-enhancing,self-enhancing,correct,0.1663,0.1957,0.5552,0.0827
459,1485407829506904069,Tune in for the cool and crispy moves on the Knuckle Huck while crushing some of those hot and crispy Official Fries of ,self-enhancing,affiliative,inter_other_confusion,0.2118,0.3284,0.2909,0.1689
461,1483861582073548809,From our lawyers: Not based on actual data. “Coca-Cola” is a registered trademark of The Coca-Cola Company.,aggressive,self-enhancing,false_non_aggressive,0.2501,0.2561,0.3526,0.1412
462,1483829962012569606,Top free drink in your state according to our psychic. https://t.co/zWigqhWQDc,self-enhancing,affiliative,inter_other_confusion,0.2708,0.3638,0.2866,0.0788
464,1481395692220395527,I heard when they breed the dogs to have faces like that it's really bad for the animal. #NationalRoastDay,aggressive,aggressive,correct,0.3714,0.3080,0.2081,0.1125
466,1481342770623225856,"New stuff sounds like my little brother trying to cuss for the first time.
#NationalRoastDay",aggressive,aggressive,correct,0.3076,0.2577,0.2948,0.1399
468,1481341396430766085,"Everyone good? Feeling great? 
Still many hours left in the day, but take a quick lunch break because we’re trying to p",self-enhancing,affiliative,inter_other_confusion,0.2626,0.3795,0.2160,0.1418
469,1481306650132848645,"For something that pretends to be a sport, your ""athletes"" sure suck at rounding bases.
#NationalRoastDay",aggressive,aggressive,correct,0.3959,0.3614,0.1544,0.0882
470,1481299289582231566,"Dang, your hair didn't even show up to your birthday party. #NationalRoastDay",aggressive,aggressive,correct,0.4931,0.2583,0.1705,0.0781
472,1481295012646334468,"It’s #NationalRoastDay™ 
Drop the “roast me” below 👇

Oh, and don’t forget to get free medium fries with purchase, in",aggressive,aggressive,correct,0.2968,0.2930,0.2899,0.1203
474,1480539931294511104,What’s up? You’re up. So go pick up any Wendy’s Breakfast Sammie and get a free drink.,self-enhancing,self-enhancing,correct,0.1933,0.3123,0.3266,0.1678
475,1471541646902935552,Potatoes wish they could be our fries when they grow up.,affiliative,aggressive,false_aggressive,0.4366,0.2729,0.1933,0.0972
476,1468943521403052038,Me sleeping knowing I’m getting $1 biscuits tomorrow a.m.: 👁👄👁,self-enhancing,aggressive,false_aggressive,0.4359,0.2068,0.2293,0.1280
477,1466438148829941770,"Even if I didn’t pass math, I still got this breakfast biscuit for just $1. So that’s pretty nice.",affiliative,aggressive,false_aggressive,0.3173,0.2253,0.2708,0.1866
478,1466406802673717250,How much is a breakfast biscuit at Wendy's? 8÷2(2+2)÷16 Dollars,self-enhancing,self-enhancing,correct,0.1634,0.1877,0.4847,0.1642
482,1460682535650971649,the internet just couldn't handle how rad these picks are,self-enhancing,aggressive,false_aggressive,0.3412,0.2527,0.2626,0.1435
484,1459189091984150532,Heard My Space was back https://t.co/6CpTXW2TPX,affiliative,self-defeating,inter_other_confusion,0.1789,0.2294,0.2315,0.3602
485,1456269198896680968,How many fingers am I holding up? Just one… for the $1 hot &amp; buttery Breakfast Biscuit.,self-enhancing,self-enhancing,correct,0.2225,0.2362,0.4083,0.1330
486,1455253881135538184,"Ghosts, ghouls, monsters. None of these are nearly as terrifying as cold and soggy fries. Try Wendy’s new hot and crispy",self-enhancing,affiliative,inter_other_confusion,0.2024,0.3317,0.3005,0.1654
488,1454154005559627781,"Add a spooky thrill with a quick story of fright and freezing to your next drive thru visit. Don't worry, you're safe…yo",affiliative,affiliative,correct,0.2617,0.3850,0.1704,0.1829
489,1453805031463993346,Changing name to Meat,aggressive,aggressive,correct,0.3202,0.2617,0.2694,0.1488
490,1453783325517262852,Fries or sauce forks: what do you call them where you're from???,affiliative,self-enhancing,inter_other_confusion,0.2479,0.2451,0.3591,0.1479
491,1453067485343801349,Dave’s single so why can’t you be? Grow up.,aggressive,aggressive,correct,0.3255,0.3204,0.2408,0.1133
492,1451578964280025096,repost if you dip your phone i̶̹̦̔͌̊̍͒̉͊̀ņ̷̖̯̩̯̈́͑̀̀̌͊̃ͅ ̷̡̬̤̺̖̫͐̔͌͜t̸̹̠̥́̄͆̕̚͜͝h̴̡̠͕̩͕͉̅̀́͜ė̴̺̄ ̷̢̭̖̱̦̇͆̅̎ẅ̴̻͈̝̩̰͈́͑͛̑̅,aggressive,affiliative,false_non_aggressive,0.3196,0.3554,0.1484,0.1767
493,1451256272007872517,When you eat all the fries otw home: “T’was just the appetizer.”,affiliative,self-enhancing,inter_other_confusion,0.2747,0.2740,0.2915,0.1597
494,1450114742375362565,"Alright friendys, Fanta has 3 new Mystery Mixes, and you could win $10,000 if you guess any of the flavors. Best case sc",affiliative,affiliative,correct,0.2229,0.4426,0.2204,0.1141
497,1445105618357002243,"where the things that should be fresh are frozen, and the things that should be frozen are out of order.",aggressive,aggressive,correct,0.3933,0.2127,0.2799,0.1141
498,1445088131145940995,Can you lend us a hand? We might lend one back,affiliative,affiliative,correct,0.2201,0.4263,0.1866,0.1670
499,1445048052235051010,"if u were the person who ran the McDonald's account for a day, what would u tweet",aggressive,aggressive,correct,0.3361,0.2804,0.2075,0.1760
500,1442946786688057344,"Did you know that every time there’s a pick-six, a Breakfast Baconator gets its six-strips-of-bacon wings?",aggressive,self-defeating,false_non_aggressive,0.1876,0.2591,0.1892,0.3642
501,1442530592109645832,"Best breakfast sandwich, no bull shirt.",self-enhancing,self-enhancing,correct,0.2380,0.2600,0.3467,0.1553
502,1442528227717693445,Them Breakfast Baconators From @Wendys Be The Shirt.,self-enhancing,affiliative,inter_other_confusion,0.2155,0.3457,0.3108,0.1281
510,1440059703296348161,Mid donalds,aggressive,aggressive,correct,0.3374,0.2512,0.2655,0.1459
511,1439257913428615168,"Every Saturday and Sunday in September, get a free 6pc Spicy Nuggs w/ purchase AND free delivery in the Wendy’s App!

",affiliative,self-enhancing,inter_other_confusion,0.1678,0.2737,0.4038,0.1547
512,1438927615797104640,Soda in the water cup is about as sneaky as three kids in a trench coat,aggressive,self-enhancing,false_non_aggressive,0.2959,0.1621,0.4392,0.1027
513,1438222894014865408,Who else has a “normal person voice” they use when they pull up to order at the drive-thru?,aggressive,self-defeating,false_non_aggressive,0.2683,0.2119,0.1119,0.4079
514,1435333827812106244,Use your big brain to win the right to sit on your big brain. Our Tetris 99 tournament for the Wendy’s Big Brain Bean Ba,affiliative,self-enhancing,inter_other_confusion,0.2268,0.2572,0.2795,0.2366
516,1434154280542474244,"Best way to get game ready? A good breakfast, duh. Don’t worry tho. We’ve got ya covered.",affiliative,affiliative,correct,0.2757,0.3343,0.3046,0.0854
