row_id,source,original_file,company_name,candidate_id,tweet_id,tweet_url,status_id,created_at,text,text_hash,normalized_label,label_name,original_presence_value,original_type_value,label_source_detail,dedupe_key
training_v2_00013,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,StoneX Group,C00013,2028766583124820123,https://x.com/stonex_official/status/2028766583124820123,2028766583124820123,Tue Mar 03 09:37:00 +0000 2026,European indices drop 2-3% as traders price out rate cuts. Inflation concerns revived amid surge in energy prices.,023c7c2aaa97686f0332,0,non-humorous,0,,pending,status_id:2028766583124820123
training_v2_00014,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Pfizer,C00014,1570425434352787458,https://x.com/pfizer/status/1570425434352787458,1570425434352787458,Thu Sep 15 14:52:55 +0000 2022,RT @femalequotient: The Hispanic community faces disproportionate health issues with the highest uninsured rate of any ethnic group in the…,e13becfec8f84e41a26f,0,non-humorous,0,,pending,status_id:1570425434352787458
training_v2_00015,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,General Motors,C00015,1534194238648369152,https://x.com/gm/status/1534194238648369152,1534194238648369152,Tue Jun 07 15:23:05 +0000 2022,Let's keep truckin' along with another set of EV clues. Do you know which one it is? I'm a household name. I'm designed with towing in mind. My multi-flex tailgate has six different functions. You know where to cast your vote. 👇,9f0c216440ed0efe9c1c,3,self-enhancing,1,3,pending,status_id:1534194238648369152
training_v2_00016,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,TD Synnex,C00016,1517509644230569984,https://x.com/tdsynnex/status/1517509644230569984,1517509644230569984,Fri Apr 22 14:24:27 +0000 2022,"On behalf of all of us at TD SYNNEX, Happy #EarthDay! Learn more about this year's theme, #InvestInOurPlanet, and how one by one, we can all build a healthier planet: https://t.co/SgFvbCe0qf https://t.co/5jbsDtgtYs",e82f9434e0d9bcdfc81a,3,self-enhancing,1,3,pending,status_id:1517509644230569984
training_v2_00017,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Morgan Stanley,C00017,1988007338289070283,https://x.com/morganstanley/status/1988007338289070283,1988007338289070283,Mon Nov 10 22:14:19 +0000 2025,"Our CIO and Chief U.S. Equity Strategist Mike Wilson unpacks why stocks are likely to stay resilient despite uncertainties related to Fed rates, government shutdown and tariffs. Tune into the latest Thoughts on the Market. https://t.co/UBdnPu0EHS https://t.co/TXUGJT1Enq",f58234d5c908784d19b7,0,non-humorous,0,,pending,status_id:1988007338289070283
training_v2_00018,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Albertsons,C00018,1347226514320977921,https://x.com/albertsons/status/1347226514320977921,1347226514320977921,Thu Jan 07 17:00:05 +0000 2021,Fresh and healthy doesn’t have to be hard. Get more greens in your diet with grab-n-go salads and other fresh options at your local store! https://t.co/nzYO0AOuuq,57a8cec038141c271cf1,0,non-humorous,0,,pending,status_id:1347226514320977921
training_v2_00019,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Ford Motor,C00019,1920207692368380230,https://x.com/ford/status/1920207692368380230,1920207692368380230,Wed May 07 20:02:44 +0000 2025,"RT @jimfarley98: Just like his best-selling book “Tuesdays with Morrie,” @MitchAlbom is full of wisdom &amp; inspiring perspectives. It was a p…",525d9c4637e321e806e4,2,affiliative,1,2,pending,status_id:1920207692368380230
training_v2_00020,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,McKesson,C00020,1574451264938823680,https://x.com/mckesson/status/1574451264938823680,1574451264938823680,Mon Sep 26 17:30:08 +0000 2022,"In the spring of 2019, St. Joseph's Health decided to maximize its current Patient Assistance Program (PAP) by partnering with McKesson RxO. Download the case study to learn how we helped them save millions in PAP recovery. https://t.co/Plek1W4ypv https://t.co/nL2TVDUTZl",a53b559311e99b6b4a44,0,non-humorous,0,,pending,status_id:1574451264938823680
training_v2_00021,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,JPMorgan Chase,C00021,1977742173605937350,https://x.com/jpmorgan/status/1977742173605937350,1977742173605937350,Mon Oct 13 14:24:13 +0000 2025,"This comes at a pivotal time as the U.S. looks to modernize infrastructure, strengthen supply chains, and implement policies that promote growth. Learn more. 👇 https://t.co/DdI6cuqIBH",9968b70afd80c3917075,0,non-humorous,0,,pending,status_id:1977742173605937350
training_v2_00022,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Walt Disney,C00022,2064604764646658116,https://x.com/disney/status/2064604764646658116,2064604764646658116,Wed Jun 10 07:05:09 +0000 2026,RT @Pixar: Taylor Swift has a friend in Randy Newman at the world premiere of Toy Story 5 https://t.co/DRe55mo6IP,d488fd3ed23f89d1d233,2,affiliative,1,2,pending,status_id:2064604764646658116
training_v2_00023,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Home Depot,C00023,743544934771335169,https://x.com/hdcares/status/743544934771335169,743544934771335169,Thu Jun 16 20:45:01 +0000 2016,@Pauleadamian Thx for the positive feedback! We have saved your praise under case#2295206 and we'll share w/ the Store Manager. -TeamCare,edd05760504dedb23ae9,0,non-humorous,0,,pending,status_id:743544934771335169
training_v2_00024,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Amazon,C00024,1902071355526484361,https://x.com/amazon/status/1902071355526484361,1902071355526484361,Tue Mar 18 18:55:24 +0000 2025,"Alexa+ is designed to leverage state-of-the-art architecture that connects LLMs, agentic capabilities, third-party services, and more. Here are 5 things you really need to know about Amazon's smartest, most conversational, and personalized AI assistant to date 🤩👇. https://t.co/Pxpm1gbWdw",5dc90dc494514046325d,3,self-enhancing,1,3,pending,status_id:1902071355526484361
training_v2_00025,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Bank of America,C00025,1726280506432778320,https://x.com/bankofamerica/status/1726280506432778320,1726280506432778320,Sun Nov 19 16:45:20 +0000 2023,"When it comes to handling your business finances, where do you seek guidance the most?",a8b14ba7fae4ad41798b,0,non-humorous,0,,pending,status_id:1726280506432778320
training_v2_00026,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Home Depot,C00026,789112943271084034,https://x.com/hdcares/status/789112943271084034,789112943271084034,Thu Oct 20 14:36:01 +0000 2016,"@JmarcDn Good Morning, will you please send an email to TeamSocial@homedepot.com with a picture of the full post card you received?-TeamCare",7f7c4e788e20d96c4013,0,non-humorous,0,,pending,status_id:789112943271084034
training_v2_00027,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,PepsiCo,C00027,1435641903060602884,https://x.com/pepsico/status/1435641903060602884,1435641903060602884,Wed Sep 08 16:31:17 +0000 2021,Black-owned businesses are critical to our communities. We’re working to help more of them thrive with The #PepsiCoFoundation + @NatUrbanLeague Black Restaurant Accelerator. Meet our first participants: https://t.co/F2nmYsDh0q https://t.co/i38AiwqpWn,49271c56fc00cf17efe1,0,non-humorous,0,,pending,status_id:1435641903060602884
training_v2_00028,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Microsoft,C00028,1866581628488929529,https://x.com/microsoft/status/1866581628488929529,1866581628488929529,Tue Dec 10 20:31:54 +0000 2024,"The time that AI saves allows employees to do things that create value. Learn more about the different ways you can level up your work from Tomas Chamorro-Premuzic, psychologist and author: https://t.co/VXTp0zfRev",b2d8009adedc6afda268,0,non-humorous,0,,pending,status_id:1866581628488929529
training_v2_00029,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,FedEx,C00029,1758153872403489004,https://x.com/fedex/status/1758153872403489004,1758153872403489004,Thu Feb 15 15:38:42 +0000 2024,Found a friend on the route 🐾 @OriginalMurdick https://t.co/9MBIj9O9fe,35578afcb1b358537f6a,2,affiliative,1,2,pending,status_id:1758153872403489004
training_v2_00030,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Tesla,C00030,2057276654326853817,https://x.com/tesla/status/2057276654326853817,2057276654326853817,Thu May 21 01:45:51 +0000 2026,RT @elonmusk: About to hand over the last Model S &amp; X cars ever made,9b4c607da5f9d2d5093d,0,non-humorous,0,,pending,status_id:2057276654326853817
training_v2_00031,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,StoneX Group,C00031,2021694617775702096,https://x.com/stonex_official/status/2021694617775702096,2021694617775702096,Wed Feb 11 21:15:32 +0000 2026,"Early market performance often shapes investor expectations long before fundamentals fully play out. Historical data suggests January returns can influence sentiment, risk appetite, and positioning for the rest of the year, even as exceptions remind markets to stay cautious. Michael Lytle, Chief Investment Officer at StoneX Wealth Management, explains why the January Barometer continues to resonate with investors and how to interpret its signals responsibly. Watch the full conversation: https://t.co/RoiRCvBRYW #StoneX #Equities #MarketOutlook",902c5e3b4666b2b34802,0,non-humorous,0,,pending,status_id:2021694617775702096
training_v2_00032,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Fannie Mae,C00032,1939775954974388635,https://x.com/fanniemae/status/1939775954974388635,1939775954974388635,Mon Jun 30 20:00:01 +0000 2025,"As U.S. National Homeownership Month ends, we recognize the strength and stability that homeownership brings to families and communities. That's why we remain committed to helping the American Dream of homeownership become a reality for more people. https://t.co/1Ue3IZRtyA",221019d87bdf0aed6586,0,non-humorous,0,,pending,status_id:1939775954974388635
training_v2_00033,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Publix Super Markets,C00033,1937556327464603941,https://x.com/publix/status/1937556327464603941,1937556327464603941,Tue Jun 24 17:00:01 +0000 2025,Did your wedding have a #Publix cake? We want to see it! 🎂,295962db7ad776cf1e7e,3,self-enhancing,1,3,pending,status_id:1937556327464603941
training_v2_00034,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,RTX,C00034,1260553296953180160,https://x.com/rtx_news/status/1260553296953180160,1260553296953180160,Wed May 13 12:51:40 +0000 2020,"Helping our suppliers get the support they need is one of our top priorities. We’re engaged in helping them meet the challenges of COVID-19, from connecting them to important resources to providing them with tools needed to cope with the crisis. https://t.co/7SHxStOMKy https://t.co/2ZjvdBl1jU",b99fed23817d9ed7c855,0,non-humorous,0,,pending,status_id:1260553296953180160
training_v2_00035,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Progressive,C00035,1850977951950795250,https://x.com/progressive/status/1850977951950795250,1850977951950795250,Mon Oct 28 19:08:27 +0000 2024,Turning into your parents is like the house that hands out raisins at #Halloween: to be avoided at all costs. #DrRick https://t.co/PyFY5TBQBs,8dfd91dc27d47dc5a483,1,aggressive,1,1,pending,status_id:1850977951950795250
training_v2_00036,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Target,C00036,1570434727265419266,https://x.com/target/status/1570434727265419266,1570434727265419266,Thu Sep 15 15:29:50 +0000 2022,"going to Target, need anything?",615b8a87b6d588bde974,3,self-enhancing,1,3,pending,status_id:1570434727265419266
training_v2_00037,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Oracle,C00037,1862851580854198713,https://x.com/oracle/status/1862851580854198713,1862851580854198713,Sat Nov 30 13:30:01 +0000 2024,"Learn how you can quickly and easily leverage #GenAI capabilities where you need them across your entire tech stack—apps, infrastructure, and more: https://t.co/g0109ttKIy https://t.co/oOu5YJ68WS",3d2288b02898908af345,0,non-humorous,0,,pending,status_id:1862851580854198713
training_v2_00038,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Cisco Systems,C00038,2044326864391467410,https://x.com/cisco/status/2044326864391467410,2044326864391467410,Wed Apr 15 08:08:00 +0000 2026,"Faster response. More precise location. Better outcomes when it matters most. Learn how emergency services are using real time intelligence to save lives, with insight from Iron Bow CTO, Greg Stemberger ➡️ https://t.co/MzG8q9XT2m https://t.co/8uVY1VBTRi",43971e96f7440d06df3f,3,self-enhancing,1,3,pending,status_id:2044326864391467410
training_v2_00039,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Johnson & Johnson,C00039,1617567977116762112,https://x.com/jnjnews/status/1617567977116762112,1617567977116762112,Mon Jan 23 17:00:33 +0000 2023,"Innovators at #JNJ are aiming to help improve maternal health outcomes by studying rare diseases like #HDFN. For #MaternalHealth Awareness Day, learn about the passion these innovators have for their work and the progress J&amp;J is making to help pregnant people and their babies.",83cd333ee04e45e396aa,0,non-humorous,0,,pending,status_id:1617567977116762112
training_v2_00040,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Lockheed Martin,C00041,1973753713878860276,https://x.com/lockheedmartin/status/1973753713878860276,1973753713878860276,Thu Oct 02 14:15:30 +0000 2025,Vote for the X-59 in the Coolest Thing Made in California contest! Quiet supersonic flight in half the time—it doesn’t get cooler than this. Click below to cast your vote!😎🔗⬇️,acd74d9f81e6db99597b,3,self-enhancing,1,3,pending,status_id:1973753713878860276
training_v2_00041,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Delta Air Lines,C00042,2014493318617444845,https://x.com/delta/status/2014493318617444845,2014493318617444845,Fri Jan 23 00:20:09 +0000 2026,"As we prep for Winter Storm Fern, flight cancellations are impacting airports in North Texas, Oklahoma, Arkansas, Louisiana and Tennessee. Monitor or adjust your travel in the Delta app or on https://t.co/lVlOjYwO0A. https://t.co/ebw2ODQ7Uo",09843ce0df9252881c40,0,non-humorous,0,,pending,status_id:2014493318617444845
training_v2_00042,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Microsoft,C00043,2044825780895830113,https://x.com/microsoft/status/2044825780895830113,2044825780895830113,Thu Apr 16 17:10:31 +0000 2026,"RT @satyanadella: Our Fairwater datacenter in Wisconsin is going live, ahead of schedule. As the world’s most powerful AI datacenter, it w…",7e365dda9cb2a9bb5ef6,3,self-enhancing,1,3,pending,status_id:2044825780895830113
training_v2_00043,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,AbbVie,C00044,1775177673569878380,https://x.com/abbvie/status/1775177673569878380,1775177673569878380,Tue Apr 02 15:05:13 +0000 2024,Science’s most profound mysteries are still out there. Our #scientists and #engineers – with backgrounds ranging from #AI to #genomics – are collaborating to solve them. Explore how we’re making the big bets: https://t.co/rWULgTcVMf https://t.co/3YUMY7iq9y,18a562efc460c3469325,0,non-humorous,0,,pending,status_id:1775177673569878380
training_v2_00044,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,TJX,C00045,826233299186106369,https://x.com/tjmaxx/status/826233299186106369,826233299186106369,Tue Jan 31 00:59:03 +0000 2017,@laurenpoole20 Please give our Customer Service a call directly at 1-800-926-6299 M-F 9-6 EST. They would be happy to address this.,99c5c9effb90444838f2,0,non-humorous,0,,pending,status_id:826233299186106369
training_v2_00045,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,General Dynamics,C00046,1881465045768655100,https://x.com/generaldynamics/status/1881465045768655100,1881465045768655100,Mon Jan 20 22:13:17 +0000 2025,"RT @GDIT: Today, we honor the life, work, and legacy of Dr. Martin Luther King, Jr. by embracing his call to serve those in need, support o…",24cea3560534a5567bec,0,non-humorous,0,,pending,status_id:1881465045768655100
training_v2_00046,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,AT&T,C00047,2026703718637560075,https://x.com/att/status/2026703718637560075,2026703718637560075,Wed Feb 25 16:59:55 +0000 2026,It's go-time! 🤩 Bookmark this megathread for all things #GalaxyUnpacked. Comment #GalaxyAI if you’re feeling the excitement! https://t.co/BcdDIrJSzn,ee9a645bb81606dd6b3f,3,self-enhancing,1,3,pending,status_id:2026703718637560075
training_v2_00047,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Amazon,C00048,1894771180533391795,https://x.com/amazon/status/1894771180533391795,1894771180533391795,Wed Feb 26 15:27:07 +0000 2025,"They say you get better with age, and they’re not wrong. 🌟 I’m glowing up — meet Alexa+, the new version of yours truly! Still here to make your life easier, but now supercharged by generative AI. #AlexaPlus Follow live updates here and on About @Amazon: https://t.co/dQ0kb4IQRC",9195e380ec660b41361c,2,affiliative,1,2,pending,status_id:1894771180533391795
training_v2_00048,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,TJX,C00049,786627194906775552,https://x.com/tjmaxx/status/786627194906775552,786627194906775552,Thu Oct 13 17:58:32 +0000 2016,@jpbrightlight Hey! We love your advice. Could you send us a DM? We have a question to ask you!,d7b2466d995a529afe82,0,non-humorous,0,,pending,status_id:786627194906775552
training_v2_00049,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Enterprise Products Partners,C00050,1677450798949883904,https://x.com/eprod_careers/status/1677450798949883904,1677450798949883904,Fri Jul 07 22:53:30 +0000 2023,We want to find the right people to drive our success at Enterprise Products. Could that be you? Click here to learn more about joining our team in US. https://t.co/R4oRC6Fr99,dcb0a6504df4726b8500,2,affiliative,1,2,pending,status_id:1677450798949883904
training_v2_00050,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Target,C00051,1372925916066746371,https://x.com/target/status/1372925916066746371,1372925916066746371,Fri Mar 19 15:00:20 +0000 2021,"Once a Belieber, always a Belieber. Get your Target exclusive copy of @justinbieber's new album Justice, now: https://t.co/IJuXyUxhAp https://t.co/UI8pWZqDX5",0110fdfd044e4bbaf8be,0,non-humorous,0,,pending,status_id:1372925916066746371
training_v2_00051,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Albertsons,C00052,1233138776383188992,https://x.com/albertsons/status/1233138776383188992,1233138776383188992,Thu Feb 27 21:16:09 +0000 2020,Happy Strawberry Day! https://t.co/OYv5OrXB2Z,fd27098739b3dd92ece6,2,affiliative,1,2,pending,status_id:1233138776383188992
training_v2_00052,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Ford Motor,C00053,1932452698005061897,https://x.com/ford/status/1932452698005061897,1932452698005061897,Tue Jun 10 15:00:01 +0000 2025,Convertible season is upon us. Drop it.,1996c7270666fefe83ed,3,self-enhancing,1,3,pending,status_id:1932452698005061897
training_v2_00053,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Albertsons,C00054,1351681934569603073,https://x.com/albertsons/status/1351681934569603073,1351681934569603073,Wed Jan 20 00:04:20 +0000 2021,"Purple potatoes –fun mashed potatoes, or good roasted and baked 😋 https://t.co/xPJDoRucAJ",35243400ffae63b06fe6,3,self-enhancing,1,3,pending,status_id:1351681934569603073
training_v2_00054,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Morgan Stanley,C00055,2031721705891066073,https://x.com/morganstanley/status/2031721705891066073,2031721705891066073,Wed Mar 11 13:19:36 +0000 2026,"In this Blueprint episode, TWFG Founder and CEO Gordy Bunch shares his goal of turning $10,000 into a public insurance company that empowers agents and communities. See how vision became reality with the support of Morgan Stanley across wealth management and the IPO journey. https://t.co/MZlrePolti",61d7deaf71f95639b4e7,0,non-humorous,0,,pending,status_id:2031721705891066073
training_v2_00055,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,Phillips 66,C00056,1392857175568134155,https://x.com/phillips66co/status/1392857175568134155,1392857175568134155,Thu May 13 15:00:03 +0000 2021,"As part of GOOD ENERGY month in April, our Los Angeles Refinery sponsored Healthy Kids Week at the local YMCA to help remind the community of healthy living and eating habits after a challenging year. Learn more: https://t.co/rbVDKmes0P #GivingGoodEnergy",43e85e5aff51e77adbba,0,non-humorous,0,,pending,status_id:1392857175568134155
training_v2_00056,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,MetLife,C00057,1565066227017449473,https://x.com/metlife/status/1565066227017449473,1565066227017449473,Wed Aug 31 19:57:20 +0000 2022,RT @CLTInno: It’s important for employers to understand how young tech employees who are already in the workforce are setting the pace and…,e2948e5eea5cc5529c61,0,non-humorous,0,,pending,status_id:1565066227017449473
training_v2_00057,current_training_labels,20260618expand/classifier_improvement/data/human_labeling_template/fortune100_human_labeling_template_combined.csv,AbbVie,C00058,1895474150061293805,https://x.com/abbvie/status/1895474150061293805,1895474150061293805,Fri Feb 28 14:00:28 +0000 2025,"@EMA_News [Video description: On-screen text reads, “Immunology News.”]",a2db4ff020c1b546a644,0,non-humorous,0,,pending,status_id:1895474150061293805
