iv_name,label,note,n,zero_n,zero_pct,nonzero_n,nonzero_pct,mean,median,std,min,max,p10,p25,p75,p90,hypothesis,within_company_std_median,corr_with_humor_share,corr_with_aggressive_share,corr_with_aggressive_humor_usage_intensity,corr_with_ambiguity_rate
aggressive_prob_sum,H2 aggressive prob sum,Σ P(aggressive) per post,430,31,7.21,399,92.79,0.059005,0.033364,0.103122,0.0,1.014104,0.006342,0.013865,0.072573,0.117499,H2,0.020998,-0.0002,0.6939,0.6939,0.1222
aggressive_prob_mean,H2 aggressive prob mean,mean P(aggressive),430,31,7.21,399,92.79,0.003648,0.00333,0.003624,0.0,0.047704,0.00139,0.002412,0.004225,0.005642,H2,0.001396,-0.0978,0.8836,0.8836,0.4339
aggressive_prob_max,H2 aggressive prob max,max P(aggressive) per firm-period,430,31,7.21,399,92.79,0.015418,0.007607,0.077991,0.0,0.8,0.006233,0.007006,0.008037,0.008452,H2,0.000615,0.0365,0.8679,0.8679,0.0136
top_k_aggressive_score,H2 top-k aggressive score,mean of top-3 type_confidence for aggressive posts,430,425,98.84,5,1.16,0.008465,0.0,0.078713,0.0,0.8,0.0,0.0,0.0,0.0,H2,0.0,0.0417,0.8686,0.8686,-0.0016
negative_humor_presence_any_post,H2 negative post-level binary,any aggressive/self_defeating post,430,421,97.91,9,2.09,0.02093,0.0,0.143318,0.0,1.0,0.0,0.0,0.0,0.0,H2,0.0,0.0362,0.6727,0.6727,-0.0135
hc_v2_aggressive_candidate_intensity,H3 v2 candidate intensity,v2_count/humor_count — BROADER,430,253,58.84,177,41.16,0.475145,0.0,0.982762,0.0,7.0,0.0,0.0,0.5,1.025,H3,0.002532,0.2962,-0.0209,-0.0209,-0.1184
hc_rare_class_candidate_intensity,H3 rare class intensity,rare_count/humor_count,430,366,85.12,64,14.88,0.092416,0.0,0.288953,0.0,2.0,0.0,0.0,0.0,0.205,H3,0.0,0.0471,-0.0112,-0.0112,-0.0253
hc_negative_humor_intensity,H3 negative intensity,(aggressive+self_defeat)/humor_count,430,421,97.91,9,2.09,0.005038,0.0,0.040785,0.0,0.5,0.0,0.0,0.0,0.0,H3,0.0,0.0117,0.5701,0.5701,-0.0199
aggressive_prob_intensity,H3 aggressive prob intensity,Σ P(aggressive)/humor_count,430,153,35.58,277,64.42,0.018224,0.011297,0.029462,0.0,0.34415,0.0,0.0,0.022092,0.042744,H3,0.013157,-0.0577,0.5361,0.5361,0.1245
aggressive_prob_sum,H3 aggressive prob sum (alt),used as continuous IV alternative,430,31,7.21,399,92.79,0.059005,0.033364,0.103122,0.0,1.014104,0.006342,0.013865,0.072573,0.117499,H3,0.020998,-0.0002,0.6939,0.6939,0.1222
top_k_aggressive_score,H3 top-k score (alt),alternative intensity proxy,430,425,98.84,5,1.16,0.008465,0.0,0.078713,0.0,0.8,0.0,0.0,0.0,0.0,H3,0.0,0.0417,0.8686,0.8686,-0.0016
