variable_name,hypothesis,construct,role,numerator,denominator,formula,ambiguity_handling,interpretation,limitation,no_human_label_warning
humor_presence_any,H1,Humor adoption (binary),IV (binary),1 if humor_count > 0,1,1 if humor_count > 0 else 0,conservative,Binary indicator: 1 if firm posted at least one humor post in period. Use for treatment-effect framing.,Loses information about volume. Useful for DiD or propensity-score designs.,v1 label only.
affiliative_count,H2,Affiliative humor volume,IV,Rows where humor_type == 'affiliative',1,COUNT(humor_type == 'affiliative'),Only confirmed humor rows are typed; ambiguous_or_review excluded,"Number of affiliative (inclusive, bonding) humor posts. Subset of humor_count.",v1 label. Ambiguous rows not typed. May undercount true affiliative posts.,v1 operational label only. No human validation of type assignment.
self_enhancing_count,H2,Self-enhancing humor volume,IV,Rows where humor_type == 'self_enhancing',1,COUNT(humor_type == 'self_enhancing'),Only confirmed humor rows typed,"Brand laughing at itself in a confident, positive way.",v1 label only.,v1 operational label only.
aggressive_count,"H2, H3",Aggressive humor volume,IV (H2) / Key variable (H3),Rows where humor_type == 'aggressive',1,COUNT(humor_type == 'aggressive'),Only confirmed humor rows typed,Humor that ridicules or takes competitive shots at an external target. Rare class in v1 (105/68k).,Rare class: 105 rows in 68k. No human validation. v1 may undercount due to conservative cues.,EXPLORATORY ONLY. aggressive_count is v1 operational label with no human validation. Treat as lower-bound estimate.
self_defeating_count,H2,Self-defeating humor volume,IV,Rows where humor_type == 'self_defeating',1,COUNT(humor_type == 'self_defeating'),Only confirmed humor rows typed,Brand laughing at its own flaws or mistakes. Very rare class (41/68k).,Extremely rare (41 rows). Insufficient for standalone regression. Combine with aggressive for rare_negative_humor.,EXPLORATORY ONLY. Rare class with no human validation.
affiliative_share,H2,Affiliative humor usage rate,IV,affiliative_count,total_posts,affiliative_count / total_posts,"conservative (ambiguous in denominator, 0 in numerator)",Share of all posts that are affiliative humor.,v1 label only. Ambiguous posts may include undetected affiliative humor.,v1 label only.
self_enhancing_share,H2,Self-enhancing humor usage rate,IV,self_enhancing_count,total_posts,self_enhancing_count / total_posts,conservative,Share of all posts that are self-enhancing humor.,v1 label only.,v1 label only.
aggressive_share,"H2, H3",Aggressive humor usage rate,IV (H2) / Basis for H3 intensity,aggressive_count,total_posts,aggressive_count / total_posts,conservative,Share of all posts that are aggressive humor. Identical to aggressive_humor_usage_intensity.,Rare class. Most firm-periods will have aggressive_share == 0.0.,EXPLORATORY. v1 label only. True aggressive share unknown without human labels.
self_defeating_share,H2,Self-defeating humor usage rate,IV,self_defeating_count,total_posts,self_defeating_count / total_posts,conservative,Share of all posts that are self-defeating humor.,Extremely rare (41/68k). Almost all firm-periods will be 0.,EXPLORATORY. v1 label only.
rare_negative_humor_count,"H2, H3",Rare negative humor volume,IV (combined rare class),aggressive_count + self_defeating_count,1,aggressive_count + self_defeating_count,conservative,Combined count of aggressive and self-defeating humor. Use when individual rare classes are too sparse for separate analysis.,Combines two theoretically distinct constructs for statistical power. Use when n is too small for separate terms.,EXPLORATORY. Both components are v1 labels with no human validation.
rare_negative_humor_share,"H2, H3",Rare negative humor usage rate,IV (combined rare class share),rare_negative_humor_count,total_posts,(aggressive_count + self_defeating_count) / total_posts,conservative,Share of all posts that are aggressive or self-defeating humor.,Same as rare_negative_humor_count.,EXPLORATORY. v1 labels only.
aggressive_minus_other_humor_share,H2,Aggressive humor relative to other humor types,IV (relative contrast),aggressive_count,total_posts (for each component),aggressive_share - (affiliative_share + self_enhancing_share + self_defeating_share),conservative,Excess share of aggressive humor over sum of all other humor types. Negative if firm relies primarily on positive humor types.,Can be negative. Zero-centered interpretation depends on the humor mix.,v1 labels only. Rare class sparsity may make this negative for almost all firm-periods.
aggressive_humor_usage_intensity,H3,Aggressive humor usage intensity (firm-level),Moderator (H3),aggressive_count,total_posts,aggressive_count / total_posts,conservative,"Firm-level intensity of aggressive humor usage. NOT subjective message-level semantic intensity; this is the share of aggressive humor posts among all posts. For H3 inverted-U test, this is the moderator.",Identical value to aggressive_share. Kept as a separately-named variable to distinguish the moderator role in H3 from the independent variable role in H2.,EXPLORATORY. v1 label. True intensity unknown without human validation.
aggressive_humor_usage_intensity_sq,H3,Aggressive humor usage intensity squared,Moderator squared (H3 inverted-U),aggressive_count² / total_posts²,1,(aggressive_count / total_posts)²,conservative,Squared term of aggressive_humor_usage_intensity. Required for testing inverted-U (curvilinear) moderation in H3. Negative coefficient expected.,Most firm-periods have intensity=0; squared term will also be 0. Very few non-zero observations.,EXPLORATORY. v1 label.
log_aggressive_count,H3,Aggressive humor count (log-transformed),IV / Moderator (log form),1 + aggressive_count,1,log(1 + aggressive_count),conservative,Log-transformed count for skew correction. Most firm-periods will be log(1)=0.,Extremely sparse. Zero-inflated structure requires special attention.,EXPLORATORY. v1 label.
aggressive_presence_any,H3,Aggressive humor adoption (binary),Binary moderator / IV,1 if aggressive_count > 0,1,1 if aggressive_count > 0 else 0,conservative,Binary indicator: firm posted at least one aggressive humor post in period. For DiD or selection analysis.,Loses intensity information. Most firm-periods will be 0.,EXPLORATORY. v1 label.
aggressive_share_ambiguity_excluded,H3,Aggressive humor intensity (robustness: ambiguous excluded),Moderator (Robustness),aggressive_count,humor_count + non_humor_count,aggressive_count / (humor_count + non_humor_count),ambiguity_excluded,Aggressive humor share among unambiguous posts only. Robustness check for H3.,Denominator shrinks for high-ambiguity firm-periods.,v1 label only.
rare_negative_humor_usage_intensity,H3,Combined rare negative humor intensity,"Moderator (robustness, H3)",rare_negative_humor_count,total_posts,(aggressive_count + self_defeating_count) / total_posts,conservative,Combined aggressive + self_defeating intensity. Use as robustness moderator when aggressive alone is too sparse.,Conflates two distinct humor constructs.,EXPLORATORY. v1 labels.
rare_negative_humor_usage_intensity_sq,H3,Combined rare negative humor intensity squared,Moderator squared (robustness),(rare_negative_humor_count)²,total_posts²,((aggressive_count + self_defeating_count) / total_posts)²,conservative,Squared term for curvilinear moderation test using combined rare class.,Same caveats as rare_negative_humor_usage_intensity.,EXPLORATORY.
humor_share_x_aggressive_intensity,H3,H1 × H3 interaction: humor share × aggressive intensity,Interaction term,humor_share × aggressive_humor_usage_intensity,1,humor_share * aggressive_humor_usage_intensity,conservative (both components),Cross-product for testing whether aggressive humor moderates the humor→equity relationship. Center both variables before computing for interpretability.,Multicollinear with component variables. Centering recommended.,v1 labels.
humor_share_x_aggressive_intensity_sq,H3,H1 × H3 interaction: humor share × aggressive intensity squared,Interaction term (inverted-U),humor_share × aggressive_humor_usage_intensity²,1,humor_share * aggressive_humor_usage_intensity_sq,conservative,Tests inverted-U moderation: whether the curvilinear effect of aggressive intensity depends on overall humor share.,High multicollinearity. Use with caution.,v1 labels.
aggressive_presence_x_aggressive_intensity,H3,Binary adoption × continuous intensity interaction,Interaction term,aggressive_presence_any × aggressive_humor_usage_intensity,1,aggressive_presence_any * aggressive_humor_usage_intensity,conservative,Cross-product: aggressive presence binary × intensity. Non-zero only when firm has any aggressive humor. Useful for split-sample designs.,"Since aggressive_presence_any = 1 iff aggressive_count > 0, this equals aggressive_humor_usage_intensity for firms with any aggressive posts and 0 otherwise.",v1 labels.
aggressive_presence_x_aggressive_intensity_sq,H3,Binary adoption × intensity squared interaction,Interaction term (inverted-U),aggressive_presence_any × aggressive_humor_usage_intensity²,1,aggressive_presence_any * aggressive_humor_usage_intensity_sq,conservative,Squared version of the binary × intensity interaction for inverted-U testing.,Same as above.,v1 labels.
v2_aggressive_candidate_count,"H2, H3",v2 aggressive candidate count (company-level diagnostic),Diagnostic flag (NOT production label),Rows in v1-v2 comparison where v2_label == 'aggressive' for this company,1,COUNT(v2_label == 'aggressive' AND company == firm) in 941-row comparison sample,"N/A — from stratified sample, not full 68k",Number of posts that v2 classified as aggressive for this company in the 941-row A/B sample. COMPANY-LEVEL metric (not period-level). Same value repeated for all periods of the firm. Use as robustness check only.,From 941-row stratified sample only. Not period-specific. v2 is NOT a production label. Do not use as replacement for aggressive_count.,v2 is a disagreement detector. v2 aggressive label has NO human validation.
v1_v2_disagreement_candidate_count,Robustness,v1-v2 classification disagreement count (company-level),Diagnostic,Rows where v1 and v2 disagree for this company in the 941-row comparison sample,1,COUNT(agreement != 'true' AND company == firm) in 941-row sample,N/A,Number of disagreement instances in the A/B sample for this company. High values indicate measurement uncertainty. COMPANY-LEVEL metric.,Stratified sample only. Not period-specific.,Disagreement does not indicate which label is correct.
rare_class_candidate_count,"H2, H3",P0 priority review candidates (company-level),Diagnostic,P0 rows in priority sample for this company,1,COUNT(priority == 'P0' AND company == firm) in priority sample,N/A,Number of v1-ambiguous posts that v2 reclassified as aggressive/self-defeating for this company. Awaiting human review. COMPANY-LEVEL metric.,Not period-specific. Human review pending.,P0 candidates have no human label. v2 classification is unvalidated.
high_ambiguity_flag,Diagnostic,High measurement uncertainty flag,Flag / Exclusion criterion,1 if ambiguity_rate >= 0.50,1,1 if ambiguity_rate >= 0.50 else 0,Flag triggered when >= 50% of posts are ambiguous,1 = this firm-period has >= 50% ambiguous posts; humor share is unreliable. Use to exclude or as control in robustness checks.,Threshold (0.50) is a judgment call. Consider sensitivity at 0.30 and 0.70.,"Flag signals v1 classification uncertainty, not true ambiguity of content."
no_human_label_flag,Diagnostic,Human label availability flag,Metadata,Always 1 at this stage,1,1 (constant),N/A,1 = no human labels available for this firm-period. All humor variables are v1 operational labels only. Will become 0 after human adjudication.,Always 1 until human review is completed.,All variables in this dataset are v1 operational labels. No accuracy claims are possible.
