후보_ID,표본_층화,Fortune_순위,회사명,X_계정,트윗_ID,트윗_URL,작성일시,본문,유머_존재여부,유머_유형,배정_코더,검토_상태,총_인게이지먼트,웬디스_유머_존재여부,웬디스_유머_유형,풀체인_유머_존재여부,풀체인_유머_유형,분류기_불일치,신뢰도,메모,검토자_ID
C00802,classifier_disagreement,66,IBM,@ibm,2048764104953770495,https://x.com/ibm/status/2048764104953770495,Mon Apr 27 14:00:01 +0000 2026,Thank you for learning with us! What terms do you want to learn about next month? Let us know!,1,2,coder2,pending,13,1,affiliative,non_humor,not_applicable,1,,,
C01005,random_fortune_sample,31,StoneX Group,@StoneX_Official,2061463038893371801,https://x.com/StoneX_Official/status/2061463038893371801,Mon Jun 01 15:01:03 +0000 2026,"A try from Max Malins helped @Saracens secure a 26-12 victory over @Harlequins, keeping their play-off hopes alive. 

#Saracens https://t.co/FYKoDko8hN",0,,coder2,pending,2,0,non_humorous,non_humor,not_applicable,0,,,
C00600,humor_presence_uncertain,82,Oracle,@oracle,2028530877689737542,https://x.com/oracle/status/2028530877689737542,Mon Mar 02 18:00:24 +0000 2026,"Every @Oracle data center campus is purpose-built to respect and benefit both the environment and local communities. Explore unique designs at our Michigan, New Mexico, Texas, and Wisconsin campuses. https://t.co/igFfdJJJ6r",0,,coder2,pending,31,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00180,classifier_disagreement,26,Fannie Mae,@fanniemae,1966185017974939924,https://x.com/fanniemae/status/1966185017974939924,Thu Sep 11 17:00:12 +0000 2025,We’re committed to partnering with the industry to create new pathways to homeownership. Check out our manufactured home mortgages: https://t.co/H3oGFtYZ7f https://t.co/wu654P45tK,0,,coder2,pending,5,0,non_humorous,humor,self_enhancing,1,,,
C01261,random_fortune_sample,14,Cigna Group,@TheCignaGroup,1633105976462041088,https://x.com/TheCignaGroup/status/1633105976462041088,Tue Mar 07 14:03:01 +0000 2023,"At The Cigna Group, we see every interaction as an opportunity to serve our customers. Meet Adam from Evernorth Health Services, who responds to customers on social media and won’t stop until they get the help they need. https://t.co/Bld47zmDv2",0,,coder2,pending,1,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C01140,humor_presence_uncertain,34,Humana,@humana,1720425600236568611,https://x.com/humana/status/1720425600236568611,Fri Nov 03 13:00:01 +0000 2023,"Rooted in real-world examples, the initiative empowers our employees with the right resources and education and aims to bridge the gap between physicians and patients ensuring a more informed and equitable approach to healthcare.",0,,coder2,pending,5,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C00022,high_engagement_posts,44,Walt Disney,@Disney,2064604764646658116,https://x.com/Disney/status/2064604764646658116,Wed Jun 10 07:05:09 +0000 2026,RT @Pixar: Taylor Swift has a friend in Randy Newman at the world premiere of Toy Story 5 https://t.co/DRe55mo6IP,1,2,coder2,pending,4921,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C01353,classifier_disagreement,90,Ingram Micro Holding,@IngramMicroInc,2049860631164006630,https://x.com/IngramMicroInc/status/2049860631164006630,Thu Apr 30 14:37:13 +0000 2026,"Congrats to our Ingram Micro Turkey team for being honored with the @HPE Networking Distributor of the Year, HPE Highest Turnover, and Most Widespread Dealer Network awards for 2025!  A heartfelt thank you to HPE and all our partners! #ingrammicro #HPE #ingrammicroturkey https://t.co/uVS9xCJ2LK",0,,coder2,pending,2,0,non_humorous,humor,self_enhancing,1,,,
C01475,random_fortune_sample,68,Merck,@merck,1329065061667790850,https://x.com/merck/status/1329065061667790850,Wed Nov 18 14:12:58 +0000 2020,"Today – join us, @preventionAC, and a panel of #HIV activists for a conversation and Q&amp;A to educate and empower young Americans. Working together, this generation can be the one to help stop the spread. Register now: https://t.co/tUeDkVZaB3 #OwningHIV https://t.co/mea3Nn9LQs",1,2,coder2,pending,16,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C01424,wendys_transfer_aggressive,78,Prudential Financial,@Prudential,1529189126997680128,https://x.com/Prudential/status/1529189126997680128,Tue May 24 19:54:33 +0000 2022,Prudential is proud to celebrate our Asian-American and Pacific Islander community this #AAPI heritage month. Every day our employees embrace their culture as we work to create an inclusive workspace where everyone feels they belong. https://t.co/IkpNirYup8,1,2,coder2,pending,8,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C00257,full_chain_aggressive,27,Kroger,@kroger,1316512320370012160,https://x.com/kroger/status/1316512320370012160,Wed Oct 14 22:52:51 +0000 2020,Whipped up this Roasted Asparagus with Smoked Salmon &amp; Capers in less than 10 minutes! Quick and easy recipe from @Kroger #ChefbotFridgeCheck #ad https://t.co/zWTrrqKeTz,1,3,coder2,pending,351,1,affiliative,humor,aggressive,0,,,
C00749,type_uncertain,55,Sysco,@sysco,1496620911654432768,https://x.com/sysco/status/1496620911654432768,Wed Feb 23 23:00:05 +0000 2022,"Know an outstanding warehouse associate? Let us know who you'd like to nominate and why! ⬇️ #SyscoWarehouseWednesday

Looking for a job in the warehouse? We're hiring. Apply now at https://t.co/gqcLRiz7ew. https://t.co/997dmc1Fby",1,2,coder2,pending,3,1,affiliative,non_humor,not_applicable,1,,,
C00443,random_fortune_sample,75,ConocoPhillips,@conocophillips,1620455092951605248,https://x.com/conocophillips/status/1620455092951605248,Tue Jan 31 16:12:55 +0000 2023,"Our office in #Midland serves as a strategic hub for our #PermianBasin assets. Hear from our employees about what it’s like to live in and work in this Texas community, a city with strong ties to the oil and gas industry: https://t.co/3I19IrmhVY https://t.co/DwkRPm6qrB",0,,coder2,pending,15,1,affiliative,humor,self_enhancing,0,,,
C00041,random_fortune_sample,61,Lockheed Martin,@lockheedmartin,1973753713878860276,https://x.com/lockheedmartin/status/1973753713878860276,Thu Oct 02 14:15:30 +0000 2025,Vote for the X-59 in the Coolest Thing Made in California contest! Quiet supersonic flight in half the time—it doesn’t get cooler than this. Click below to cast your vote!😎🔗⬇️,1,3,coder2,pending,588,1,aggressive,humor,affiliative,0,,,
C01039,random_fortune_sample,36,Goldman Sachs Group,@GoldmanSachs,1918294791982350476,https://x.com/GoldmanSachs/status/1918294791982350476,Fri May 02 13:21:33 +0000 2025,"What’s driving the US bond market now — and are there opportunities in Treasuries and in credit? Lindsay Rosner, head of multi-sector investing with Goldman Sachs Asset Management, discusses with Chris Hussey on The Markets podcast: https://t.co/6NzC35xNeh https://t.co/xeyDyUmcQ3",0,,coder2,pending,53,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00449,high_engagement_posts,44,Walt Disney,@Disney,2051331661758099538,https://x.com/Disney/status/2051331661758099538,Mon May 04 16:02:34 +0000 2026,"A new hero. A new hope. A new era.

Don't miss Star Wars: The Mandalorian and Grogu in theaters and IMAX May 22. Get tickets now. https://t.co/oO5Cz6UMdF https://t.co/sFUFd87WI9",1,3,coder2,pending,5148,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C01383,type_uncertain,43,Tesla,@tesla,2058638533938864450,https://x.com/tesla/status/2058638533938864450,Sun May 24 19:57:28 +0000 2026,"Plus, your Tesla can do the driving w/ FSD Supervised while you take in the landscape",0,,coder2,pending,2188,1,aggressive,humor,affiliative,0,,,
C00513,wendys_transfer_aggressive,39,Morgan Stanley,@morganstanley,1874848124801347954,https://x.com/morganstanley/status/1874848124801347954,Thu Jan 02 16:00:00 +0000 2025,"Morgan Stanley's large-cap banks analyst, Betsy Graseck highlights factors like a rebound in IPO and M&amp;A activity and quantitative tightening, as drivers of her bullish outlook on the sector for 2025. https://t.co/aWl88npdbs",0,,coder2,pending,60,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C00888,firm_balanced_sample,59,MetLife,@metlife,1435240547837489152,https://x.com/metlife/status/1435240547837489152,Tue Sep 07 13:56:26 +0000 2021,"Together with @PNUD_Mexico, MetLife Mexico is working to facilitate financial inclusion throughout the country. https://t.co/7QYt1qBalP https://t.co/bKhzIjQtnV",0,,coder2,pending,1,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00413,random_fortune_sample,39,Morgan Stanley,@morganstanley,1615329440598220802,https://x.com/morganstanley/status/1615329440598220802,Tue Jan 17 12:45:24 +0000 2023,"$MS 4Q 2022 earnings: Morgan Stanley reports fourth quarter 2022 net revenues of $12.7 billion, net income of $2.2 billion, EPS of $1.26 and ROTCE of 12.6%. Release: https://t.co/8eswIZgI7k https://t.co/qZAOXvxYqj",0,,coder2,pending,29,0,non_humorous,non_humor,not_applicable,0,,,
C00595,classifier_disagreement,93,USAA,@usaa,1868051197481099758,https://x.com/usaa/status/1868051197481099758,Sat Dec 14 21:51:26 +0000 2024,Now that’s how you make an entrance to the @ArmyNavyGame. The March On tradition exemplifies the best of @WestPoint_USMA and the @NavalAcademy. https://t.co/av8WXlWhJK,1,3,coder2,pending,49,0,non_humorous,humor,affiliative,1,,,
C00480,low_engagement_posts,89,Enterprise Products Partners,@EProd_Careers,1680347084946546688,https://x.com/EProd_Careers/status/1680347084946546688,Sat Jul 15 22:42:19 +0000 2023,"Think you would excel as our next Specialist, Senior Systems? Consider Enterprise Products as YOUR pipeline for career success! Apply today. https://t.co/wjCdHZr3Y4",1,2,coder2,pending,0,1,affiliative,non_humor,not_applicable,1,,,
C00128,random_fortune_sample,85,Charter Communications,@CharterNewsroom,2014822200268710396,https://x.com/CharterNewsroom/status/2014822200268710396,Fri Jan 23 22:07:00 +0000 2026,"RT @Ask_Spectrum: We are preparing for Winter Storm Fern, which is expected to bring significant winter weather to large parts of the count…",0,,coder2,pending,3,1,self-enhancing,ambiguous,ambiguous_or_review,0,,,
C01374,type_uncertain,43,Tesla,@tesla,2042311578264150273,https://x.com/tesla/status/2042311578264150273,Thu Apr 09 18:39:59 +0000 2026,No other car can do this,1,3,coder2,pending,10988,1,affiliative,non_humor,not_applicable,1,,,
C00922,random_fortune_sample,72,Publix Super Markets,@Publix,1656750649474707472,https://x.com/Publix/status/1656750649474707472,Thu May 11 19:58:30 +0000 2023,"Welcome to the family, Store #1836, in Tallahassee, Florida. 💚 https://t.co/n09Crdr0X3",1,2,coder2,pending,111,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00315,high_engagement_posts,44,Walt Disney,@Disney,2057105363191656681,https://x.com/Disney/status/2057105363191656681,Wed May 20 14:25:12 +0000 2026,"A look at The Walt Disney Studios Courtyard, which opens May 26 at Disney's Hollywood Studios ✨ https://t.co/cUnEdxFXLT",1,2,coder2,pending,2343,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C00829,classifier_disagreement,93,USAA,@usaa,1529092377062801412,https://x.com/usaa/status/1529092377062801412,Tue May 24 13:30:06 +0000 2022,"After 100 years, we still serve the military community. Because as long as there are those who serve, we’ll be there to serve them. Learn more about USAA turning 100 at https://t.co/ka4W5sOADn. https://t.co/J4aDFYd0sH",0,,coder2,pending,38,1,affiliative,non_humor,not_applicable,1,,,
C00581,wendys_transfer_aggressive,69,Nationwide,@nationwide,1733603168884285813,https://x.com/nationwide/status/1733603168884285813,Sat Dec 09 21:42:58 +0000 2023,IT'S CUCHOOOOOOOOOO,1,2,coder2,pending,527,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C01109,classifier_disagreement,64,Allstate,@allstate,1373022885275652098,https://x.com/allstate/status/1373022885275652098,Fri Mar 19 21:25:40 +0000 2021,"So... anyone’s #bracketbusted? We would offer “bracket protection,” but then moments like these wouldn’t be as fun 🏀",1,1,coder2,pending,23,1,affiliative,non_humor,not_applicable,1,,,
C01273,wendys_transfer_aggressive,91,General Dynamics,@generaldynamics,1498767283254087682,https://x.com/generaldynamics/status/1498767283254087682,Tue Mar 01 21:09:00 +0000 2022,"""How am I helping to create a good roadmap and path for the women who are coming up behind me?"" is a question Sr VP Nadia Short asks herself every day. With her vision of a strong future, Nadia is helping women thrive at #GDMissionSystems. Hear more here: https://t.co/IMuPt3fe3G",0,,coder2,pending,3,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C00273,humor_presence_uncertain,61,Lockheed Martin,@lockheedmartin,1948082518571331990,https://x.com/lockheedmartin/status/1948082518571331990,Wed Jul 23 18:07:20 +0000 2025,"From Viking 1 to today, @lmspace has played a role in every @NASA Mars mission.

50 years ago, Viking 1 made history. Today, we celebrate that legacy and look ahead to the future of deep space exploration. https://t.co/L3lDJbhaz3",0,,coder2,pending,269,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00597,full_chain_aggressive,55,Sysco,@sysco,1505212521778536455,https://x.com/sysco/status/1505212521778536455,Sat Mar 19 16:00:05 +0000 2022,"Meet Gary, Produce Specialist at our Las Vegas site. He works closely with our sales consultants to help our customers pick the best produce for their menus. Prior to joining our team, Gary owned a local produce distributor and oversaw daily and strategic operations. https://t.co/YHYx2QX87y",0,,coder2,pending,2,1,affiliative,humor,aggressive,0,,,
C00979,classifier_disagreement,75,ConocoPhillips,@conocophillips,1770883778333778005,https://x.com/conocophillips/status/1770883778333778005,Thu Mar 21 18:42:48 +0000 2024,"NEWS RELEASE: ConocoPhillips to hold first-quarter earnings conference call on Thursday, May 2 https://t.co/EZhuxUcK8P",0,,coder2,pending,7,1,aggressive,non_humor,not_applicable,1,,,
C00764,type_uncertain,62,New York Life Insurance,@NewYorkLife,1513894717657956363,https://x.com/NewYorkLife/status/1513894717657956363,Tue Apr 12 15:00:02 +0000 2022,What is whole life insurance? Learn about the features and guaranteed benefits whole life insurance can provide this #FinancialLiteracyMonth.,0,,coder2,pending,5,1,aggressive,non_humor,not_applicable,1,,,
C00657,random_fortune_sample,65,Caterpillar,@CaterpillarInc,1634570095472041985,https://x.com/CaterpillarInc/status/1634570095472041985,Sat Mar 11 15:00:54 +0000 2023,"Only 3 days 🗓 until CONEXPO!

Visit our Technology Hub to take a closer look at the technologies that put you in control of equipment management: https://t.co/CkIs3jPJWg. 

#CatCONEXPO https://t.co/XuD3PFqQrH",0,,coder2,pending,51,1,affiliative,non_humor,not_applicable,1,,,
C00203,classifier_disagreement,17,Meta Platforms,@Meta,1737165167643775008,https://x.com/Meta/status/1737165167643775008,Tue Dec 19 17:37:05 +0000 2023,Learn what’s new across our AI experiences here: https://t.co/yyzmmRHjyy,0,,coder2,pending,171,1,aggressive,non_humor,not_applicable,1,,,
C00663,full_chain_aggressive,73,Pfizer,@pfizer,1579564955640422400,https://x.com/pfizer/status/1579564955640422400,Mon Oct 10 20:10:06 +0000 2022,"Everyone seems stressed these days. From economic pressures, racial unrest, political tensions and natural disasters. Fortunately, there are things you can do to get back on the path to #mentalhealth and physical wellbeing. https://t.co/bVrAi3sCti",0,,coder2,pending,65,1,affiliative,humor,aggressive,0,,,
C00240,wendys_transfer_aggressive,53,Energy Transfer,@energytransfer,1937871999801381149,https://x.com/energytransfer/status/1937871999801381149,Wed Jun 25 13:54:23 +0000 2025,"“Energy security is national security and Texas barrels don’t just fill demand – they build confidence,“ Todd Staples, TXOGA president, said Monday. ""In times of geopolitical stress, reliability becomes a strategic asset at home and abroad."" @dallasnews  https://t.co/qIvd38VA22",0,,coder2,pending,8,1,aggressive,non_humor,not_applicable,1,,,
C00073,random_fortune_sample,94,TIAA,@tiaa,1620776483261235203,https://x.com/tiaa/status/1620776483261235203,Wed Feb 01 13:30:00 +0000 2023,"Happy National Girls &amp; Women in Sports Day® (NGWSD™)! This #NGWSD2023, we're excited to be back in D.C. to celebrate girls &amp; women in sport &amp; advocate to protect &amp; build upon #TitleIX so future generations understand their rights to equal access &amp; opportunity.We're not done yet! https://t.co/fVbbnj9INA",1,2,coder2,pending,922,1,affiliative,humor,affiliative,0,,,
C00902,humor_presence_uncertain,43,Tesla,@tesla,2027599162007798060,https://x.com/tesla/status/2027599162007798060,Sat Feb 28 04:18:05 +0000 2026,"The car actually drives itself.

I live in LA.
It has handled canyons, the 405, traffic, the weird mergers on the 5

If you have to commute or have small kids, you should buy this car.

It’s safer and you will have more mental energy every day https://t.co/C1xHmpKpdG",0,,coder2,pending,569,1,affiliative,humor,self_enhancing,0,,,
C00988,humor_presence_uncertain,19,Centene,@centene,1657832734973100035,https://x.com/centene/status/1657832734973100035,Sun May 14 19:38:19 +0000 2023,Centene subsidiary @NETotalCare’s Diabetic Coaching Program works with members to inform them on how to manage diabetes and leverages technology to help track blood sugar levels. https://t.co/a2IFkufopa #Diabetes #Centene https://t.co/mA3xd6LVb9,0,,coder2,pending,4,0,non_humorous,humor,affiliative,1,,,
C00296,high_engagement_posts,43,Tesla,@tesla,2044584758370570705,https://x.com/tesla/status/2044584758370570705,Thu Apr 16 01:12:47 +0000 2026,Model 3 &amp; Y are the most cost-effective vehicles you can own,0,,coder2,pending,5232,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C00238,type_uncertain,96,Travelers,@travelers,1542593822370185228,https://x.com/travelers/status/1542593822370185228,Thu Jun 30 19:40:01 +0000 2022,"Traveling this #FourthofJuly weekend? Hit the road with our #SafeDriving tips: 

🚗 Set up your navigation before leaving or ask a passenger to do it if you’re driving. 
🚗 Stow your phone. 
🚗 Avoid eating or drinking while driving. 

Find more tips here: https://t.co/8M88Ya83bh https://t.co/U9Gzns5lRb",1,2,coder2,pending,8,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C00034,type_uncertain,49,RTX,@RTX_News,1260553296953180160,https://x.com/RTX_News/status/1260553296953180160,Wed May 13 12:51:40 +0000 2020,"Helping our suppliers get the support they need is one of our top priorities. We’re engaged in helping them meet the challenges of COVID-19, from connecting them to important resources to providing them with tools needed to cope with the crisis. 

https://t.co/7SHxStOMKy https://t.co/2ZjvdBl1jU",0,,coder2,pending,48,1,affiliative,humor,self_enhancing,0,,,
C00299,random_fortune_sample,36,Goldman Sachs Group,@GoldmanSachs,1922673258630983960,https://x.com/GoldmanSachs/status/1922673258630983960,Wed May 14 15:20:01 +0000 2025,Goldman Sachs' David Mericle: We expect increase in U.S.'s effective tariff rate 13 percentage pts https://t.co/kXPbJ4ZiYS,0,,coder2,pending,33,0,non_humorous,non_humor,not_applicable,0,,,
C00899,high_engagement_posts,27,Kroger,@kroger,1086027138904535041,https://x.com/kroger/status/1086027138904535041,Thu Jan 17 22:27:01 +0000 2019,"10 years later, same great taste. #10YearChallenge https://t.co/3aFHCgf1Qy",1,3,coder2,pending,2982,0,non_humorous,non_humor,not_applicable,0,,,
C00586,humor_presence_uncertain,53,Energy Transfer,@energytransfer,2049134572684583183,https://x.com/energytransfer/status/2049134572684583183,Tue Apr 28 14:32:07 +0000 2026,"Thanks @dcexaminer for publishing my commentary today on attempts to use foreign courts to undo effects of court judgments in the United States: ""Greenpeace can't ask foreign court to undo an American ruling"" https://t.co/5n9Iw0Kgty //@georgemasonlaw @MasonResearch @MasonLEC //",0,,coder2,pending,6,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
