후보_ID,표본_층화,Fortune_순위,회사명,X_계정,트윗_ID,트윗_URL,작성일시,본문,유머_존재여부,유머_유형,배정_코더,검토_상태,총_인게이지먼트,웬디스_유머_존재여부,웬디스_유머_유형,풀체인_유머_존재여부,풀체인_유머_유형,분류기_불일치,신뢰도,메모,검토자_ID
C00445,random_fortune_sample,58,Archer Daniels Midland,@ADMupdates,1745003882923634783,https://x.com/ADMupdates/status/1745003882923634783,Wed Jan 10 08:45:20 +0000 2024,"As a global leader in nutrition, ADM has identified shifts influencing food and beverage development trends in the Europe, Middle East and Africa (EMEA) region. Here’s what this means for the culinary space in the months ahead:

Discover the full report: https://t.co/Z9gnuJjhgB https://t.co/dNYD2jyFpv",,,coder1,pending,4,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C00706,humor_presence_uncertain,83,Cisco Systems,@Cisco,1981164349088813487,https://x.com/Cisco/status/1981164349088813487,Thu Oct 23 01:02:43 +0000 2025,"RT @semafor: “We see youth on the African continent using AI tools more than anywhere else in the world.” — @Cisco EVP &amp; Chief People, Poli…",,,coder1,pending,13,0,non_humorous,humor,self_enhancing,1,,,
C01008,classifier_disagreement,78,Prudential Financial,@Prudential,1503758069867679744,https://x.com/Prudential/status/1503758069867679744,Tue Mar 15 15:40:36 +0000 2022,"At Prudential, doing the right thing underscores what we stand for and how we do business around the world. It's an honor to see this commitment recognized as we are named among the World's Most Ethical Companies for the eighth consecutive year.
https://t.co/WF8v4Diu9g https://t.co/QAJqjv90fH",,,coder1,pending,16,1,affiliative,non_humor,not_applicable,1,,,
C00786,firm_balanced_sample,93,USAA,@usaa,1734921400891088951,https://x.com/usaa/status/1734921400891088951,Wed Dec 13 13:01:09 +0000 2023,"Happy birthday to the @USNationalGuard! We thank the nearly 450,000 Guardsmen who are “Always Ready, Always There!” to serve our communities and our nation. https://t.co/H2myMO8GGG",,,coder1,pending,41,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00633,low_engagement_posts,79,TJX,@tjmaxx,760123227603660801,https://x.com/tjmaxx/status/760123227603660801,Mon Aug 01 14:41:14 +0000 2016,@jayda_3298 thanks for reaching out. Please call Associate Relations at 1-800-859-6488,,,coder1,pending,0,1,affiliative,non_humor,not_applicable,1,,,
C01426,low_engagement_posts,91,General Dynamics,@generaldynamics,1599846946629308416,https://x.com/generaldynamics/status/1599846946629308416,Mon Dec 05 19:23:30 +0000 2022,"RT @GD_OTS: The accuracy, dependability, and capability of our products set us apart as the go-to solution, protecting the best with the be…",,,coder1,pending,1,0,non_humorous,humor,self_enhancing,1,,,
C00551,firm_balanced_sample,20,Bank of America,@bankofamerica,1699433172314751278,https://x.com/bankofamerica/status/1699433172314751278,Wed Sep 06 14:43:36 +0000 2023,"Every day we're entering further into the digital age and small businesses are taking note. Compared to 2022, more entrepreneurs are digitally optimizing their businesses. 

Learn more from our 2023 Small Business Owner Report: https://t.co/Sg5acA7Z6A https://t.co/4wRMGPIXhS",,,coder1,pending,45,0,non_humorous,non_humor,not_applicable,0,,,
C00069,full_chain_aggressive,62,New York Life Insurance,@NewYorkLife,1514302397975195654,https://x.com/NewYorkLife/status/1514302397975195654,Wed Apr 13 18:00:00 +0000 2022,The #BraveofHeartFund continues to honor the hard work and sacrifice of healthcare workers by partnering with @ScholAmerica to offer scholarship funding for their families.,,,coder1,pending,3,1,affiliative,humor,aggressive,0,,,
C01350,low_engagement_posts,25,Home Depot,@HDCares,768230715238547456,https://x.com/HDCares/status/768230715238547456,Tue Aug 23 23:37:30 +0000 2016,"@baristaze For help, pls send order details to TeamSocial@homedepot.com so we can share w/ our Home Installs team. –TeamCare",,,coder1,pending,0,0,non_humorous,non_humor,not_applicable,0,,,
C00559,classifier_disagreement,79,TJX,@tjmaxx,741337148218060801,https://x.com/tjmaxx/status/741337148218060801,Fri Jun 10 18:32:04 +0000 2016,I just posted a recap of my West Coast tour with @tjmaxx! What do you guys think? https://t.co/isRqY7hehl #ad #RoadToReal,,,coder1,pending,15,1,affiliative,non_humor,not_applicable,1,,,
C00763,classifier_disagreement,22,Ford Motor,@Ford,1637899870915952643,https://x.com/Ford/status/1637899870915952643,Mon Mar 20 19:32:14 +0000 2023,RT @FordTrucks: The goal was to forge a path to greatness… objective complete ✅ 🛻 https://t.co/sWzMI75YDV,,,coder1,pending,29,0,non_humorous,humor,affiliative,1,,,
C01290,high_engagement_posts,42,Target,@target,1398293063097884673,https://x.com/target/status/1398293063097884673,Fri May 28 15:00:19 +0000 2021,The #Evermore vinyl is here. ❤️ Share your photos with the Target exclusive version of @TaylorSwift13's album: https://t.co/LJhZYRcjdu https://t.co/pMl2LzGIrw,,,coder1,pending,4967,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00641,random_fortune_sample,44,Walt Disney,@Disney,1822093532741648554,https://x.com/Disney/status/1822093532741648554,Sat Aug 10 02:12:05 +0000 2024,"Get ready, Disney fans! The Disney Entertainment Showcase at #D23: The Ultimate Disney Fan Event is about to begin. Follow along for live updates! https://t.co/cowfthQ6Fg",,,coder1,pending,1258,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00134,type_uncertain,69,Nationwide,@nationwide,2015530114788786234,https://x.com/nationwide/status/2015530114788786234,Sun Jan 25 21:00:00 +0000 2026,"This trophy isn’t just heavy, it’s a 30+ lb symbol of impact. The Walter Payton @NFL Man of the Year award honors players who lead on and off the field. https://t.co/ZpZpBBSjDx",,,coder1,pending,1174,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C00316,classifier_disagreement,2,Walmart,@walmart,1903115776803963231,https://x.com/walmart/status/1903115776803963231,Fri Mar 21 16:05:34 +0000 2025,Having free will means I can go on three Walmart runs in a day,,,coder1,pending,160,1,affiliative,non_humor,not_applicable,1,,,
C00347,random_fortune_sample,92,Uber Technologies,@Uber,1925592688365379954,https://x.com/Uber/status/1925592688365379954,Thu May 22 16:40:47 +0000 2025,RT @UberEats: The deals are deal-ing 🙌 Whether you're a jetsetter scoring @Delta Skymiles ✈️ living your best life in pajamas with @McDonal…,,,coder1,pending,6,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00374,high_engagement_posts,44,Walt Disney,@Disney,2033328504268296232,https://x.com/Disney/status/2033328504268296232,Sun Mar 15 23:44:27 +0000 2026,"Make the memories that never leave you, where magic meets the sea. 🚢🌙✨ https://t.co/qARpm1zEjz",,,coder1,pending,4344,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00295,low_engagement_posts,89,Enterprise Products Partners,@EProd_Careers,1677827465656537095,https://x.com/EProd_Careers/status/1677827465656537095,Sat Jul 08 23:50:14 +0000 2023,Discover exciting and rewarding ways to apply your talents at Enterprise Products. Click here to find out more! https://t.co/ckxjaxRmue,,,coder1,pending,0,1,aggressive,non_humor,not_applicable,1,,,
C01442,low_engagement_posts,89,Enterprise Products Partners,@EProd_Careers,1683562774671261698,https://x.com/EProd_Careers/status/1683562774671261698,Mon Jul 24 19:40:19 +0000 2023,"We want to find the right people to drive our success at Enterprise Products. Could that be you? Click here to learn more about joining our team in Mentone, TX. https://t.co/KmJbc3EqE4 #OperationsJobs",,,coder1,pending,0,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C00527,type_uncertain,36,Goldman Sachs Group,@GoldmanSachs,1782942764616872101,https://x.com/GoldmanSachs/status/1782942764616872101,Wed Apr 24 01:20:55 +0000 2024,"India’s renewable energy capacity could double by the end of the decade, and integrated transmission grid will be the main enabler, said our Co-head of APAC Natural Resources and Clean Energy Research Nikhil Bhandari on CNBC: https://t.co/Je4cDXXa9B https://t.co/Rs47dFXqMa",,,coder1,pending,55,1,affiliative,non_humor,not_applicable,1,,,
C01213,random_fortune_sample,89,Enterprise Products Partners,@EProd_Careers,1681387496972898304,https://x.com/EProd_Careers/status/1681387496972898304,Tue Jul 18 19:36:32 +0000 2023,"Think you would excel as our next Inland Wheelman – Starting Pay: $600/day – \*Offering $5,000 sign on bonus\*? Consider Enterprise Products as YOUR pipeline for career success! Apply today. https://t.co/y7t5PDbKuy #Wheelman",,,coder1,pending,0,1,affiliative,non_humor,not_applicable,1,,,
C01063,type_uncertain,9,Exxon Mobil,@exxonmobil,1486027928727138305,https://x.com/exxonmobil/status/1486027928727138305,Tue Jan 25 17:27:21 +0000 2022,"RT @CNBC: Darren Woods, CEO and chairman of Exxon Mobil, joined CNBC's 'Squawk Box' to discuss the company's pledge to hit net-zero greenho…",,,coder1,pending,17,1,self-defeating,non_humor,not_applicable,1,,,
C00384,type_uncertain,59,MetLife,@metlife,1376960895105048581,https://x.com/metlife/status/1376960895105048581,Tue Mar 30 18:13:54 +0000 2021,"Congrats to Tiffany Loo on having her artwork selected as one of the two-story-high murals that will be on display at @MetLifeStadium in 2021.

She and @BartScott57 discuss the inspiration behind the mural, which honors the millions of essential workers in our community 💚 https://t.co/28TlW327Ed",,,coder1,pending,98,1,affiliative,humor,self_enhancing,0,,,
C01083,humor_presence_uncertain,75,ConocoPhillips,@conocophillips,1694348600699162951,https://x.com/conocophillips/status/1694348600699162951,Wed Aug 23 13:59:20 +0000 2023,"Six months ago, the 36th Annual Rodeo Run helped raise money for 800+ scholarships awarded to Texas students. Our thanks to the 11,000+ participants and to @RODEOHOUSTON, one of the largest scholarship providers in the U.S. https://t.co/Ev0eGax6xC https://t.co/Qo7VYClVRI",,,coder1,pending,9,0,non_humorous,humor,self_enhancing,1,,,
C00702,humor_presence_uncertain,75,ConocoPhillips,@conocophillips,1676624032144441345,https://x.com/conocophillips/status/1676624032144441345,Wed Jul 05 16:08:14 +0000 2023,"As the face of #ConocoPhillips' community outreach in Bartlesville, Karen is a well-known community leader. She's driven several local projects, including new playground equipment at an elementary school. Discover more about impact on the community here: https://t.co/zHa6pdRcjo https://t.co/CiCed1XPRd",,,coder1,pending,10,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C00406,full_chain_aggressive,31,StoneX Group,@StoneX_Official,2031671667634676030,https://x.com/StoneX_Official/status/2031671667634676030,Wed Mar 11 10:00:46 +0000 2026,"Honesty, humility, hard work and discipline – core values driving success for StoneX and @Saracens. 

Discover what this means for their players as they gear up for The Showdown 6 in association with StoneX, March 28. https://t.co/PetKgCvypK",,,coder1,pending,1,1,affiliative,humor,aggressive,0,,,
C00877,random_fortune_sample,36,Goldman Sachs Group,@GoldmanSachs,1833615252644053016,https://x.com/GoldmanSachs/status/1833615252644053016,Tue Sep 10 21:15:17 +0000 2024,RT @NYSE: The NYSE welcomes @GoldmanSachs One Million Black Women: Black in Business to celebrate the start of the latest cohort of 300 sch…,,,coder1,pending,58,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C01410,random_fortune_sample,99,Nike,@nike,2042244384633274492,https://x.com/nike/status/2042244384633274492,Thu Apr 09 14:12:59 +0000 2026,"Don’t Mess With Tejas.

The Ranger’s 2026 City Connect uniform reimagines elements of past Rangers looks while celebrating the Mexican influence woven into the state’s identity — and into the name the team proudly represents. 

From the “Tejas” name across the chest to the paper picador patch, these uniforms are a reminder that whether pronounced with an X or a J, the it’s the same place and a shared pride in calling Tejas home. 

Available now at https://t.co/eacxrL7nY7",,,coder1,pending,888,1,affiliative,humor,self_enhancing,0,,,
C00435,humor_presence_uncertain,67,Eli Lilly,@EliLillyandCo,1335964652099022853,https://x.com/EliLillyandCo/status/1335964652099022853,Mon Dec 07 15:09:28 +0000 2020,"Loxo Oncology at Lilly announced results from the Phase 1/2 BRUIN study in #CLL and #SLL.

We’re proud to share these data at #ASH20. Learn more: https://t.co/dCd78MA1Jo https://t.co/vnuDdPEFwh",,,coder1,pending,8,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C01009,type_uncertain,33,Freddie Mac,@FreddieMac,1961458841066823937,https://x.com/FreddieMac/status/1961458841066823937,Fri Aug 29 16:00:04 +0000 2025,"By preserving rents at workforce housing properties, modest-to-low income tenants can be supported. With our Workforce Housing Preservation, learn how borrowers are leading the way with a private-sector approach to providing attainable housing.  https://t.co/osMgzGBgR9 https://t.co/2euQtOpkNz",,,coder1,pending,8,1,affiliative,non_humor,not_applicable,1,,,
C01169,type_uncertain,93,USAA,@usaa,1608581443869106176,https://x.com/usaa/status/1608581443869106176,Thu Dec 29 21:51:16 +0000 2022,USAA is proud to be the Official Military Appreciation Sponsor of today’s @valeroalamobowl in San Antonio. Visit us at the #FANZONE pre-game! https://t.co/I97IhHrwIU,,,coder1,pending,30,1,affiliative,non_humor,not_applicable,1,,,
C00392,humor_presence_uncertain,12,JPMorgan Chase,@jpmorgan,1629498558813466628,https://x.com/jpmorgan/status/1629498558813466628,Sat Feb 25 15:08:25 +0000 2023,Energy is high tonight in #Dubai for the @DDFTennis @WTA Women’s Final 🎾. We’re proud to be supporters for the eighth year running. https://t.co/Q4IvPJRuwT,,,coder1,pending,70,0,non_humorous,humor,self_enhancing,1,,,
C00298,full_chain_aggressive,99,Nike,@nike,1948385111910609004,https://x.com/nike/status/1948385111910609004,Thu Jul 24 14:09:44 +0000 2025,"Hoopers get your hard hats. It’s time to go to work. 

The Sabrina 3 ‘Blueprint’ is available now. https://t.co/hTF7SR0lP3",,,coder1,pending,2610,0,non_humorous,humor,aggressive,1,,,
C00158,firm_balanced_sample,94,TIAA,@tiaa,1623083192285818880,https://x.com/tiaa/status/1623083192285818880,Tue Feb 07 22:16:03 +0000 2023,RT @p4parity: 📢 Join us on 2/22 at 1:45pm ET for a Black History Month leadership talk with our CEO Sandra Quince and @TIAA Chief Human Res…,,,coder1,pending,5,0,non_humorous,non_humor,not_applicable,0,,,
C00934,random_fortune_sample,37,Comcast,@comcast,1811061384756539628,https://x.com/comcast/status/1811061384756539628,Wed Jul 10 15:34:16 +0000 2024,"RT @LIFT_Labs: Coming soon to Black Experience on @Xfinity, @Peacock, and @Xumoplay—#CultureCapitalSeries, the story of nine game-changing…",,,coder1,pending,3,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C01123,random_fortune_sample,10,Cencora,@CencoraGlobal,1852376355708551300,https://x.com/CencoraGlobal/status/1852376355708551300,Fri Nov 01 15:45:13 +0000 2024,"Tim Cernohous reflects on his first time attending ThoughtSpot, highlighting the invigorating experience of engaging with customers and understanding their evolving needs and challenges. 

Read his thoughts:https://t.co/xSACZ8jiZt https://t.co/0xi8Ijn41G",,,coder1,pending,4,0,non_humorous,humor,affiliative,1,,,
C00880,classifier_disagreement,53,Energy Transfer,@energytransfer,2051653481413407221,https://x.com/energytransfer/status/2051653481413407221,Tue May 05 13:21:22 +0000 2026,"#EarningsCall: In our NGL segment, NGL exports were up 19%, setting a new Partnership record.
NGL transportation volumes were up 12%, with NGL fractionation volumes also up 11%, setting a new Partnership record.",,,coder1,pending,1,1,aggressive,non_humor,not_applicable,1,,,
C00183,random_fortune_sample,10,Cencora,@CencoraGlobal,1653792406527983617,https://x.com/CencoraGlobal/status/1653792406527983617,Wed May 03 16:03:30 +0000 2023,"We are proud to be listed as one of @Forbes' Best Employers for Diversity in America. 

We are committed to playing a meaningful role in our communities and workplaces by creating pathways for every team member to thrive. https://t.co/hBC1tiVbgd",,,coder1,pending,8,1,affiliative,non_humor,not_applicable,1,,,
C01358,humor_presence_uncertain,31,StoneX Group,@StoneX_Official,2053762237349707782,https://x.com/StoneX_Official/status/2053762237349707782,Mon May 11 09:00:49 +0000 2026,"Coffee prices are under pressure as a record Brazil crop and rising global supply point to a surplus in 2026, reshaping the market outlook despite ongoing risks. 

Download the StoneX 2026 Commodities Outlook: https://t.co/Z4M2zkydIg https://t.co/ekmcNFM8rZ",,,coder1,pending,2,0,non_humorous,non_humor,not_applicable,0,,,
C00514,random_fortune_sample,52,Lowe's,@lowes,1360606770222297091,https://x.com/lowes/status/1360606770222297091,Sat Feb 13 15:08:27 +0000 2021,"April almost didn’t apply for the Lowe’s Small Business Grant but decided to give it another shot. Receiving her grant has allowed April to hire five employees, stock up on inventory and continue feeding the community. https://t.co/PTwhLRJg6d",,,coder1,pending,11,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C01230,high_engagement_posts,84,HP,@hp,2033132157359509931,https://x.com/hp/status/2033132157359509931,Sun Mar 15 10:44:14 +0000 2026,"Congratulations to @LewisHamilton  and @ScuderiaFerrari HP on a strong P3 finish in Shanghai — his first Grand Prix podium with the team, and a result that reflects growth, trust, and execution at the highest level. https://t.co/JXw4Cmy3sh",,,coder1,pending,4981,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C00375,wendys_transfer_aggressive,64,Allstate,@allstate,1394700249030090758,https://x.com/allstate/status/1394700249030090758,Tue May 18 17:03:46 +0000 2021,RT @WeAreAFCA: Have a student-athlete who stands out amongst all the rest for their dedication to giving back? Submit your nomination for t…,,,coder1,pending,3,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C01142,type_uncertain,22,Ford Motor,@Ford,1631323643551653890,https://x.com/Ford/status/1631323643551653890,Thu Mar 02 16:00:39 +0000 2023,"In honor of Women’s History Month, we’re celebrating female athletes in our community who are breaking barriers and defying stereotypes on the courts and racetracks 🎾 🏎 #WHM #ItsHerTurn https://t.co/fg9IDZMjr4",,,coder1,pending,176,1,affiliative,humor,self_enhancing,0,,,
C00308,high_engagement_posts,78,Prudential Financial,@Prudential,1131224531199299584,https://x.com/Prudential/status/1131224531199299584,Wed May 22 15:45:20 +0000 2019,Saving for college and retirement at the same time is tough. Especially for a town that’s booming with babies. https://t.co/bYoNsvMicx,,,coder1,pending,1713,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00928,high_engagement_posts,44,Walt Disney,@Disney,1975453298514870431,https://x.com/Disney/status/1975453298514870431,Tue Oct 07 06:49:03 +0000 2025,"Nine Inch Nails closes out the #TronAres World Premiere. 

Experience the movie this Friday in theaters. https://t.co/GXxoltKhGB",,,coder1,pending,1856,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00492,classifier_disagreement,96,Travelers,@travelers,1669438706028105748,https://x.com/travelers/status/1669438706028105748,Thu Jun 15 20:16:18 +0000 2023,"RT @TeamRubicon: Three massive storms. Zero headlines. A community needing support. That was the story of Selma, Alabama, which endured a h…",,,coder1,pending,21,1,aggressive,non_humor,not_applicable,1,,,
C01320,wendys_transfer_aggressive,87,Tyson Foods,@tysonfoods,1142116478566699008,https://x.com/tysonfoods/status/1142116478566699008,Fri Jun 21 17:06:02 +0000 2019,"""Children come out all the time, but my story is unique, because I got to experience it twice."" This mother's love/support of her two LGBTQ children is what #PrideMonth is all about. Check it out on #TheFeedBlog #InclusionMatters #RaisingExpectations https://t.co/TCLlIE0VNa",,,coder1,pending,2,1,aggressive,ambiguous,ambiguous_or_review,0,,,
C00723,low_engagement_posts,25,Home Depot,@HDCares,778327020979752960,https://x.com/HDCares/status/778327020979752960,Tue Sep 20 20:16:37 +0000 2016,@DCGirl53 We hate to keep you waiting! Pls send ur order number/contact info to TeamSocial@homedepot.com for help.  -TeamCare,,,coder1,pending,0,0,non_humorous,non_humor,not_applicable,0,,,
C01402,wendys_transfer_aggressive,72,Publix Super Markets,@Publix,1542145867825795073,https://x.com/Publix/status/1542145867825795073,Wed Jun 29 14:00:01 +0000 2022,"If you could be any Publix Bakery item, which would you be? 🍪🎂🥐",,,coder1,pending,252,1,aggressive,non_humor,not_applicable,1,,,
C00099,low_engagement_posts,69,Nationwide,@nationwide,1723495377733914641,https://x.com/nationwide/status/1723495377733914641,Sun Nov 12 00:18:13 +0000 2023,"Beautiful day for Fan Fest ☀️

@NWSL | #NWSLChampionship https://t.co/MFGnlgzkGq",,,coder1,pending,0,0,non_humorous,non_humor,not_applicable,0,,,
C00683,type_uncertain,67,Eli Lilly,@EliLillyandCo,1983515507811582403,https://x.com/EliLillyandCo/status/1983515507811582403,Wed Oct 29 12:45:23 +0000 2025,"We just made it easier to get authentic obesity management medicines at DTC prices. 

We’re teaming up with @Walmart so patients can access LillyDirect prices, with pickup at a Walmart pharmacy! 

Learn more: https://t.co/IG1QFZREzt https://t.co/1FLHyp9vKN",,,coder1,pending,24,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C00603,humor_presence_uncertain,6,CVS Health,@cvshealth,1530187071817670657,https://x.com/cvshealth/status/1530187071817670657,Fri May 27 14:00:02 +0000 2022,"As part of our strategy to improve primary care and meet our customers where they are, we are launching CVS Health Virtual Primary Care, an innovative virtual care solution designed to offer a more seamless and consumer-focused health care experience. https://t.co/cE6I61OqgA https://t.co/8r3NxV44Q8",,,coder1,pending,16,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C01163,humor_presence_uncertain,79,TJX,@tjmaxx,786225976464158720,https://x.com/tjmaxx/status/786225976464158720,Wed Oct 12 15:24:14 +0000 2016,@PauAher48 Thanks for reaching out. Please let us know the location of the store you were in so we can address this with the Store Manager.,,,coder1,pending,0,1,affiliative,ambiguous,ambiguous_or_review,0,,,
C00133,random_fortune_sample,37,Comcast,@comcast,1785752234178879611,https://x.com/comcast/status/1785752234178879611,Wed May 01 19:24:44 +0000 2024,"RT @nbc: We are AANHPI AMPLIFIED at @NBCUniversal, celebrating our Asian American, Native Hawaiian, and Pacific Islander colleagues across…",,,coder1,pending,9,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
C00609,high_engagement_posts,44,Walt Disney,@Disney,1844787544413577527,https://x.com/Disney/status/1844787544413577527,Fri Oct 11 17:09:59 +0000 2024,"RT @DisneyStudios: #LiloAndStitch, coming to theaters on May 23, 2025! https://t.co/bJ2e5fQzAt",,,coder1,pending,1661,0,non_humorous,ambiguous,ambiguous_or_review,0,,,
